,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/8325001,"For Sale/Trade:  Adams Arms piston Kit with 7"" Samson Rail","Saint Joseph, St. Joseph, Missouri",$ 0,"Listed On: Sunday, May 6, 2018",Gun,no type,no type,no type,no type,"Adams arms piston kit with 7""samson rail make me a offer.text jack 8163440145no shipping"
2,http://www.armslist.com/posts/8325002,For Sale/Trade:  Smith and Wesson SD40 FDE,"Warren, Detroit, Michigan",$ 350,"Listed On: Sunday, May 6, 2018",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Smith and Wesson SD40 FDE, 2 14rds magazines, lock and cable and a box of ammo.  I have over 600 Rds of 40 Smithand Wesson ammo I can throw in for the right price. Will consider a trade ""looking for a SKS or AR Mainly"" but will consider other trades. Willing to add a few dollar if need beHunter- 5862482036"
3,http://www.armslist.com/posts/8325003,For Sale:  TC Contender Frame and Grip,"Tempe, Phoenix, Arizona",$ 250,"Listed On: Sunday, May 6, 2018",Handguns,Thompson Center                                                                                ,no type,no type,Pistol,Looking to sell my TC Contender Frame Barrel Pin and Grip. Has some wear from a handguard I used for a while but functions perfectly. The grip is new had it replaced less than 6 months ago.
4,http://www.armslist.com/posts/8325004,For Sale:  Winchester 9mm FMJ 234 rounds 17cents ea.,"NW Summerlin (Lone Mtn), Las Vegas, Nevada",$ 40,"Listed On: Sunday, May 6, 2018",Ammo,no type,no type,no type,no type,"234 rounds of Winchester 9mm FMJ, 115 grain, round nose, brass case. 2 full and 1 partially full boxes.Muzzle velocity 1190 FPS.17cents per round. Total $40 Cash only. No tax."
6,http://www.armslist.com/posts/8325006,For Sale/Trade:  995ts With Extras,"Wesley Chapel, Tampa/St. Pete, Florida",$ 280,"Listed On: Sunday, May 6, 2018",Rifles,Hi Point                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a excellent condition Hi Point 995ts carbine rifle chambered in 9mm with a compact 4X scope, sling, vertical front grip, factory 10 round magazine, Redball 20 round magazine, factory take down tool and factory rear sight assembly. $280.00"
7,http://www.armslist.com/posts/8325007,For Sale/Trade:  G21 SF Gen 3 FS/FT!,"Midtown, Tallahassee, Florida",$ 400,"Listed On: Sunday, May 6, 2018",Handguns,Glock                                                                                ,45 ACP                                                                                ,Striker Fire                                                                                ,Pistol,Like new Glock 21 SF Gen 3 with 3 mags. Firearm comes with paperwork and case as well. Owner has valid FL DL and CWP. I prefer serious inquiries only and purchasers/traders to have a CWP. Bill of Sale is REQUIRED for purchase/trade (provided by owner). Only 100ish rounds through the gun. Kept in a smoke free home too. Thanks for your time!
8,http://www.armslist.com/posts/8325008,For Sale:  REMINGTON 700 SPS VARMINT,"Knoxville, Tennessee, United States",$ 600,"Listed On: Sunday, May 6, 2018",Rifles,Remington                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,REDACTED
9,http://www.armslist.com/posts/8325009,For Sale/Trade:  FNX 45 Tactical,"South, Columbus, Ohio",$ 1,"Listed On: Sunday, May 6, 2018",Handguns,FN Herstal S.A.                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,This gun has been shot very little and is in great condition. Comes with everything it did from factory
12,http://www.armslist.com/posts/8325012,Want To Buy:  Fnx-45 tactical,"Brownsburg, Indianapolis, Indiana",$ 800,"Listed On: Sunday, May 6, 2018",Handguns,FN Herstal S.A.                                                                                ,45 ACP,no type,no type,Anyone want rid of their fnx-45 tactical? I’m looking for a black one and don’t want to spend more than 800. I would consider the non-tactical version by will spend around $500 for that. Let me know! Thanks
14,http://www.armslist.com/posts/8325014,For Sale:  Beretta 686,"Northwest, Greensboro, North Carolina","$ 1,875","Listed On: Sunday, May 6, 2018",Shotguns,Beretta USA                                                                                ,12 Gauge                                                                                ,Over and Under                                                                                ,Shotgun,"Beretta 686 Silver Pigeon I over and under shotgun. 12 gauge, 28"" barrell, includes choke tubes and everything that came with it when new. Includes box and hard plastic carry case. This gun is in like new condition, and has had approximately 100 rounds fired. No blemishes in either the metal or wood. I'm selling because I don't shoot it well, so I grab another gun each time I shoot. Email me with any questions. I require an invoice to the buyer, and would like a copy of the buyer's driver's license or CCW permit. $ 1,875.00 OBO"
