,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/8124001,For Sale:  Magpul Mbus gen 2 flip up sights set,"Ravenna, Akron, Ohio",$ 75,"Listed On: Tuesday, March 20, 2018",Gun,no type,no type,no type,no type,Brand new no packaging.
2,http://www.armslist.com/posts/8124002,For Sale:  Arsenal ak47  SLR-101S  7.62×39MM,"Dearborn, Detroit, Michigan",$ 1,"Listed On: Tuesday, March 20, 2018",Rifles,no type,7.62x39                                                                                ,no type,Rifle,Arsenal ak-47 7.62×39mm less then 100 rounds shot with it. Looks Brand new not one scratch on it comes with everything in the pictures just call or text me 31333five218nine
3,http://www.armslist.com/posts/8124003,For Sale/Trade:  Springfield XD-9,"Leesburg, Northern Virginia, Virginia",$ 425,"Listed On: Friday, April 6, 2018",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Springfield XD-9 SA in 9mm, full-size black polymer frame with forged steel slide and barrel (4”). Holds 16+1 rounds. Includes two mags and original springfield case along with all else in picture. Gun is in excellent condition. Round count is about 1k.  F2F only, Buyer must show ID with ccw permit or voter card and be willing to sign bill of sale. Can meet up around Loudon and Fairfax Co."
4,http://www.armslist.com/posts/8124004,For Sale:  Brass for reloading,"Rapid City, South Dakota, United States",$ 338,"Listed On: Tuesday, March 20, 2018",Reloading,no type,no type,no type,no type,See picture
5,http://www.armslist.com/posts/8124005,For Sale:  9mm ETS Glock Magazine 31-round,"Tempe, Phoenix, Arizona",$ 15,"Listed On: Tuesday, March 20, 2018",Magazines,no type,no type,no type,no type,"Elite Tactical Systems (ETS) Glock 18 9mm 31-Round Magazine-open box, never used in Gun"
6,http://www.armslist.com/posts/8124006,Want To Buy:  Glock 19 cleared frame gen 3,"St.louis, St. Louis, Missouri",$ 50,"Listed On: Tuesday, March 20, 2018",Gun,no type,no type,no type,no type,Wanting to buy just the cleared frame of the glock 19 so if you upgraded to the polymer 80 frame and just have the regular cleared frame lmk and I'll buy it !6362069135
7,http://www.armslist.com/posts/8124007,For Sale:  6.5 creed,"Great falls, Great Falls, Montana",$ 800,"Listed On: Tuesday, March 20, 2018",Rifles,Savage Arms                                                                                ,6.5 Creedmoor                                                                                ,Bolt Action                                                                                ,Rifle,"I decided to go a different direction.  I'd be willing to trade for a Burris eliminator 3 scope, a gunwerks range finder, or a 6mm creedmoor in a chassis.  All with cash on my end.  Thank you"
8,http://www.armslist.com/posts/8124008,For Sale:  Smith Wesson Shield magazines,"Ravenna, Akron, Ohio",$ 100,"Listed On: Tuesday, March 20, 2018",Magazines,no type,no type,no type,no type,"Lot of 5 magazines for Smith and Wesson Shield 9mm pistol.  One 7 round flush fit factory mag, three 8 round extended factory mags, and one 10 round extended ProMag."
11,http://www.armslist.com/posts/8124011,For Sale:  Polish Model 1960 MILLED AK47 Rifle AK-47 7.62X39,"wyoming, Wyoming, United States",$ 900,"Listed On: Tuesday, March 20, 2018",Rifles,Century International Arms                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Here is a Century International Arms imported Polish manufactured Model 1960 semi automatic AK47 rifle. Chambered in 7.62X39, 16"" barrel with slanted brake, Tapco G2 trigger, polished bolt, adjustable rear sight, shrouded front sight, bake-lite pistol grip, two piece wood handguard, and fixed wood rear stock. Gun is in excellent new in the box condition."
13,http://www.armslist.com/posts/8124013,For Sale/Trade:  750rds Wolf 5.45x39,"Aurora, Denver, Colorado",$ 150,"Listed On: Saturday, April 14, 2018",Ammo,no type,no type,no type,no type,"Brand new case of 750rd wolf 5.45x39 military classic 60grain ammo,will trade for 7.62x39 or asking $150for case No shipping"
