,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
270,http://www.armslist.com/posts/6688270,For Sale:  DPMS AR15 with Extras,"Lexington Defender Shooting Sports, Columbia, South Carolina",$ 599,"Listed On: Tuesday, April 25, 2017",Rifles,DPMS                                                                                ,5.56×45mm NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Very lightly used, near mint DPMS Panther arms with Vector Optics red dot. 16"" 5.56 1/9 twist. Includes 30 rd mag. Drum magazine can be purchased for $189.00 if you want it."
271,http://www.armslist.com/posts/6688271,For Sale:  NIB  Ruger American Pro-Duty 45 acp,"Plymouth, New Hampshire, United States",$ 450,"Listed On: Wednesday, July 5, 2017",Handguns,Ruger                                                                                ,45 ACP                                                                                ,Striker Fire                                                                                ,Pistol,NIB Ruger American Pro-Duty 45 acp.Pistol comes with 2 10 round mags.  REDACTED  REDACTED
273,http://www.armslist.com/posts/6688273,For Sale:  Glock 19 GEN 3 Lightly Used,"west, Cincinnati, Ohio",$ 525,"Listed On: Saturday, April 8, 2017",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"I have a lightly used Glock 19 Gen 3 9mm that I bought from original owner. Night sights are bright. Rubber grip feels great. Comes with case, 4 magazines, Blackhawk Serpa Holster, Alien Gear IWB Holster, Concealment Express Appendix Carry Kydex Holster. This pistol shoots amazing! Only selling to fund another gun. ONLY trade considered would be towards a new or like new Sig P938 SAS and ONLY that pistol."
274,http://www.armslist.com/posts/6688274,For Sale:  Ruger m77 Mark II .30-06,"Jackson, Atlanta, Georgia",$ 875,"Listed On: Monday, June 19, 2017",Rifles,Ruger                                                                                ,30-06 Springfield                                                                                ,Bolt Action                                                                                ,Rifle,"Ruger m77 mark II UltraLight chambered in .30-06 springfield. My dad recently passed away and I'm thinning a few of the herd. This was his. He hunted with this rifle for several years. Never fired outside of sighting in the optic and the 1 shot it took to down a deer. The rifle is topped with a nice Leupold Vari-X III 3.5x10 50MM Scope. New it cost him over $650. You can find them now for around $500 new. Good piece of glass. I'm willing to sell the rifle and scope separately, although they compliment each other very well. The rifle has been camo'd in a pine needle pattern. Perfect for white tail hunting here in Georgia. The rifle is in great condition, showing a typical signs of wear on the camo from hunting use. Great little hunting package ready to go! I'll also include a sling.Rifle with scope: $875Rifle less scope: $550"
275,http://www.armslist.com/posts/6688275,For Sale:  XD Service Model 9mm,"Montgomery County, Southeastern, PA, Pennsylvania",$ 450,"Listed On: Saturday, April 8, 2017",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"XD Service Model 9mm. Has night sights. Comes with everything that came with firearm when it was purchased new. Includes Tennessee Holster Co IWB leather holster. Only 250 rounds down the barrel and meticulously cared for. Nothing wrong with firearm, just don't use this one anymore since I prefer another platform. Buyer to pay all transfer fees. $450 cash or CZ trades only. Will NOT entertain non-FFL sale, so don't ask!"
276,http://www.armslist.com/posts/6688276,For Sale/Trade:  Glock 29 gen4  10mm  subcompact,"Glock 29gen & ar 15, Richmond, Virginia",$ 0,"Listed On: Saturday, April 8, 2017",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Glock 29gen gen4 M&p15 556
277,http://www.armslist.com/posts/6688277,For Sale/Trade:  Multi Caliber AR/AK 15,"Wentzville, St. Louis, Missouri",$ 0,"Listed On: Saturday, April 29, 2017",Rifles,Windham Weaponry                                                                                ,300 Blackout (7.62x35mm)                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a multi caliber system Windham Weaponry AR 15. I would sell but prefer to trade. I have 3 barrels in the system that quick change out very easily. Comes with a custom case to hold the AR and all three barrels.Calibers: 5.56, 7.62x39, 300 blackoutThis is like new and I will consider all reasonable trades. The trade value is around 1750 and I am not looking for heavily used guns. Trades must be like new. Let me know what you have..."
278,http://www.armslist.com/posts/6688278,For Sale:  Springfield M1A,"Lima, Lima, Ohio","$ 2,000","Listed On: Thursday, April 13, 2017",Rifles,Springfield                                                                                ,308/7.62 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Springfield Loaded M1A MFG# MP9226Spectacular example of the civilian M14.  Comes with Factory Archangel stock, Genuine Atlas Bipod with extensions, and Genuine Springfield magazines (3-20rd, 1-10rd).  The Optic is a Vortex Viper HST 6-24 x 50 VMR-1(mrad) scope.  If you are unfamiliar with Vortex they are the best scope i have found for the money and have an unbeatable warranty.  You can pay 3 times as much and still not get the same warranty as you do with Vortex.  The mount is a CASM mount by a company from Canada.  They produce the Black Feather stock system.  This mount is considered to be THE most secure scope mount for this platform.  I have all the paper work that came with this gun as well as an old GI fiberglass stock.  Serious offers only no trades. Shoot me an offer the worst I can do is say no.Everything for $2000 FIRM I may consider seperating individual items for the right price.Gun and Mags/tools $1525 OBOScope and Rings $650 OBOBipod $225 OBOHere are new prices for what i have listedRifle $1606 Budsgunshop.comScope $639 Opticsplanet.comMount $140 M14.caVortex Precision Rings $130 Opticsplanet.comBipod $319 Accu-shot.comBipod Extensions $50Magazines 3 x $41 = $123 Budsgunshop.comText at FOUR 1 NINE 7 EIGHT 8 ONE 1 SIX 0"
279,http://www.armslist.com/posts/6688279,For Sale/Trade:  Smith and Wesson 9mm,"Nekoosa, Wausau, Wisconsin",$ 375,"Listed On: Saturday, April 8, 2017",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"This is the ""Detroit PD"" 40 cal pistol that I fully converted to 9mm. Has new OEM 9mm factory barrel (200-250 rounds through)  9mm extractor,  and 2 9mm mags.   Gun runs and shoots perfectly and is in great shape. The slide and action are butter smooth.  Would be happy to answer any other questions.  Includes factory case,  2 mags,  3 backstraps, faded but functional tritium night sights.  No 40 cal items included.Prefer emails first."
280,http://www.armslist.com/posts/6688280,"For Sale/Trade:  Ruger LCP, .380","Mansfield, Dallas, Texas",$ 220,"Listed On: Saturday, April 8, 2017",Handguns,Ruger                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,"IN excellent condition, in the case with 1 magazineText REDACTED"
281,http://www.armslist.com/posts/6688281,For Sale:  Glock  20   Gen  4  10mm,"Halls, Knoxville, Tennessee",$ 550,"Listed On: Tuesday, April 18, 2017",Handguns,Glock                                                                                ,380 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"I have a like new, Glock 20 Gen 4 chambered in 10mm for sale. It comes with 3 mags, backstraps, extended slide release, mag loader, lock and case. This is a great shooting pistol and it is probably the most accurate one I have shot. Buyer to sign a Bill of Sale and must be legal to own a firearm. HCP holder would be great. TEXT ONLY at REDACTED. $550"
283,http://www.armslist.com/posts/6688283,For Sale:  Sig 320,"Troy, St. Louis, Missouri",$ 625,"Listed On: Saturday, April 8, 2017",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,I have a sig 320 carry with night sights in great condition doesn't have many rounds through it. It also comes with a compact lower and mag and a compact mtac holster. Feel free to call after 5 or text any time REDACTED
284,http://www.armslist.com/posts/6688284,For Sale:  Rock Island Custom 1911,"Pittsboro, Raleigh / Durham / CH, North Carolina",$ 599,"Listed On: Monday, May 1, 2017",Handguns,Rock Island Armory                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,Custom Cerakote Rock Island 1911 .45 ACP with custom grips. Have a gun you want to transform please get in touch with me.
285,http://www.armslist.com/posts/6688285,For Sale:  Ruger Mini 30,"south, Knoxville, Tennessee",$ 700,"Listed On: Thursday, June 15, 2017",Rifles,Ruger                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,Ruger Mini 30. Two 20 round Mags. 20 boxes ammo ( Hornady and Silver Bear). 1X 30 IR electro sight with red laser sight and flashlight. Excellent like new condition. Hardly fired.  Well under what I paid. Excellent gun.
