,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/6641000,For Sale:  Ruger#1,"Rural, Farmington, New Mexico","$ 1,400","Listed On: Monday, March 27, 2017",Rifles,Ruger                                                                                ,338 Winchester Magnum                                                                                ,Single Shot                                                                                ,Rifle,"Ruger#1 338 Winmag. Scope, sling, haRd she'll carrying case and box of shells."
1,http://www.armslist.com/posts/6641001,For Sale:  Pre Civil War 30 cal Kentucky Rifle,"NE, Atlanta, Georgia",$ 850,"Listed On: Monday, March 27, 2017",Antique,Ruger                                                                                ,338 Winchester Magnum                                                                                ,Single Shot                                                                                ,Rifle,"This percussion Kentucky has a beautiful Tiger Maple stock and brass hardware. It is 47"" overall and 30 caliber. The action works fine and has a wooden ram rod. 4 o 4 - 6 9 7 - o 5 2 o"
2,http://www.armslist.com/posts/6641002,For Sale:  Henry survival rifle New,"Jonesborough, Tri-cities, Tennessee",$ 2,"Listed On: Thursday, April 6, 2017",Rifles,Henry Repeating Arms                                                                                ,22 Long Rifle                                                                                ,Single Shot                                                                                ,Rifle,"brand new never fired. Have everything and paper work plus 50 rounds, this is a awesome gun. If you have and questions about this gun you can call or text REDACTED $290"
6,http://www.armslist.com/posts/6641006,For Sale/Trade:  Browning Hi Power,"DFW, Dallas, Texas",$ 900,"Listed On: Sunday, April 2, 2017",Handguns,Browning                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,"Selling LNIB Browning Hi Power. Excellent condition. Made in belgium, assembled in portugal. Has had some work done to it as well. Removed the magazine disconnect. Sear lever and trigger work, smoothing and polishing of critical surfaces, Spring optimization with BHSS springs. Pachmayr signature grips. Makes for a very smooth trigger, definitally a fun range gun. Trades welcome. Mainly interested in other handguns. Selling for $900 cash or $950 Trade. Thanks for your consideration"
7,http://www.armslist.com/posts/6641007,For Sale:  Smith and Wesson 442,"NE, Fort Wayne, Indiana",$ 300,"Listed On: Monday, March 27, 2017",Handguns,Smith & Wesson                                                                                ,38 S&W Special                                                                                ,Double Action                                                                                ,Revolver,Smith and Wesson 442 Airweight .38+P never fired. Girlfriend be pissed if she found out I bought another pistol. My loss is your gain. Cash offers only. Never fired so no bullshit offers please. Thanks! REDACTED text only.
8,http://www.armslist.com/posts/6641008,For Sale:  SigPro 2022 9mm,"New Kensington, Pittsburgh, Pennsylvania",$ 350,"Listed On: Monday, March 27, 2017",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Gun is from 2013 but shoots like it's brand new. Only put 100 or so rounds through it and never had an issue. Comes with 3 magazines, holster, case, and has the SigLite night sights installed. It's a great gun just need the cash."
9,http://www.armslist.com/posts/6641009,For Sale:  Springfield XDS 45,"Missoula, Missoula, Montana",$ 550,"Listed On: Monday, March 27, 2017",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"Springfield XDS 4"" 45ACP BI Tone 1:16 twist. Extra extended clip. Origional hard case and parts included. Great condition! call or text REDACTED"
11,http://www.armslist.com/posts/6641011,For Sale:  Sks uses Ak mags,"Cincinnati, Cincinnati, Ohio",$ 650,"Listed On: Saturday, April 1, 2017",Rifles,Norinco                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"This is the sporter model imported in the early 90's. This particular one has not been used much, due to its rarity. Wood , metal and bore all very ni"
12,http://www.armslist.com/posts/6641012,For Sale:  Chicago Typewriter,"Waynesville, Springfield, Missouri",FREE,"Listed On: Monday, March 27, 2017",Rifles,Auto Ordnance                                                                                ,45 ACP                                                                                ,Semi-automatic                                                                                ,Rifle,"Auto ordnance tommy gun. 45 with 9 mags.  Very good condition . Comes with everything picturedLooking to trade for high end pistols, tactical rifles, atv,motorcycle, or ? ? ? Just ask Open to reasonable cash offers... over $1800 investedCall or text anytime REDACTED"
14,http://www.armslist.com/posts/6641014,For Sale:  Vortex Strikefire 2,"Ramsey, Minneapolis / St. Paul, Minnesota",$ 140,"Listed On: Monday, March 27, 2017",Optics,no type,no type,no type,no type,"Vortex Strikefire 2 for sale, excellent condition, no scratches or dings, purchased 2 months ago. Comes with both flat mount and canted as well as original box and contents... $140     REDACTED"
18,http://www.armslist.com/posts/6641018,For Sale:  Encore lower receiver,"South Whitley, Fort Wayne, Indiana",$ 325,"Listed On: Monday, March 27, 2017",Rifles,Thompson Center                                                                                ,no type,no type,Rifle,"Have an encore lower receiver for sale. It comes with a 1x and 2x hinge pins. The stock hinge pin is the main reason for accuracy problems with TC encores. Sale is for lower, forearm, and aftermarket hinge pins. $325 or best offer. 260-450-nine288."
20,http://www.armslist.com/posts/6641020,For Sale:  Glock 43,"Daleville, Dothan, Alabama",$ 450,"Listed On: Saturday, April 1, 2017",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Glock 43 9mm for sale only. Stippled grips, comes with box, paperwork, 2 6 round magazines, Ameriglo Ken Hackathorn sights (tritium front, black serrated rear) and a IWB Kydex holster....ammo not includedLocal sale onlyNo shippingText at 3three4 four0six 1zero6two"
