,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5521000,For Sale/Trade:  Glock 27 gen4 40s&w blue label,"Centerton, Fayetteville, Arkansas",$ 475,"Listed On: Sunday, June 12, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"New glock 27 gen 4 40s&w. Blue label comes with 3 mags, all back straps box and papers$475 cash may consider trade."
2,http://www.armslist.com/posts/5521002,For Sale/Trade:  Remington 700 .308.,"SW, Albuquerque, New Mexico",$ 600,"Listed On: Thursday, June 2, 2016",Rifles,Remington                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,Remington 700 VTR .308 and has a Vortex Viper PST 6-24X50 with a Vortex bubble level. I also have a bottom plate that will accept magazines instead of loading like a traditional through the top. I am asking $600 for the rifle or $1300 for everything and I also consider all trades. Call or text me at REDACTED. I prefer text or you can email me. Can send pictures upon request.
3,http://www.armslist.com/posts/5521003,For Sale:  Scar 17,"Saint Paul, Minneapolis / St. Paul, Minnesota","$ 5,500","Listed On: Tuesday, June 21, 2016",Rifles,FN Herstal S.A.                                                                                ,308/7.62 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"SCAR 17 in FDE complete set up and upgrades: .Midwest Mlock extended rail  FDE;.Vortex Razor HD scope;.American Defense marked Vortex scope mount QD;.Lantac Dragon muzzle break;.Supper Scar trigger;.ProGrip vertical grip/bipod combo with box;.Surefire light new with mount and box;.Surefire pressure pad;.Tango Down Battle Grip;.Bipod with QD mount;.FDE Magpul Rail cover;.Two rifle FDE soft case;.Black hard case .8 magazines;.Glock 19 Gen4 in FDE;.LNIB condition,box, paper works, receipt;.3 magazines.2 magazine carrier.Trijicon HD sights installed by gunsmith-Bills Gun Shop.I'm asking for $5500 for the whole set up. Preferered local sale only and not interested in any trade. Serious inquiries only. Will meet at local gun store for transfer."
5,http://www.armslist.com/posts/5521005,For Sale:  Kimber Pro Carry II,"Huntsville, Huntsville, Alabama",$ 650,"Listed On: Saturday, August 13, 2016",Handguns,Kimber                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"NOT INTERESTED IN ANY TRADESGun, box, 7/8/10 round Kimber magazines, 220 rounds shot. Polished feed ramp and barrel throat. Has the factory wood grips. No wear on it same as new.Price is non-negotiable"
6,http://www.armslist.com/posts/5521006,For Sale:  7.62x51 .308 Ammo,"Savannah/Pooler, Savannah, Georgia",$ 250,"Listed On: Wednesday, June 1, 2016",Rifles,no type,no type,no type,Rifle,"I have a total of 530 rounds of ammo.  Consists of:110 rounds Federal XM80CL 7.62x51 149 grain FMJ60 rounds Winchester Super X 150 grain Power-Point360 rounds Hirtenberger 7.62x51 battlepack 146 grainZQI Ammo pictured NOT includedI am pricing at $250 which is less than $0.50 a round.  I'm not willing to negotiate.  I'm not looking for trades.  If its still listed, its for sale"
7,http://www.armslist.com/posts/5521007,For Sale:  spikes tactical 2 gun set up,"Kenosha, Kenosha, Wisconsin","$ 1,200","Listed On: Friday, May 27, 2016",Rifles,Spikes Tactical                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Spikes tactical lower, with 2 complete uppers, 4 G.I. mags with some ammo, and case.1 spikes pistol upper1 stoner SS fluted with Nikon AR223 glass.Price is firm. No trades at this time"
9,http://www.armslist.com/posts/5521009,For Sale/Trade:  2  sig p938  nitmare and extreme,"spartanburg, Greenville, South Carolina",$ 600,"Listed On: Friday, May 27, 2016",Handguns,no type,no type,no type,no type,I have these two guns for sell or trade. One is the signed 938 extreme and the other one is the nitmare. The extreme is brand new with recept from January I need 650 for it. The nitmare I'll include a holster with and take 600. I'm very firm in these unless you want both for 1200.Trades just depend what you have I'd really like a nice like new smith 686 revolver for one of the 938. Open to offers.
10,http://www.armslist.com/posts/5521010,For Sale/Trade:  Glock 17 gen 3 factory threaded barrel,"Mansfield, Ohio, United States",$ 450,"Listed On: Tuesday, June 7, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"I have for sale a glock 17 with factory threaded barrel, meaning the barrel is the same serial number as the gun. The firearm also has ameriglo suppressor height sights. Comes with two mags and original box. Asking $450."
11,http://www.armslist.com/posts/5521011,For Sale/Trade:  M&P 45,"Rogers, Fayetteville, Arkansas",$ 450,"Listed On: Wednesday, June 1, 2016",Handguns,no type,no type,no type,no type,"M&P 45, 2 mags for sale or trade. Asking $450 OBO.  open to all trades, thank you. call or text REDACTED or email."
12,http://www.armslist.com/posts/5521012,"For Sale:  PMC X-TAC 5.56 62gr M855 Green Tip... 1,000 Rounds","N. Raleigh, Raleigh / Durham / CH, North Carolina",$ 360,"Listed On: Sunday, January 1, 2017",Ammo,no type,no type,no type,no type,Up for sale is a 1k case (50 boxes of 20rds each) of PMC X-TAC 5.56 62gr Green Tip ammo. Available for FTF sale in N. Raleigh or could have shipped at the buyer's expense. $360.
