,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/2585000,For Sale/Trade:  Smith & Wesson 380 Bodyguard,"Northside, Jacksonville, Florida",$ 375,"Listed On: Saturday, January 25, 2014",Handguns,Smith & Wesson                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,"S&W 380 Bodyguard with accessories for a complete package. The package consists of 380 bodyguard with built in laser, 110 rounds, 2 magazines, 2 holsters, S&W soft case and factory box with paperwork. I have owned the gun for 1 year and have put around 75 rounds through it without any problem. 
Holsters = Uncle Mikes IWB and the other is a Bulldog belt or IWB with extra magazine holder.
Ammo= 60 rounds PMC Gold, 25 rounds Hornady critical defense and 25 rounds Remington.
Magazines= 2 factory 5 round.
I live in north Jacksonville behind River city marketplace. You can call me at 1-REDACTED or send email to REDACTED or use armslist email. I will consider trades but cash is king. Asking $375 or best offer."
1,http://www.armslist.com/posts/2585001,For Sale:   two marlin 22 lr rifles  for sale or trade,"Miami Gardens, Miami-Dade, South Florida",$ 400,"Listed On: Sunday, January 19, 2014",Rifles,Marlin                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"For sale or trade are two marlin 22 lr rifles 
Xt-22 with a Redfield scope 4-12x40 
And a marlin 795 with a pursuit scope 3-9x32 
Also 2 325 round box of ammo 
I have three magazine 1 promag 25round magazine 1 10round mag and 1 7 round mag  
Mainly looking for glock, s&w sigma keltec Taurus pt24/7 or any HANDGUN worth the same value for a straight trade.
I willing to put money on top depending on gun. 
I work a lot so preferably text me 
Cris REDACTED 
 I'm asking 400 OBO don't be afraid to shoot me an offer or trade."
2,http://www.armslist.com/posts/2585002,"For Trade:  Glock 19 gen 4, adjustable trigger, WITH AMMO","bragg, raeford, Fayetteville, North Carolina",Offer,"Listed On: Sunday, January 19, 2014",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,"Glock 19 gen 4,  about 100 bucks into the trigger alone, upgraded springs, fully adjustable pull and travel, front glock factory night sight, extended controls and 400 rounds of ammo, includes two 15 round mags and back straps with case"
4,http://www.armslist.com/posts/2585004,Want To Buy:  Tlr,"Greenville, Greenville, South Carolina",Offer,"Listed On: Tuesday, May 27, 2014",Gun,no type,no type,no type,no type,Looking to buy a streamlight tlr1 hl or similar just let me know price and condition can trade 22lr if desired
5,http://www.armslist.com/posts/2585005,For Trade:  Security cameras,"St. Louis, St. Louis, Missouri",Offer,"Listed On: Sunday, January 19, 2014",Miscellaneous,no type,no type,no type,no type,2 night vision security cameras to trade for AR-15
6,http://www.armslist.com/posts/2585006,For Sale:  Glock 23 Gen4 with ammo and extra mags,"Gretna, Omaha, Nebraska","$ 1,160","Listed On: Sunday, January 19, 2014",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"I am selling my Glock 23 Gen4. It has XSBig dot night sights installed. 
Come with the below items:
2 additional 13rd mags for a total of 5
1-15rd mag
3-22rd mags
Bought new on 06/2013
450 rds of JHP ammo 
1,500 rds of FMJ ammo
Will need to work through local FFL to perform transfer"
7,http://www.armslist.com/posts/2585007,For Sale:  22 LR HP,"Fishers, Indianapolis, Indiana",$ 50,"Listed On: Sunday, January 19, 2014",Ammo,no type,no type,no type,no type,"I have two unopened bulk packs of 22lr HP cartridges. One Remington Golden Bullet 550 pack High Velocity Hollow points. One Federal Copper Plated 22LR HP bulk pack of 550. Asking 50 dollars per pack. FTF Hamilton county.

Thanks"
9,http://www.armslist.com/posts/2585009,For Sale/Trade:  Glock 35 G4 with ported slide,"Florence, Huntsville, Alabama",$ 685,"Listed On: Wednesday, January 29, 2014",Handguns,Glock                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,This is a LNIB with 3-13 rd mags
10,http://www.armslist.com/posts/2585010,For Sale/Trade:  LARUE TACTICAL PREDATAR COMPLETE UPPER,"Dayton, Dayton, Ohio","$ 1,400","Listed On: Sunday, March 30, 2014",Rifles,Larue Tactical                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,I have a like new Larue predatar complete upper up for sale or trade. If you know anything about larue you know you cannot purchase anything on this upper unless you purchase the rifle from larue which is over a year back order. This is one of the BEST upper made and if your serious about shooting you should own this!! I would have never got rid of this but I really wanting to pick up a  m1a socom.asking 1400 obo
11,http://www.armslist.com/posts/2585011,For Sale:  Large vintage knife collection for sale,"West Park, Cleveland, Ohio","$ 1,800","Listed On: Sunday, January 19, 2014",Knives,no type,no type,no type,no type,"Collection consists of 42 vintage knives from makers such as Case, Kinfolks, Robeson, Bulldog, Moki, Kissing Crane, etc. plus several custom knives by Woodworth, Fisher and Machearley, etc.  Entire collection has fair market value over $2800, but will sell as a group for $1800.  Thanks for looking, Ron"
13,http://www.armslist.com/posts/2585013,For Sale:  Winchester 1300 12 ga.,"Fort Atkinson, Madison, Wisconsin",$ 275,"Listed On: Sunday, January 19, 2014",Shotguns,Winchester                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"This is a Winchester Ranger 1300 gloss finish 12 gauge.  Gun Is in like new condition has 3 chokes, & has extended magazine. This is a great gun with little use. Shoots 2 3/4 & 3"". I am asking 275.00 obo"
14,http://www.armslist.com/posts/2585014,For Sale/Trade:  New AR-15 556 KAK Bolt Carrier Group MPI tested,"Harrodsburg, Lexington, Kentucky",$ 120,"Listed On: Sunday, January 19, 2014",Gun,no type,no type,no type,no type,This is a new KAK brand MPI (Magnetic Partial Inspection) bolt carrier group. I purchased it to use on an AR build. I have decided to go a different route on my build so I no longer need the BCG. Thanks for viewing my post.
15,http://www.armslist.com/posts/2585015,For Sale/Trade:  M9 Beretta,"St. Marys @ exit 1, Savannah, Georgia",$ 550,"Listed On: Sunday, January 19, 2014",Handguns,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,Beretta M9 great condition with low round count nice and tight. Includes (3) 15 rd Mags and Beretta Case. Minimal wear. $550 or trade for XDS or XDM
16,http://www.armslist.com/posts/2585016,For Sale:  Promag 10rd AK Mag 7.62x39,"Westminster, Denver, Colorado",$ 16,"Listed On: Thursday, January 30, 2014",Magazines,no type,no type,no type,no type,"Promag 10 rd AK-47 Magazine

Andrew Kuzmich
A Touch of Industry LLC
4562 W. 69th Ave.
Westminster, CO  80030

REDACTED
REDACTED 

Hours, (MST)
M-F 10:00 – 18:00, 22:00 – 24:00
S-S 10:00 – 24:00

Please Call Before Coming Over As I Am In And Out"
17,http://www.armslist.com/posts/2585017,For Sale/Trade:  Mossberg Tactical Mariner.....Must See!!!!,"Albertville, Huntsville, Alabama",$ 550,"Listed On: Sunday, January 19, 2014",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,Great Gun .....will sale or trade......$550 cash.....Or trade for 1911 or AK
18,http://www.armslist.com/posts/2585018,For Sale:  380 KELTEC P3ac (2) Magazines Painted Army Green,"east knoxville, Strawberry Plains, Knoxville, Tennessee",$ 280,"Listed On: Sunday, January 19, 2014",Handguns,Kel-Tec                                                                                ,380 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,I have a Keltec 380 P3ac with 2 Magazines and 100 rounds of ammo to get you started. I can be reached at REDACTED. text is Quicker.
19,http://www.armslist.com/posts/2585019,"For Trade:  Highpoint 995TS 9mm Carbine  w/Scope, xtra 15rd mag, and surpressor.","Lakes Region, New Hampshire, United States",Offer,"Listed On: Sunday, January 19, 2014",Rifles,Hi Point                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,"995TS 9mm Hi-Point Carbine

All-weather polymer stock with sling and swivel mounts
Fully adjustable sights
Quick ambidextrous thumb safety
Grip-mounted magazine release
2 magazines included
Vertical forearm grip
This affordable American-made semiautomatic carbine is fun to shoot, but is also a serious home-defense tool. The stock is all-weather polymer with sling and swivel mounts. It has fully adjustable sights and scope mounts as well. Quick ambidextrous thumb safety and grip-mounted magazine release. 2 magazines and free trigger lock included. Vertical grip on the forearm and mounting rails for accessories included."
20,http://www.armslist.com/posts/2585020,For Sale:  S&W 9mm lots of extras,"Vancouver, Washington, United States",$ 350,"Listed On: Wednesday, February 12, 2014",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"Smith and Wesson 9mm with case, five clips, one gun holster, and one dual clip holster. $350.00. Buying a home, need the cash more then the pistol.

The Sigma Series 9VE is the most ergonomically designed production pistol in history. These light to carry double action only pistols offer advanced ergonomics in a polymer frame and stainless steel slide format. 
SPECIFICATIONS:
Category: FIREARMS - HANDGUNS 
Type :Pistol
Action :Double Action Only
Caliber :9 MM
Barrel Length :4""
Capacity :16 + 1
Safety :No Manual Safety
Grips :Polymer
Sights :White Dot (Front); Fixed 2-Dot (Rear)
Weight :24.3 oz
Finish :Stainless Slide/Black Frame

**I will throw in Remington 30.06 with scope and factory camo for 530.00 more if purchased together.**"
21,http://www.armslist.com/posts/2585021,For Trade:  Sig pro 2340,"ADVANCE, Winston Salem, North Carolina",Offer,"Listed On: Sunday, January 19, 2014",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"Sig model 2340 ,  40 s&w cal. Great condition low rounds. Holster and 3 mags."
23,http://www.armslist.com/posts/2585023,For Sale:  Arctic Bushmaster ACR with EOTech,"College, Fairbanks, Alaska","$ 2,200","Listed On: Sunday, January 19, 2014",Rifles,Bushmaster                                                                                ,no type,Semi-automatic                                                                                ,Rifle,"Bought this gun back in 2011, put almost 3k rounds through it.  Great gun, has shot extremely reliably since I replaced the piston spring two years ago.  Don't have time to shoot it anymore so I'm letting it go.  It's currently wearing a sexy snow white krylon paintjob.  Comes with the pictured eotech and four PMAGs, plus the bushmaster folding stock which has a broken hinge (if you can deal with the hassle of bushmaster customer service, you can probably get it exchanged).  Not selling the pelican case.  $2200 or best offer."
24,http://www.armslist.com/posts/2585024,For Sale:  Marlin 336 30/30.,"Elberta, Alabama, United States",$ 325,"Listed On: Sunday, January 19, 2014",Rifles,Marlin                                                                                ,30-30 Winchester                                                                                ,Lever Action                                                                                ,Rifle,Marlin 336 30/30 in good condition.  Old style does not have cross bolt safety.
25,http://www.armslist.com/posts/2585025,For Trade:  Glock29 SF,"Pueblo, Penrose, Colorado Springs, Colorado",Offer,"Listed On: Sunday, January 19, 2014",Handguns,Glock                                                                                ,no type,Striker Fire                                                                                ,Pistol,"Great shape, fired very little.

4 mags/100 rounds/Box

Will meet in Penrose or Florence"
26,http://www.armslist.com/posts/2585026,For Sale:  Ultramax 40 S&W Conical Lead -Remanufactured,"West Side, Cincinnati, Ohio",$ 16,"Listed On: Sunday, March 30, 2014",Ammo,no type,no type,no type,no type,I have 3 boxes of Ultramax ammunition in 40 S&W caliber.  This is factory remanufactured in the good old USA.  Conical Lead nose bullet.  50 rounds per box.  Price listed is per-box.
27,http://www.armslist.com/posts/2585027,For Sale:  Ruger tang safety m77 7mm Rem mag,"New river, Jacksonville, North Carolina",$ 600,"Listed On: Friday, January 31, 2014",Rifles,Ruger                                                                                ,7mm Remington Magnum                                                                                ,Bolt Action                                                                                ,Rifle,Like the title says I've got a ruger m77 tang safety model 7mag. It's in good shape and has a very smooth action. It's got a few scratches on it but the floor plate is scuffed up. Other than the plate it looks great. I'm interested in trading it don't really have anything specific in mind just make me an offer worst I can say is no. My number is REDACTED
28,http://www.armslist.com/posts/2585028,For Sale:  Franchi I-12,"Mebane, Raleigh / Durham / CH, North Carolina",$ 600,"Listed On: Sunday, January 19, 2014",Shotguns,Franchi                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Franchi I-12 Semi-Automatic Shotgun. 26 Inch barrel, max 4 camo, shoots 2 3/4 & 3 inch shells. Comes with 5 chokes and a choke wrench. Asking $600. Any questions call or text Jake at REDACTED"
29,http://www.armslist.com/posts/2585029,For Sale:  *REDUCED* Sig Sauer M400 Enhanced AR-15 AR15,"Rogersville, Springfield, Missouri",$ 800,"Listed On: Sunday, January 19, 2014",Rifles,Sig Sauer                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a very nice high end AR15 for sale, it is a Sig M400 Enhanced Carbine, it is equipped with Magpul upgrades (grip, stock, forearm, Pmag, etc), rifle is OD green in color, has flip up rear sites, also includes 1 30 round mag. This is an awesome rifle, absolutely nothing wrong with this rifle, it is fantastic!! This rifle will not disappoint! I'm asking $800 firm, not really looking to trade. Need the cash. First one with cash takes it! No lowballers! Call or text 4one7-2O9-481O. Thanks for looking, for the right deal I do have a really nice case, some ammo, and extra mags that I could throw in. I also have several other guns for sale and would make a package deal. Also FS-Custom 257 Roberts and many more."
31,http://www.armslist.com/posts/2585031,For Sale/Trade:  Excellent Condition Sig SP2009,"Summerville, Charleston, South Carolina",$ 425,"Listed On: Friday, January 31, 2014",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"For Sale or Trade: Sig SP2009 with case, manual, and two mags.
I purchased this gun new in 2007 and it is in excellent condition; it has had only 350 rounds fired through it.

Buyer must meet legal requirements to purchase a firearm in South Carolina."
