,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/2143001,For Sale:  Rcbs press and book,"Milwaukie, Portland, Oregon",$ 100,"Listed On: Sunday, September 22, 2013",Ammo,no type,no type,no type,no type,Rcbs rs5 press and abc's of reloading book.  Good used shape comes with primer catcher. Light rust on handle. Was going to start reloading but have changed my mind for now.  $100
2,http://www.armslist.com/posts/2143002,For Sale/Trade:  must have foid,"mount vernon, Southern Illinois, Illinois",$ 1,"Listed On: Saturday, January 18, 2014",Shotguns,Remington                                                                                ,no type,no type,Shotgun,
3,http://www.armslist.com/posts/2143003,For Sale:  9mm Fiocchi 124 grain (9 mm),"South Reno, Reno, Nevada",$ 16,"Listed On: Wednesday, January 1, 2014",Ammo,no type,no type,no type,no type,I have several boxes of this ammo.  $16 a box for two or more boxes or $19 for one box.  You must be 21 so be prepared to show I.D.
4,http://www.armslist.com/posts/2143004,For Sale:  UNBELIEVABLY BRILLIANT L.E.D. Torch !!!,"general area, Bend, Oregon",$ 125,"Listed On: Friday, September 27, 2013",Tactical,no type,no type,no type,no type,"This will reach out a true 400 yards and has Lo/Med./High/Strobe features.
It can be run with 2 batteries or 4 batteries.
Don't leave home without it.
You can't buy this in the local stores.
New in the original packaging.
I use one on a daily basis."
5,http://www.armslist.com/posts/2143005,"For Sale/Trade:  44 Magnum Ruger Super Redhawk W- 7.5 "" barrel W- Leupold 2x Scope","Market st, Jacksonville, North Carolina","$ 1,300","Listed On: Wednesday, October 30, 2013",Handguns,Ruger                                                                                ,44 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"I have a pristine Ruger Super Rehawk in 44 Mag 7.5 "" barrel stainless  with a Leupold 2x scope zeroed at 50 yards and shoots groups 3 "" MOA at 50 yards using 240 grain Federal ammo! I want to trade for a nice AR! Shoot me some photos of what you have!  This weapon is in perfect condition and Scope can be removed in seconds and you can use iron sights, then put scope back on and it's stays zeroed !!! I know what I have invested in this weapon so please no junk! I'm an inactive Marine and know how to take care of a weapon! I also have 200 plus rounds                             Call me at REDACTED"
6,http://www.armslist.com/posts/2143006,For Sale:  Two bows for the price of one!!,"Colorado Springs, Colorado Springs, Colorado",$ 350,"Listed On: Sunday, September 22, 2013",Archery,no type,no type,no type,no type,"2012 PSE stinger 29 1/2"" draw 65# comes with cobra mechanical release and a tarantula soft case. Like new

PSE laser 30"" draw 75# 

(503) three two zero-1121"
7,http://www.armslist.com/posts/2143007,For Sale:  Wood Stock and Barrels for Mossberg 500,"East of Cincinnati, Northern Kentucky, Kentucky",$ 1,"Listed On: Sunday, September 22, 2013",Gun,no type,no type,no type,no type,"I have the following parts for a mossberg 500 12ga shotgun:

Complete wood furniture set with recoil pad. 

Standard long birdshot barrel 

Smooth bore slug barrel with front blade sight and rear pop up sights

Everything is in good, used, and useable condition.  Looking to trade for firearm related items like a gun or ammo. No muzzle loaders. Will also take cash offer on the lot. Call or text Kyle REDACTED."
9,http://www.armslist.com/posts/2143009,For Sale:  5 scammers in a row,"lakes region, Concord, New Hampshire",FREE,"Listed On: Sunday, September 22, 2013",Rifles,Black Dawn                                                                                 ,221 Fireball                                                                                ,Semi-automatic                                                                                ,Rifle,"5 scammers in a row today, They are out in force... BUYER BEWARE.
1-- Kimber SS target II for $850
2-- Colt king cobra for $950
3-- colt 6940 upper $1050
4-- Norinco 84s  $1350
5--Keltec KSG--$950

These scammers are easy to spot... Almost all pricing is low for top of the line weapon.
Biggest give away ALL OF THEM say  location New Hampshire, New Hampshire.
none have a location like concord or lakes region where you can see the gun. They all want to ship to FFL... lets put a stop to these A holes....Keep shooting . Robert"
11,http://www.armslist.com/posts/2143011,For Sale:  Cutom TRP FullRail FDE/Threaded Barrel,"Cle Elum/Ellensburg, Washington, United States","$ 3,000","Listed On: Sunday, September 22, 2013",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Really dont want to do this as this is the Nicest pistol I own but life is life and could use the money I have into it else where like a down on a house. Since the recent work I only have shot the pistol about 50rds and this was right after the work was done about 3-4yrs ago. This is a very accurate and smooth running pistol with a nice and light trigger pull.

SPRINGFIELD TRP FULL RAIL OPERATOR #NM180***

TRP Full Rail - Born August 03'


Items installed after I bought pistol - 
Storm Lake threaded barrel 578x28 
Cerakoted Black & FDE 
STI Long Trigger 
Ed Brown single sided safety 
MARS Mag well  with lanyard loop pin
VZ Operator grips 
EGW Custom barrel bushing and plug
GI Recoil system 

Previous work done before I bought:
Custom work done by Dan Miller from Texas as follows:

Harrison Design Rear sight 
Novak Tritium front sight  (Dead at this time, just never bought another)
Ed Brown Hardcore FP stop 
STI Titanium Hammer Strut 
EGW Titanium mainspring cap 
Nowlin barstock plunger tube 
Ed Brown pins 
Nowlin grip screw bushings 
C&S forged slide stop 
Ed Brown Grip screws 
Nighthawk Custom tool steel extractor 
C&S Tactical II Hammer 
C&S Ultra Match Sear & Disconnector 
Ed Brown checkered tactical mag catch 
S&A beavertail grip safety"
12,http://www.armslist.com/posts/2143012,For Trade:  2 for 1 trade LOOK!,"franklin, Dayton, Ohio",Offer,"Listed On: Sunday, September 22, 2013",Handguns,Savage Arms,no type,no type,no type,I have up for trade is my PA63 any a Savage 87A semi auto 22. Both in great condition.  Will trade for 38 snub
13,http://www.armslist.com/posts/2143013,For Sale:  AK 47  7.63X39  PISTOL  NIB,"Orlando, Orlando, Florida",$ 950,"Listed On: Sunday, September 22, 2013",Handguns,no type,no type,no type,Pistol,"AK Pistol built in the famous Zastava Arms factory Yugo AK-47 Pistol Model PAP M92PV - 7.62x39 caliber New in box ak 47 pistol not rifle 950.00 plus 75.00 for extra stuff

trade value 1050.00 352 634 2o84
Nikon monarch 10x42 binoculars optics 175.00 exc








optics binocular

WILL TRADE FOR:"
14,http://www.armslist.com/posts/2143014,For Sale:  Hi-Point 4595 .45 Carbine + grip + light/laser + sling + 2 15 round mags,"Norwalk, Sandusky, Ohio",$ 425,"Listed On: Sunday, September 22, 2013",Rifles,Hi Point                                                                                ,45 ACP                                                                                ,Semi-automatic                                                                                ,Rifle,"Hi-Point 4595 .45 Carbine + grip + light/laser + sling + 2 15 round mags. Don't bother offering less, priced at retail + accessories. Will not ""part"" it."
16,http://www.armslist.com/posts/2143016,"For Sale:  Daisy 22 cal youth rifle .44 cal "" flair "" pistol for sale as well","St. Cloud fl, Orlando, Florida",$ 200,"Listed On: Sunday, September 22, 2013",Rifles,no type,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,".22 cal daisy rifle with extendable stock not many  of them manufactured. Excellent antique youth rifle. Have a "" pen"" 44 cal ""flair"" pistol for sale as well. You need to call me for info on it. REDACTED"
17,http://www.armslist.com/posts/2143017,For Sale/Trade:  springfield xd9,"n. columbus, Phenix City, Alabama",$ 0,"Listed On: Sunday, September 22, 2013",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"xd9,w 2-16rd mags,hoster, loader great shooter"
19,http://www.armslist.com/posts/2143019,For Trade:  Springfield XD9: NEW CONDITION WITH AMMO,"Belmont NH, Concord, New Hampshire",Offer,"Listed On: Sunday, September 22, 2013",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Springfield XD9 subcompact in new condition. No functional or visual wear. Less than 100rds fired. Night sights, ambi mag release, 13rd mag, 16rd mag, speed loader, fitted holster, mag holder, hard case, all factory paper work, breach lock, cleaning brush, 100rds FMJ's"
20,http://www.armslist.com/posts/2143020,"For Sale/Trade:  XDM 3.8 9mm like new, w/3 factory 19 round magazines","Royal Oak, Detroit, Michigan",$ 575,"Listed On: Tuesday, October 8, 2013",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"I bought this last December, only put about 200 rounds through it, it runs flawlessly, I would just rater have the Match version.  

comes with original hard case, all factory accessories and paper work, plus an additional 19 round factory xdm 9mm mag.

I will consider partial trades, MI sales only."
21,http://www.armslist.com/posts/2143021,For Trade:  looking for a 1911,"N. Raleigh, Raleigh / Durham / CH, North Carolina",Offer,"Listed On: Sunday, September 22, 2013",Handguns,Glock                                                                                ,45 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"A LNIB glock 21 SF with everything from factory and a Beretta Nano in 9 mm also LNIB, I have Kimbers and Sigs, don't care much about plastic guns, so these two have to go.For a right trade, I can add a TLR2 for the glock, it is from stream-light, paid $249 for it, I also have 150 rnds of 9 mm ammo for the nano if I like your trade. Mostly looking for a STI trojan or Para black ops, Kimber, colt, but try me with everything else, as long as it is a 1911,Thank you
p.s. please check prices on your gun and mine on line befor responding, I know what I listed and what I'm looking for."
22,http://www.armslist.com/posts/2143022,For Sale:  700rd sealed can of 7.62x39 ammunition $250 obo,"Ocean Springs, Gulfport / Biloxi, Mississippi",$ 250,"Listed On: Sunday, September 22, 2013",Ammo,no type,no type,no type,no type,I have a sealed can 700 rounds of 7.62x39 ammo.  Can opener included. $250 obo. Wil trade for 500+ rounds of 5.56/.223 ammo! Make an offer!
23,http://www.armslist.com/posts/2143023,For Sale:  smith an wesson da 45,"south side, San Antonio, Texas",$ 1,"Listed On: Sunday, September 22, 2013",Handguns,Smith & Wesson                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Revolver,"I have an old smith & wesson da 45 revolver it shoots 45acp rounds looks great wn functions great lookin for salebor trade 
REDACTED"
24,http://www.armslist.com/posts/2143024,For Sale/Trade:  Ruger m77 7mm with scope,"Olympia, Washington, United States",$ 600,"Listed On: Sunday, September 22, 2013",Rifles,Ruger                                                                                ,7mm Remington Magnum                                                                                ,Bolt Action                                                                                ,Rifle,"Really nice gun just don't have the time to go hunting or anything.


$600 cash firm no less"
