,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
293,http://www.armslist.com/posts/5248293,For Sale:  BSA Super Mag17,"Mt pleasant, Michigan, United States",$ 130,"Listed On: Friday, July 8, 2016",Optics,no type,no type,no type,no type,BSA Super Mag 17 scope nib 17sm4514x44aorgbcp  130.00 no trades unless it is 375 winchester ammothanks
294,http://www.armslist.com/posts/5248294,For Sale:  Spare,"Janesville, Janesville, Wisconsin",$ 40,"Listed On: Saturday, April 2, 2016",Gun,no type,no type,no type,no type,spare parts
295,http://www.armslist.com/posts/5248295,For Sale/Trade:  PENDING 410 law enforcement loads,"East, Madison, Wisconsin",$ 10,"Listed On: Monday, March 7, 2016",Ammo,no type,no type,no type,no type,.410 law enforcement loads. 3 lead pellets .400 buck shot. 1200 ft. Per second.By the box only . $10 a box or 3 boxes or more $8.
296,http://www.armslist.com/posts/5248296,For Sale/Trade:  Custom Remington 870,"Mooresville/Lake Norman Area, Charlotte, North Carolina",$ 400,"Listed On: Wednesday, August 31, 2016",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Remington 870 with a custom wood stock.  Pictures do not do it justice, absolutely a beautiful shotgun!  28"" Barrel 12 gauge holds up to 3"" shells."
297,http://www.armslist.com/posts/5248297,For Sale:  Stainless 243,"benson nc, Raleigh / Durham / CH, North Carolina",$ 400,"Listed On: Sunday, March 13, 2016",Rifles,Savage Arms                                                                                ,243 Winchester                                                                                ,Bolt Action                                                                                ,Rifle,I have a Ducks Unlimited savage 243 it has stainless barrel ducks unlimited in the bolt and du logo on stock shot it 7 times in lead sled to sight in
298,http://www.armslist.com/posts/5248298,For Sale:  Win. Model 70 270 SS FWT,"York, Harrisburg, Pennsylvania",$ 950,"Listed On: Friday, April 1, 2016",Rifles,Winchester                                                                                ,270 Winchester                                                                                ,Bolt Action                                                                                ,Rifle,"As new in the box, never fired. Model 70 270 with beautiful walnut stock and SS barrel & action. Rifle = $950 or Package $1250 which includes Leupold VXII silver 3x9x40, stainless bases and rings."
299,http://www.armslist.com/posts/5248299,For Trade:  .308 AMMO,"Twin cities, Minneapolis / St. Paul, Minnesota",Offer,"Listed On: Saturday, March 12, 2016",Ammo,no type,no type,no type,no type,I have 884 rounds of .308 ammo I would like to trade. All ammo is brass case.220 Federal premium 168 grain sierra matching BTHP335 pmc fmjbt 178 herters 150 grain spce 39 green tip70 soft points 17 hornady 150 grain gmx25 hollow points All this ammo would cost real close to $825 depending exactly were you get it from.
301,http://www.armslist.com/posts/5248301,For Sale:  Cricket Synthetic 22lr,"Miami, Florida, United States",$ 145,"Listed On: Monday, May 23, 2016",Rifles,no type,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,"Cricket Synthetic 22lr **60 DAY LAYAWAY**   Condition New in box Price $145 *Harvey Special** Inventory # G-I-1917 Manufacturer Keystone Sporting Arms, LLC Model Cricket Synthetic Caliber 22LR Type Bolt Action Barrel Length 20in Fun Fact The Cricket Synthetic Bolt Action Rimfire Pistol is an outstanding choice for varmint hunting and recreational shooting applications. The Cricket Synthetic Bolt Action Rimfire Pistol comes packed with features. Rediscover the joy of shooting the versatile and economical .22 Long Rifle."
302,http://www.armslist.com/posts/5248302,For Sale:  Colt AR15 Match HBAR,"Overland Park, Kansas City, Kansas","$ 1,200","Listed On: Saturday, March 12, 2016",Rifles,Colt                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,This is an early post ban Match HBAR. This rifle was my dad's and has only 60 rds through it. Still looks brand new. Comes as shown in the picture. Asking $1200913-52two-189one
303,http://www.armslist.com/posts/5248303,For Sale:  Merkel Model 8 Side by Side,"North East, Pittsburgh, Pennsylvania","$ 1,450","Listed On: Tuesday, September 6, 2016",Shotguns,Merkel                                                                                ,12 Gauge                                                                                ,Side by Side                                                                                ,Shotgun,"Merkel Model 8 side by side 12 gauge, same as Model 47 without ejectors.  Barrels are Improved Cylinder and Modified 28"".  Legth of pull is approximately 13-7/8"".  Condition is excellent, around 4 boxes of ammo shot through it."
306,http://www.armslist.com/posts/5248306,For Sale/Trade:  Colt 16in upper,"Fayetteville, Fayetteville, North Carolina",$ 290,"Listed On: Saturday, March 12, 2016",Gun,no type,no type,no type,no type,"I have for sale a Colt upper receiver, with a new unfired colt 16in M4 profile barrel chambered in 5.56 NATO with a 1:8 twist.  Gas block is a VLTOR low profile block with VLTOR gas tube. Free float handguard is new, it was pulled off of an AR-15 Varmit rifle I use for coyote hunting, I am unsure of the brand but it was pulled off of a new Remington varmint rifle. charging handle is an extended latch charging handle, there is NO bolt carrier group with this upper. There are a few minor scratches as showin in the pictures. Asking $290 OBO"
