,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/164000,For Sale:  MOSIN NAGANT AMMO POUCHES ON BELT 40'S PRODUCTION,"salem, Ohio, United States",$ 15,"Listed On: Monday, July 18, 2011",Tactical,no type,no type,no type,no type,"BELT IS NOT ISSUE, NOR 40;S PRODUCTION. BUT THE POUCHES ARE. SHOULD ALSO BE A 91/30 CLEANING KIT INCLUDED!!! ALL POUCHES ARE IN PERFECT WORKING ORDER. WILL SHIP WITH PAYPAL."
1,http://www.armslist.com/posts/164001,For Sale:  Night GOGGLES / NEW IN BOX .$285/ WAS 499,"SPRING VALLEY, Cincinnati, Ohio",$ 65,"Listed On: Monday, July 18, 2011",Hunting,no type,no type,no type,no type,"ONE DAY 12 HOURS, SUNDAY COURSE
GET EAR DONE
TOM REDACTED"
2,http://www.armslist.com/posts/164002,For Sale/Trade:  Wards Western-Field 600a ERI,"lewis center, Columbus, Ohio",$ 0,"Listed On: Saturday, July 23, 2011",Shotguns,no type,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"wards wetsern-field 600a eri shotgun. its semi-auto chambered in 12ga. 29'' barrel
has complete engravings of game scenes. wood is in great shape. this gun is kept very clean. works flawlessly. wards only made 9,000 of these shotguns before they got bought out.
this gun will continue to increase in value due to no longer made and the mfg is no longer around.

send me an offer. cash or trades. 

trade for glocks (9mm or 40sw)
trade for semi-auto rifles"
3,http://www.armslist.com/posts/164003,For Sale:  MOLLE VEST WOODLAND LIKE NEW NO POUCHES,"salem, Ohio, United States",$ 20,"Listed On: Saturday, July 23, 2011",Tactical,no type,no type,no type,no type,LIKE NEW MOLLE (NOT SURE IF ITS MOLLE I OR II) FULLY ADJUSTABLE READY FOR YOUR CUSTOM LOADOUT!!! SHIP WITH PAYPAL
5,http://www.armslist.com/posts/164005,"For Sale/Trade:  CUSTOM 308, sub moa, great deal","woodward, Oklahoma, United States",$ 0,"Listed On: Monday, July 18, 2011",Rifles,Savage Arms                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"I have a custom savage mod 10, the accue triger has been lightened, recrowned, bolt has been trued up and much more, looking to build a custom 6mm, gun has a acc sd can adaptor, if you are intersted in the adaptor i will leave on firearm. i have no set price just looking for offers, dont low ball me have alot of money in this rifle."
6,http://www.armslist.com/posts/164006,For Sale:  Taurus PT709b for sale,"Southern Middle TN, Nashville, Tennessee",$ 325,"Listed On: Monday, July 18, 2011",Handguns,Taurus                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,I have a slightly used 9mm Taurus for sale.  Most recently shot this weekend.  Email if serious only.....
7,http://www.armslist.com/posts/164007,For Trade:  Glock 37 - New In Box,"East TN - Crossville, Tennessee, United States",$ 455,"Listed On: Monday, July 18, 2011",Handguns,Glock                                                                                ,45 GAP                                                                                ,Striker Fire                                                                                ,Pistol,"Glock 37 - new in box, .45GAP, third generation, two magazines, olive drab polymer frame, black slide.  Prefer FTF to eligible TN resident.  Will ship at cost to your FFL."
8,http://www.armslist.com/posts/164008,For Sale:  Kimber 45,"Sheridan, Indianapolis, Indiana",$ 675,"Listed On: Monday, July 18, 2011",Handguns,Kimber,no type,no type,no type,"Kimber Ultra Carry II  45acp 3 in barrel, Night Sights ,Shot 650 rds conceals easy.Great Carry Gun $675.00"
9,http://www.armslist.com/posts/164009,For Sale/Trade:  Glock 22 RTF2 40 Night Sights & other Extras,"Wesley Chapel, Tampa/St. Pete, Florida",$ 550,"Listed On: Saturday, July 30, 2011",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"SIMPLE, PLAIN, JUST POINT! IT GOES BANG! NEVER GUESS ALWAYS KNOW THE BANG IS THERE! 

GLOCK 22 RTF2 NEWER MODEL - GLOCK STOPPED PRODUCT MIDDLE OF LAST YEAR ON RTF2 WITH FISH GILL SERRATIONS. THEY STARTED PRODUCTION OF THE GLOCK 22 RTF2 GEN 3.5 WITH STRAIGHT SERRATIONS AND NOW ONLY AVAILABLE TO LAW ENFORCEMENT EFFECTIVE 01/2011. MANY LAW ENFORCEMENT AGENCIES HAVE STARTED USING THEM FOR THEY HAVE GREAT GRIP, COMFORTABLE IN THE HAND AND VERY ACCURATE. 

MINT CONDITION GLOCK 22 40 S&W RTF2 - COMPLETE WITH 2-15 RD HIGH CAP. MAGAZINES - MAGAZINE LOADER - BORE BRUSH & ROD - GLOCK GUN LOCK - GLOCK BOX - PAPERWORK - ENVELOPE WITH FACTORY FIRED CARTIRIDGE DATED 12/29/10 - I PURCHASED IT 05/13/2011 - LIFETIME WARRANTY. 

COMES WITH UPGRADES: STAINLESS STEEL GUIDE ASSEMBLY, TOO REDUCE RECOIL & INCREASE FOLLOW UP SHOTS - GRIP PLUG, TOO KEEP DIRTY OUT OF MAGAZINE WELL - AMERI-GLO PRO SERIES NIGHT SIGHTS FRONT SIGHT GREEN / REAR SIGHTS YELLOW - (AmeriGlo sights are machined from US-made bar stock steels and assembled using Swiss-made tritium light sourcest)."
10,http://www.armslist.com/posts/164010,For Sale:  6.8 SPC AR-15,"Coweta, Tulsa, Oklahoma",$ 875,"Listed On: Monday, July 18, 2011",Rifles,Spikes Tactical                                                                                ,6.8mm SPCII                                                                                ,Semi-automatic                                                                                ,Rifle,"New unfired 6.8 SPC AR with Spikes Tactical Lower, Rock River upper, Black Hole Custom 16"" Barrel  with custom muzzle brake and M16 Bolt Carrier. Fixed but removable Sights , Rear is a Troy.  You get two 25 round mags ( One PRI and on C products) and one 5 rd. Also have 4 boxes of Hornady Ammo (80 Rnds). I has a Magpul MOE Handguard and a forward handle. NO TRADES Unless you have a PTR 91 in .308 --- Otherwise Cash ONLY. Can email more pics upon request. I will not ship unless it is to a FFL."
