,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/706000,Want To Buy:  New or Used Ruger LCP,"Delaware, Columbus, Ohio",Offer,"Listed On: Saturday, December 8, 2012",Handguns,Ruger                                                                                ,380 ACP,no type,no type,"I would like to buy a new or used Ruger LCP.  A laser is not a requirement, but if one is included the Crimson Trace is the only laser I am interested in.  I'm not looking to lowball anybody on this, but I am interested in a private party sale.  So just email or text me your asking price and location if you have one for sale. REDACTED

Thank you."
1,http://www.armslist.com/posts/706001,Want To Buy:   Survival Rifle .22 LR,"i am in shady cove, Medford, Oregon",Offer,"Listed On: Saturday, December 8, 2012",Rifles,no type,22 Long Rifle,no type,no type,"looking for a survival 22 lr. it dont need to be brand new something i can throw into my qrad or truck toolbox ,"
2,http://www.armslist.com/posts/706002,For Sale:  Winchester 1300 Shotgun,"Joplin, Mo, Missouri, United States",$ 315,"Listed On: Saturday, December 8, 2012",Shotguns,Winchester                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,This gun probably has less than 100 rounds through it.  I bought it new 15 years ago.  It has been oiled and in its case for most of that time. Great reliable gun.
3,http://www.armslist.com/posts/706003,For Trade:  Springfield XD 9mm Service model,"Moore, Oklahoma City, Oklahoma",Offer,"Listed On: Saturday, December 8, 2012",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"comes in original case with factory accessories in excellent condition. cleaned and oiled after every trip to the range ~1000 through this gun and not one issue.

call or text REDACTED
i can text pics"
4,http://www.armslist.com/posts/706004,For Sale:  Hornady XTP .45 cal 250gr bullet heads,"Rose Hill, Wichita, Kansas",$ 20,"Listed On: Tuesday, January 1, 2013",Ammo,no type,no type,no type,no type,"I bought these blindly, thinking they were .45acp heads. they are opened, still in the plastic, and all present and accounted for. I am firm on the price. These are for. 45lc

Would be willing to trade for 230gr. 45 Cal jhp or 180gr. 40sw bullet hheads 
Thanks for looking"
5,http://www.armslist.com/posts/706005,For Sale:  Gettysburg 1863 Commemorative Revolver,"East Coast, Orlando, Florida",$ 975,"Listed On: Sunday, June 2, 2013",Handguns,no type,no type,Single Action                                                                                ,Revolver,"This is a .44 caliber cap and ball revolver (a functioning replica, from 'America Remembers') with an early number of 3xx out of 1863 produced. Includes solid brass Union and Confederate belt buckles and parchment copy of the Gettysburg Address, plus all the original paperwork. All beautifully displayed in a maroon velvet solid walnut wood locking case. Test fired only at the factory. This gun has been touched with gloves on. The Gold Plated detail is incredible. This is a steal for the serious collector. Absolutely no scratches or blemishes to this fine gun."
6,http://www.armslist.com/posts/706006,For Sale:  Hobart Welder,"Dayton, Dayton, Ohio",$ 500,"Listed On: Saturday, December 8, 2012",Miscellaneous,no type,no type,no type,no type,"I have an older Hobart Arc / Stick Welder I would like to sell or trade for a handgun.

Welder is on a roll around cart and I will also include some 6011 welding rod.

email, call or text (nine-three-seven) 313-112five

Thanks!"
8,http://www.armslist.com/posts/706008,For Sale/Trade:  NAA mini-revolver boxed set,"Bay View, Milwaukee, Wisconsin",$ 1,"Listed On: Saturday, December 8, 2012",Handguns,North American Arms                                                                                ,22 Long Rifle,no type,no type,"NAA mini revolver boxed set; 1each: .22 short, .22 lr, .22wmr. Wooden bIrdshead grips, brushed stainless sides and cylinder, high gloss edges. This is the pre-safety notch style, you can leave as is, or NAA will upgrade cylinders, all internals, and refinish for the cost of shipping ($41) for all three.
I would like to trade for any NAA mini with lr/wmr conversion, KelTec PMR-30, or any .357. Will sell for right cash price. Pictures on request."
9,http://www.armslist.com/posts/706009,For Sale/Trade:  RPD W/DSA RECEIVER 7.62X39 BELT FED AWESOME UNFIRED,"CHANDLER, NEWBURGH, BOONVILLE, Evansville, Indiana","$ 2,500","Listed On: Saturday, December 8, 2012",Rifles,no type,7.62x39                                                                                ,Semi-automatic,no type,"Up for sale.  Brand new unfired Polish belt fed RPD rifle.  Have the fun of shooting/owner a semi-auto belt fed rifle.  Alot cheaper than owning a full auto machine gun.  Shoots the famous AK round.  Still cheap and available pretty much everywhere.  So when the Zombies attack, you will be ready.  Also, extra drums with  the belts are cheap.  Remember you can load all your belts up and not worry about springs going bad.  Like in clips and mags.  So you are always prepared.   The drum it comes with only holds a 100 rounds.  But you link them together and have as many as you want.  1-REDACTED Indiana, my name is Kelly Wayne Baumeyer.  Thank you for looking.  I did not state that this is a stock photo.  Also, it only comes with one 100 round belt and drum."
11,http://www.armslist.com/posts/706011,For Sale:  Eotech 511,"Sourthern Indiana, Louisville, Kentucky",$ 350,"Listed On: Friday, March 15, 2013",Optics,no type,no type,no type,no type,"Excellent condition Eotech 511

Includes hard case."
12,http://www.armslist.com/posts/706012,For Sale:  3x9 Burris,"Yadkin County, North Carolina, United States",$ 150,"Listed On: Sunday, February 3, 2013",Optics,no type,no type,no type,no type,"Made 100% in the USA, lifetime warranty, plex retical. Like new, was mounted with Burris signiture rings so no ring marks, glass is perfect, with box it came in. bought a 4x12 Leupold and no longer need it. Scope is located about 30 miles north west of Winston Salem. REDACTED"
13,http://www.armslist.com/posts/706013,"Want To Buy:  Looking for old ""Project Guns""","Walhalla, Greenville, South Carolina",$ 1,"Listed On: Thursday, February 14, 2013",Shotguns,no type,no type,no type,no type,"I have recently become interested in gunsmithing and I am looking to buy some old, rusty, neglected, broken, or simply unwanted firearms that I can disassemble and learn from. 

I would really like to get a old pump action shotgun, lever-action 30-30, a 1911 pistol, and some old bolt action shotguns and rifles to take apart and attempt to restore. It doesn't matter what kind and I don't care how beat up they are as long as the price is right.

I have some cash and lots of things I can trade. Email me with what you have and what you'd like to get for them and maybe we can make a deal. Again, I am NOT a dealer or a professional gunsmith. I am a hobbyist looking for some old, inexpensive project guns to tinker with and learn from.

I live near Walhalla"
14,http://www.armslist.com/posts/706014,For Sale:  scope adaptor 34mm,"fremont, Sandusky, Ohio",$ 20,"Listed On: Saturday, December 8, 2012",Optics,no type,no type,no type,no type,"this is a scope adapter that attaches to a scope, it can attach a red dot to a scope or other accessories."
15,http://www.armslist.com/posts/706015,For Sale:  30 rd dated ar 15 mags,"niagara, Buffalo, New York",$ 50,"Listed On: Saturday, December 8, 2012",Magazines,no type,no type,no type,no type,"Got some dated center industries mags willing to part with. A total of 6. Most of them dated in 92. two of them in 91. three are ungraded with green followers, the others with anti tilt followers. All legit and in decent shape, the finish is in great shape except on one but still works great and all drop free from my M&P. $50 a piece try for one quick sale but will split if enough interest, ship on your dime or ftf in niagara county. NO NYC"
16,http://www.armslist.com/posts/706016,Want To Buy:  want to buy small handgun,"warsaw, Northern Kentucky, Kentucky",$ 1,"Listed On: Saturday, December 8, 2012",Handguns,Kahr                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Looking to buy a kahr cw9,cw40, or maybe a cw45. keltec p11 or pf9 looking for a local purchase. let me know what you have and price please. Thanks"
17,http://www.armslist.com/posts/706017,For Sale:  Semi-auto stoeger 2000 12 guage,"Newark, Columbus, Ohio",$ 400,"Listed On: Saturday, December 8, 2012",Shotguns,Stoeger                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"With two barrels, all camo
Email for pics"
18,http://www.armslist.com/posts/706018,For Sale:  marlin 60 22 rifles,"west okc, Oklahoma City, Oklahoma",$ 100,"Listed On: Saturday, December 8, 2012",Rifles,Marlin                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,i have about six marlin 60s that i want to sell for 100 ea. or 500 for all REDACTED
19,http://www.armslist.com/posts/706019,For Trade:  Buckmaster MaxPoint Crossbow trade for Varmint Rifle,"Indy, Indianapolis, Indiana",Offer,"Listed On: Saturday, December 8, 2012",Archery,no type,no type,no type,no type,"I've got a very nice Buckmaster MaxPoint crossbow with a Red Dot sight, 4 arrows with broadheads, and 3 with field points. Took a doe at 38 yards with it back in October. It's fast and pretty quiet for a crossbow. Compound split limb bow with #150 draw. 

I'd like to trade it for a varmint caliber rifle - anything from .22mag up to .243 or so. 

I've got pics that I can email if interested."
20,http://www.armslist.com/posts/706020,For Sale:  Lever action-winchester 94ae-.357,"Ft Myers, South West Florida, Florida",$ 300,"Listed On: Saturday, December 8, 2012",Rifles,Winchester                                                                                ,357 Magnum                                                                                ,Lever Action,no type,"This rifle is in great shape, 2 very small scratches on left side(as seen in pic),great shooter.
any questions email your number iand I'll get back to you, thank you."
22,http://www.armslist.com/posts/706022,"For Sale:  24"" Bull Barrel AR15","Tacoma, Southwest Washington, Washington",$ 700,"Listed On: Saturday, December 8, 2012",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic,no type,"24"" Bull Barrel AR15. Lower is Palmetto State Armory, Lower Parts Kit is CMMG, Stock is Magpul PRS-2, Upper is Mega, Barrel is a Broach cut Olympic Arms. It has never been fired. I built it and just dont have much interest in it anymore."
23,http://www.armslist.com/posts/706023,For Sale:  $1.500.00,"kingston, Knoxville, Tennessee","$ 1,500","Listed On: Saturday, December 8, 2012",Handguns,Colt                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,1918 colt 1911 shoot like a dream 1500.00 cash only no trades please don't contact me with a trade its christmas and i need cash i can text you pics and info that you need text me at REDACTED thanks
25,http://www.armslist.com/posts/706025,For Sale:  Kel-Tec P-3at W/Hard chrome finish,"Bluffton, Lima, Ohio",$ 300,"Listed On: Saturday, December 8, 2012",Handguns,Kel-Tec                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,"For sale is a next to new Kel-Tec P-3at 380 w/hard chrome slide. This pistol comes with holster, soft case, two mags, Pachmyer palm swell, two pinky finger mag extension floor plates, velvet rear pocket holder, slide mounted belt clip, and hard case with original paperwork. This pistol is awesome looking and awesome shooting. Keltecweapons.com you will find the MSRP on this pistol is 377.00 and that is for the pistol alone. This unit has many accessories. With all included you would have around 450.00 plus tax in this unit. So save some bucks and tax. I am firm on the price, too many accessories to sell for less. 
Thanks for looking"
26,http://www.armslist.com/posts/706026,For Sale/Trade:  1400,"Westside, Indianapolis, Indiana","$ 1,400","Listed On: Saturday, December 8, 2012",Antique,no type,no type,no type,no type,"Postal Meter M1 30 cal. stamped ""U"" very nice condition. will send photos if interested."
27,http://www.armslist.com/posts/706027,Want To Buy:  FNP 9MM FDE CASH IN HAND,"anderson, Indiana, United States",$ 500,"Listed On: Monday, December 31, 2012",Handguns,no type,9mm Luger (9x19)                                                                                ,no type,Pistol,"I HAVE CASH AND AM LOOKING TO BUY A COUPLE GUNS WILL GIVE GOING PRICE, IM LOOKING FOR A FNP 9MM IN FLAT DARK EARTH COLOR, AND ALSO LOOKING FOR A FNP TACTICAL 45 IN FDE FLAT DARK EARTH COLOR, IF YOU HAVE EATHER JUST CALL OR TEXT ME PICE,SHAPE, AND LOCATION, THANKS 765-610-594THREE"
28,http://www.armslist.com/posts/706028,For Trade:  Mk commando 2 mags & custom muzzle loader,"Denver, Colorado, United States",Offer,"Listed On: Saturday, December 8, 2012",Rifles,no type,45 ACP,no type,no type,"I have an mk commando in .45acp and it has 2 mags. It will eat any type of ammo and I haven't had one jam. This thing is super sturdy and can survive a nuclear blast.

I also have a custom muzzle loader .50 cal with some engraving on the side ad the hammer&trigger work perfectly. Still shoots completely perfect."
29,http://www.armslist.com/posts/706029,For Sale:  Remington 870P Max NIB,"Mustang, Oklahoma City, Oklahoma","$ 1,150","Listed On: Saturday, December 8, 2012",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"18"" barrel with parkerized finish
Davis Speedfeed® IV-S full pistol grip buttstock
13"" length-of-pull for ease of handling
2 shot magazine extension tube
Surefire tactical fore-end flashlight with momentary pressure pad and toggle       switch ON/OFF applications

Wilson Combat XS Sight System, Ghost® Ring Sights
    Improved Cylinder choke 
    12ga."
30,http://www.armslist.com/posts/706030,For Sale:  Beretta PX4 Storn Type C .45ACP,"Northwest, Wichita, Kansas",$ 500,"Listed On: Saturday, December 8, 2012",Handguns,Beretta USA                                                                                ,45 ACP                                                                                ,Double Action,no type,"NIB w/2 mags 1-9rd 1-10rd DAO and I'll add 100rds of CCI FMJ.
There's 2 trades I'd consider + cash on my end depending on condition:
Ruger Flat Top Blackhawk blued 5.5"" .45 Colt/.45ACP convertible 
Springfield WWII or Mil-Spec Govn't model
Thank you"
31,http://www.armslist.com/posts/706031,For Sale:  The Ruger American Rifle .270 Win,"SE Aurora, Denver, Colorado",$ 340,"Listed On: Thursday, January 3, 2013",Rifles,Ruger                                                                                ,270 Winchester                                                                                ,Bolt Action,no type,"Ruger 

Model: The Ruger American Rifle 

Caliber: 270 WIN 

Condition: NEW IN BOX 

Add 4.35% for tax and 3% for credit card

Additional Description: This is a solid Ruger American Rifle! The 100% American-made, Ruger American Rifle™ is the latest engineering innovation from America's leading firearms manufacturer. Offered in short- and long-action calibers, the Ruger American Rifle combines the rugged reliability of Ruger's past with the award-winning ingenuity featured in so many of Ruger's new products. 

 MANF: Ruger 

• TYPE: Rifle 
• NUMBER OF MAGAZINES: 1 4-Round Rotary Magazine 
• SAFETY: Tang Safety 
• SIGHTS: No Sights 
• BARREL LGTH: 22"" 
• OVERALL LENGTH: 24.50"" 
• FINISH: Black Composite 
• ACTION: Bolt Action 
• WEIGHT: 6.25lbs 
• RECEIVER: Black Matte, Drilled & Tapped 
• CAPACITY: 4+1 
• FEATURES: Power Bedding, Free Floating Barrel, Scope Bases, Rifling: 1-10"" RH, Marksman Adjustable Trigger. Recoil Pad 

Shipping: $20.00 - lower 48, contact us for Alaska/Hawaii pricing. If you want to pay for insurance, let us know.

Visit us at http://www.anygunwilldo.com for more inventory selection."
33,http://www.armslist.com/posts/706033,For Sale/Trade:  Springfield Armory 1911 GI Champion,"Lima, Lima, Ohio",$ 525,"Listed On: Saturday, December 8, 2012",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,Springfield Armory 1911 GI Champion with 600 rds. through it.
