,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/986001,For Sale:  FN FiveSeveN pistol,"Kitsap, Seattle, Washington","$ 2,400","Listed On: Saturday, February 2, 2013",Handguns,FN Herstal S.A.                                                                                ,5.7x28mm                                                                                ,no type,Pistol,"Low round count FiveSeveN in factory box.  5 magazines and 1100 rounds of factory SS197 ammunition, 60 rounds SS196
Entire package is $2400
ammunition separate is $990
extra magazines are $90/for two"
2,http://www.armslist.com/posts/986002,For Sale:  Magpul Pmags: New W/Windows 30rnd $40,"Nashua, Nashua, New Hampshire",$ 40,"Listed On: Saturday, February 2, 2013",Magazines,FN Herstal S.A.                                                                                ,5.7x28mm                                                                                ,no type,Pistol,"New in the wrap Pmags.

30 Round mags with window, black Gen M2

Will meet face to face within reasonable distance of Nashua.

$40 each, $350 for ten."
4,http://www.armslist.com/posts/986004,For Trade:  New XDS 45 for Champion operator or LW,"Republic, Springfield, Missouri",Offer,"Listed On: Saturday, February 2, 2013",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Trade new XDS 45 with Leather OWB holster and Pearce pinky extension
For a Springfield Campion Operator or LW. Let me know."
5,http://www.armslist.com/posts/986005,For Sale/Trade:  500 Rounds of PMC 55gr FMJ for Sale or Trade,"Alexandria, Northern Virginia, Virginia",$ 425,"Listed On: Saturday, February 2, 2013",Ammo,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"$425 OBO.

Here I have 500 rounds (25 unopened boxes of 20 rounds) of PMC 55 grain FMJ .223 for trade or sale. I prefer to trade locally. Let me know what you have to trade or name a price and we'll come to an arrangement. Looking forward to hearing from you!

What am I looking for? Anything! I will entertain any offer! I am particularly looking for:
--PX4 9mm or .40 S&W (Compact or Full size; not Subcompact)
--.45ACP Handguns
--S&W Revolvers (.357 or .44)
--SKS (Wood Stock, not modified)
--AR-15 Lower Receivers
--Gun Safes

--Anything else you have to offer...let's make a deal...!"
6,http://www.armslist.com/posts/986006,Want To Buy:  WTB: 91/30 Mosin Nagant,"Cleveland, Cleveland, Ohio",$ 125,"Listed On: Friday, February 8, 2013",Rifles,Springfield                                                                                ,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,"I want to buy a mosin nagant 91/30. I want to stay in the $100-150 range.  Will trade or pay.  To trade I have 223/556 ammo, surefire g2 light with rail mount, 12&20 ga. slugs, 12 ga. shot"
7,http://www.armslist.com/posts/986007,For Sale:  Federal 5.56 ammo for sale,"Nashville, Nashville, Tennessee",$ 16,"Listed On: Saturday, February 2, 2013",Ammo,Springfield                                                                                ,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,I have Federal 5.56 ammo for sale! i am asking $16 a box of twenty rounds.
8,http://www.armslist.com/posts/986008,For Sale:  leupoldmark 4,"phenix city, Phenix City, Alabama",$ 750,"Listed On: Saturday, February 2, 2013",Optics,Springfield                                                                                ,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,i have a used Leupold mark 4 CQ/T  1-3-14 mm tactical. scope in very good condition.night vision capable .works great.
9,http://www.armslist.com/posts/986009,For Sale:  h,"Kankakee County, Manteno, I-57 Exit 322, Illinois, United States",$ 5,"Listed On: Sunday, February 3, 2013",Ammo,Springfield                                                                                ,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,h
10,http://www.armslist.com/posts/986010,For Sale:  WTB - - Ishapore .308,"Ft. Myers, Florida, United States",$ 1,"Listed On: Saturday, February 2, 2013",Rifles,Springfield                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"Mannilicher or Jungle carbine.

What do you have?

.308 only please."
12,http://www.armslist.com/posts/986012,For Trade:  TP LINK Portable Wireless N Router 3G/4G BRAND NEW (TWO ROUTERS INCLUDED),"West Chester, Cincinnati, Ohio",Offer,"Listed On: Saturday, February 2, 2013",Miscellaneous,no type,no type,no type,no type,"TP LINK Wireless Routers

Included for trade are TWO TP Link Wireless Routers

Portable 3G/4G Wireless N Router Model # TL-MR3020 & Portable Battery Powered 3G/3.75G Wireless N Router Model # TL - MR3040

Both Brand New - Sealed!

Check their website for specs!

Compable with iPhone, Android, Blackberry, iPod Touch, iPad, Kindle and any WiFi Enabled Device!"
13,http://www.armslist.com/posts/986013,For Sale:  M14/M1A Synthetic Stock,"subs, Cleveland, Ohio",$ 70,"Listed On: Friday, February 15, 2013",Gun,no type,no type,no type,no type,"Synthetic Stock, Forearm and Butt Plate for M14/M1A"
16,http://www.armslist.com/posts/986016,For Sale:  Hipoint .40 S&W Brand New in Box,"40 min East of St. Paul in Western WI, Minneapolis / St. Paul, Minnesota",$ 300,"Listed On: Saturday, February 2, 2013",Handguns,Hi Point                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,I've had this pistol for awhile and all it's done is sit in the box. Comes with 1 mag and trigger lock.  I don't care about paperwork.
18,http://www.armslist.com/posts/986018,For Sale:  Glock 23 factory 13 round mags,"Loveland, Fort Collins, Colorado",$ 50,"Listed On: Sunday, February 10, 2013",Magazines,no type,no type,no type,no type,For sale is factory new glock 23 13 round mags. 50.00 each
19,http://www.armslist.com/posts/986019,For Sale:  Brand New PMC 223/556 Brass Reloadable Ammo,"Nashville, Nashville, Tennessee",$ 15,"Listed On: Thursday, March 14, 2013",Ammo,no type,no type,no type,no type,"I have two cases of re-loadable PMC Brass 223 Ammo that I am looking to sell off.  All rounds are brand new and still in the boxes.  $15 a box or $750 for 1000 rounds. 

Also have .40 and 9mm as well for sale.

Please feel free to email here or call/text 615.483.291three 

will trade for 22lr or 9mm as well"
22,http://www.armslist.com/posts/986022,For Sale:  tactical gear,"powell, Knoxville, Tennessee",$ 1,"Listed On: Saturday, February 2, 2013",Tactical,no type,no type,no type,no type,I have 1 gps bipod foregrip new cost $140.00 and I have 2 knight armament co foregrips which new are $68.00 each and 1 surefire helment light with white light and red light and infarred light which new is $190.00. I will sell as package or individuals. As a package will take 250.00 or as individual I will sell gps bipod for $80.00 the knight foregrips for $35.00 and $100.00 for the surefire light. I am also interested in trade for bolt action rifles. Call or text @ REDACTED.
25,http://www.armslist.com/posts/986025,"For Sale:  Glock 22, 15 round Magazine BRAND NEW GLOCK OEM Mag","South OKC, Oklahoma City, Oklahoma",$ 70,"Listed On: Saturday, February 2, 2013",Magazines,no type,no type,no type,no type,"Brand new from GLOCK.  Glock 22 15 round magazine.  I am willing to sell via paypal if needed and can ship to you where ever, as long as it is legal to ship there.  PayPal offers great protection to ensure you get what you are buying.  I use them all the time for eBay and ARMSLIST.  I have 2 currently avaliable and am asking $70 each.  You can make offer if you like but they are selling for up to $100 dollars each.  I sold my last pair for $85 each.  ***Brand NEW never used*****"
26,http://www.armslist.com/posts/986026,For Sale/Trade:  500+ .380 acp polished brass cases (will ship),"West, Knoxville, Tennessee",$ 50,"Listed On: Thursday, February 21, 2013",Ammo,no type,no type,no type,no type,Tumbled and polished but need to be deprimed and sized before reloading.  Can ship anywhere for additional $5.
29,http://www.armslist.com/posts/986029,Want To Buy:  Smith & Wesson M&P Shield .40,"West Metro, Minneapolis / St. Paul, Minnesota",$ 1,"Listed On: Saturday, February 2, 2013",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,no type,Pistol,Want to buy new or slighly used. I have a PTP and ID.
30,http://www.armslist.com/posts/986030,For Sale:  Cheap,"Everywhere, Nashville, Tennessee",$ 50,"Listed On: Saturday, February 2, 2013",Ammo,Smith & Wesson                                                                                ,40 S&W                                                                                ,no type,Pistol,"$.70 a round steel case Tula.. Naw that ain't cheap, people we have to lower our demands so our suppliers can catch up, so the prices won't keep going up.  If u don't need it don't buy it thinking there will be no more to go around. Trust me, our suppliers will supply just give them time. Don't worry about those ammo and gun grabbers that are trying to make a buck, they will stop grabbing when they don't sell. Soo don't buy from over priced people or stores. Just wait. Please pass on"
31,http://www.armslist.com/posts/986031,For Trade:  Like New Playstation 3 Package!!,"Portland/Lake Oswego, Portland, Oregon",Offer,"Listed On: Saturday, February 2, 2013",Miscellaneous,Smith & Wesson                                                                                ,40 S&W                                                                                ,no type,Pistol,"I've got a good working, like new ps3 with like 6-7 games! 3 of them not even open yet! Also have DJ hero with turntable controller!!"
33,http://www.armslist.com/posts/986033,For Sale/Trade:  106 rds .308,"colorado springs, Colorado Springs, Colorado",$ 1,"Listed On: Saturday, February 9, 2013",Ammo,no type,no type,no type,no type,"just as title says. winchester brand .308 open to ammo trades preferabley .22 or .40sw. otherwise, 100$. thanks and txt anytime. REDACTED"
34,http://www.armslist.com/posts/986034,For Sale/Trade:  Browning .50cal machine gun barell support,"Spencerport, Rochester, New York",$ 10,"Listed On: Saturday, February 2, 2013",Rifles,Browning,no type,no type,no type,"Selling barell support castings for a browning
.50 cal gun. These are fun conversation pieces
I made a desk lamp out of one.
Make offer"
35,http://www.armslist.com/posts/986035,For Sale/Trade:  wooden pram up for trade,"Eugene, Eugene, Oregon",$ 1,"Listed On: Thursday, September 12, 2013",Fishing,Browning,no type,no type,no type,wooden pram up for trade
36,http://www.armslist.com/posts/986036,For Sale/Trade:  Sig Sauer P239,"Danville, Lexington, Kentucky",$ 1,"Listed On: Saturday, February 2, 2013",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,This is the Diamond Plate edition. It has the stainless slide with diamond plate engravings. The gun is in great shape and shoots well. It is DA/SA with a decocker. Comes with two 8 rd mags along with the original hard plastic case and manual. I purchased this gun new and it has a low round count. Also it comes with a N82 Tactical IWB Tuckable holster. This is a very comfortable and well made holster. Right now I am just seeing what there is to be offered by trade or cash. I would prefer something in .45 acp but am open to almost anything. I will try to respectfully respond to all offers so please be reasonable with your offers. Thank you for looking.
