,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/785000,For Sale:  Winchester 9mm Ammo,"Westside, Indianapolis, Indiana",$ 16,"Listed On: Wednesday, January 2, 2013",Ammo,no type,no type,no type,no type,"I have 6 boxes of 50 Winchester 9mm Super X 147 gr ammo 
They are $16.00 a box of 50 FTF in Avon"
1,http://www.armslist.com/posts/785001,For Sale:  Sig Sauer P226 / P228 9mm Magazine Factory 20 Round,"Muncie, Anderson,, Indianapolis, Indiana",$ 75,"Listed On: Saturday, January 26, 2013",Magazines,no type,no type,no type,no type,"Sig Sauer P226, P228 9mm magazines. 
15 round are $45.00 each        THESE ARE SOLD
20 round are $75.00 each        I ONLY HAVE TWO OF THESE LEFT!  BOTH FOR $135.00
Excellent condition"
2,http://www.armslist.com/posts/785002,For Sale:  DPMS 223/5.56 Oracle,"East, Knoxville, Tennessee","$ 1,500","Listed On: Wednesday, January 2, 2013",Rifles,DPMS                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,New never fired DPMS Oracle with dust cover and forward assist. 1500 OBO.
3,http://www.armslist.com/posts/785003,For Sale:  WTB AK-47,"breckenridge, Colorado, United States",$ 0,"Listed On: Wednesday, January 2, 2013",Rifles,DPMS                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Looking for an AK-47, open to different models. 
Cannot pay the inflated prices people are asking at the moment.
If you want a no hassle legal sale for an honest price let me know what you got."
6,http://www.armslist.com/posts/785006,For Sale/Trade:  LWRC M6A2 Recon SD 5.56,"Madisonville TN, Knoxville, Tennessee","$ 3,200","Listed On: Wednesday, January 2, 2013",Rifles,LWRC International                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have an LWRC rifle, unfired in the box. This is one of 100 produced for a dealer in West Tn. It has all top end extras including Troy pop-up battle sites, Tangodown grip, AAE flash supressor and Eotech 552 sight."
7,http://www.armslist.com/posts/785007,For Trade:  Glock 23 Gen 3,"Maryville, Knoxville, Tennessee",Offer,"Listed On: Wednesday, January 2, 2013",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Hi I have a friend who is looking to trade his Glock 23 gen 3 for a glock 22 or full size 40 or a full size or compact xd or xdm in 40cal. Comes with two mags and speed loader. Only had about 100 rounds down the pipe. Text 865748zero799 or email. 

TRADE ONLY!"
8,http://www.armslist.com/posts/785008,For Sale:  IZHMASH SAIGA-12 SEMI-AUTO SHOTGUN lowered price,"BRANSON, Springfield, Missouri","$ 1,000","Listed On: Thursday, September 26, 2013",Shotguns,Glock                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"WE HAVE A IZHMASH SAIGA-12 STOCK
SEMI-AUTO SHOTGUN

HAS NOT BEEN CONVERTED

IT IS FOR SALE FOR $1000.00

VISIT BRANSON PAWN
 CORNER OF COMMERCIAL AND MAIN STREETS
 DOWNTOWN BRANSON

102 S. COMMERCIAL BRANSON, MO
REDACTED

WE HAVE ALL SORTS OF FIREARMS, AR-15, CONCEALABLE,
 COLLECTABLE, SHOTGUNS, .22 RIFLES, HANDGUNS, AMMO!!"
10,http://www.armslist.com/posts/785010,Want To Buy:  WTB 22-250 hunting rifle,"Tampa, North Tampa, or Pasco County, Tampa/St. Pete, Florida",Offer,"Listed On: Wednesday, January 2, 2013",Rifles,no type,22-250 Remington                                                                                ,Bolt Action                                                                                ,Rifle,I am looking to buy a 22-250 hunting rifle for my son. I would prefer one that already has a scope. Any brand is OK. Let me know what you have and what you are asking for it. Thank you.
11,http://www.armslist.com/posts/785011,For Sale/Trade:   Magpul PMags  20 rnders,"North end, Colorado Springs, Colorado",$ 50,"Listed On: Sunday, January 13, 2013",Magazines,no type,22-250 Remington                                                                                ,Bolt Action                                                                                ,Rifle,"(06) 20 rnd PMag OD Green  $50.00 each  w/dust cover new

  If this post is up then I still have em...............Thanks"
12,http://www.armslist.com/posts/785012,For Trade:  Springfield Xdm 4.5 9mm in OD green,"beech grove, Indianapolis, Indiana",Offer,"Listed On: Tuesday, January 8, 2013",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Bolt Action                                                                                ,Pistol,Lnib.19+1 capacity. has some holster wear. Nothing hideous. I do not want to sell. No cash offers please.
