,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/122001,For Sale:  Hi Point 4095 (original) carbine with ammo .40 cal,"Near Toledo (williston), Toledo, Ohio",$ 175,"Listed On: Friday, April 8, 2011",Rifles,Hi Point                                                                                ,40 S&W                                                                                ,Semi-automatic                                                                                ,Rifle,"This is a very lightly used Hi Point model 4095 chambered in 40 S&W it is the original version as they now have a target stock which you could buy and put on this gun. It has a camo finish comes with a 10 rd magazine, original paperwork, strap, and also 2 boxes of ammo (winchester & cci) one box does have about a dozen rds missing from it .40 ammo isn't cheap keep that in mind with the price I have listed which is as always  o.b.o on the 175.00 Thaks 4 looking! Jason"
2,http://www.armslist.com/posts/122002,For Sale/Trade:  .50 Cal Alexander Arms Ar-15 Beowulf,"East, Wichita, Kansas","$ 1,500","Listed On: Friday, April 8, 2011",Rifles,Alexander Arms                                                                                ,50 Beowulf                                                                                ,Semi-automatic                                                                                ,Rifle,"For sale or trade is my Alexander Arms Ar-15 .50 Beowulf. Its in perfect condition, no marks on it. I've shot 12 rounds through it. Included is a Vortex Strike Fire Red/Green dot scope with optional 2x multiplier, Multi Caliber Lower, Tapco adjustable stock, 7 round magazine, shoulder sling, Iron sights, factory installed pepper box muzzle brake, Magpul trigger guard, decal grips, factory paper work, hard case, and a few rounds. I would like to sell it for 1500 or trade it for a M1A Socom, Ar-15 that shoots 7.62, Remington 700 sps tactical, or Savage Model 10 with 20 inch bull barrel. I would be willing to pay extra cash or vice versa.

 Please feel free to text or call me at REDACTED"
3,http://www.armslist.com/posts/122003,For Trade:  beretta 40 cal,"milwaukee, Milwaukee, Wisconsin",$ 675,"Listed On: Friday, April 8, 2011",Handguns,Beretta USA                                                                                ,40 S&W                                                                                ,no type,Pistol,"new beretta in the box with papers, subcompact semi automatic, lite weight alloy. excellent shape"
5,http://www.armslist.com/posts/122005,"For Sale:  Rhino Quad rail system for Remington 870, 1100, 1187","Auburn, Montgomery, Alabama",$ 125,"Listed On: Friday, April 8, 2011",Tactical,no type,no type,no type,no type,"This is a top of the line complete quad rail system to convert your Remington shotgun to a tactical weapon.  
http://www.youtube.com/watch?v=NbtiG2xlY0c&NR=1  
this video tells you all about it.  Buy it for less than one half retail.  It is made out of T6 6061 Billet aluminum.  MADE IN AMERICA,  weighs 21 oz has install kit and you can access a video on Brownells to see how to install.  Installs in less than five minutes and is rock solid.  Fit great on my 1187 with a vent rib barrel.  Will fit as well on a non vent rib barrel.  Price is for quad rail and complete install kit with tools only;   not shotgun,  light accessories, and sights that are pictured."
7,http://www.armslist.com/posts/122007,Want To Buy:  Ruger Speed Six .357,"Chicago suburbs, Illinois, United States",Offer,"Listed On: Friday, April 8, 2011",Handguns,Ruger                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"WTB a Ruger Speed Six .357 in stainless or blue steel, 2 3/4 inch barrel. Let me know what you have. I have other firearms available for trade."
8,http://www.armslist.com/posts/122008,For Sale:  PRICE REDUCED Century Arms WASR-10 AK-47,"Champaign County, Illinois, United States",$ 400,"Listed On: Friday, April 8, 2011",Rifles,Century International Arms                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"PRICE REDUCED Century Arms WASR-10 AK-47 Very Good Condition
Two 30 Round Tapco Magazines
Rifle Case
320 Rounds Of Wolf Ammunition

In great condition.  Bought new at Indy1500 Gun Show about six months ago and has around 100 rounds shot through it. 

Must have FOID and wait 1 day from decision to purchase.
Champaign County, Urbana, Illinois 61802 
$400 Firm"
9,http://www.armslist.com/posts/122009,For Sale:  COLT DEFENDER WITH EXTRAS,"Aurora, Denver, Colorado",$ 875,"Listed On: Friday, April 8, 2011",Handguns,Colt                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"COLT DEFENDER with Extras less then 100 rounds fired, extended mag. release, New Desantis hip hoster and maching single mag, pouch.

Call Daniel REDACTED
REDACTED
Must be 21 and a legal us citizen"
10,http://www.armslist.com/posts/122010,"For Sale:  G2 Flashlight (Surefire), Safariland Weapon Mount, Two Switches","MID DEL, Oklahoma City, Oklahoma",$ 100,"Listed On: Friday, April 8, 2011",Tactical,no type,no type,no type,no type,"Just as it says. This is a LED G2 flashlight with a pressure and button switch and a Safariland RLS mount. The G2 goes for $70 new, the switches are $40 each, and the RLS is $40. This light works great and with the RLS will mount on any gun that has a rail."
12,http://www.armslist.com/posts/122012,Want To Buy:  WTB:Remington 870 12 Gauge,"North Columbus, Columbus, Ohio",$ 1,"Listed On: Friday, April 8, 2011",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,Looking to buy a nice Remington 870.Send me some details and photos of what you have along with your asking price.
13,http://www.armslist.com/posts/122013,For Sale:  Beretta 92 F 9m Para cal.,"Denver, Denver, Colorado",$ 500,"Listed On: Friday, April 8, 2011",Handguns,Para Ordnance                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Very nce at least 95%

Beritta 92F 9 mm para cal. 
 military version of the 92 series

$500 ferm, no trades

REDACTED"
