,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
2,http://www.armslist.com/posts/1130002,"For Sale:  RUGER SR9,LIKE NEW.","PORT RICHEY, Tampa/St. Pete, Florida",$ 425,"Listed On: Sunday, February 24, 2013",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"RUGER SR9C,STANDARD MAG AND LONG MAG, BOX,PAPERS,AMMO AND HOLSTER.NO E MAILS CAN BE RESPONDED TO. CALL REDACTED"
3,http://www.armslist.com/posts/1130003,For Sale:  Stag Arms Model 3 AR15 AR-15 5.56 Deltapoint,"Georgia, Georgia, United States","$ 1,300","Listed On: Sunday, February 24, 2013",Rifles,Stag Arms                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"The DeltaPoint Reflex Sight by Leupold can be used with nearly any firearm, from handguns to shotguns to AR-style rifles. The Reflex Sight 's applications range from plinking to hunting to competitive shooting, as well as home defense, law enforcement and military. The Leupold DeltaPoint Reflex Sight 's compact size allows mounting of the sight in conjunction with a primary riflescope for use when adjusting fire from distant to short-range targets, or dealing with changing environments in a single tactical encounter.

Caliber:5.56 Nato Chamber
Upper :Forged and Mil Spec.
Sights :None/Gas Block
Barrel :16"" Chrome Lined 1/9 Twist
Selector: Std
Magazine :30 Round*"
5,http://www.armslist.com/posts/1130005,"For Sale:  Brand New, Never Fired DPMS 5.56 carbine.","Union County, Charlotte, North Carolina","$ 1,050","Listed On: Thursday, March 7, 2013",Rifles,DPMS                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Don't currently need this rifle.  Brand new, never shot, perfect condition.  Please call or email.  Emails without a phone number will be treated as spam, and will not be replied to.  Not looking for trades at the moment.   One 30 round mag included.  If the ad is up, the rifle is still available.  REDACTED

Caliber - 5.56 NATO / .223
 Weight (lbs) - 6.3 lbs
 Length - 32.5""/36.5""
 Barrel - 16"" Lightweight 4140 Chromemoly
 Upper Receiver - Extruded 7029 T6 Slick sided Flattop
 Twist - 1x9
 Lower Receiver - Forged 7075 T6
 Stock - Pardus, Com. Tube
 Fire Control - Standard AR-15
 Handguard - Glacier Guard
 Pistol Grip - A2
 Front/Rear Sight - Railed Gas Block / Optics Ready
 Flash Hider - A2 Birdcage"
6,http://www.armslist.com/posts/1130006,For Sale:  simmons bore siter,"Wheatland, Wyoming, United States",$ 30,"Listed On: Thursday, April 18, 2013",Optics,no type,no type,no type,no type,"Simmons Bore siter - has .22 arbor and .30 arbor as well as a universial arbor.
Used it until I went to a laser bore siter.
May trade for 17 hmr ammo"
7,http://www.armslist.com/posts/1130007,For Sale/Trade:  Tec-9 KG-99,"Youngstown, OH, Cleveland, Ohio",$ 600,"Listed On: Thursday, March 7, 2013",Handguns,Intratec                                                                                ,9mm Luger (9x19)                                                                                ,no type,Pistol,"Hi
For sale or trade is a Interdynamic KG-99 in 9mm.  Comes with a 32 round magazine.  This is the rarer variant of the tec-9 and AB-10.  Signs of little use, as there is no gun powder or wear marks in the action.  Great condition all around.  I ran a 5 round test through it and it functions flawlessly.  If you drive to me you can test fire it too.  

$630 cash OBO.

Cash only, face to face transaction.  I live in Canfield OH, just outside of Youngstown, OH.
You must be able to show me an OH DL and/or CCW."
8,http://www.armslist.com/posts/1130008,For Sale/Trade:  AR-15 complete lower reciever,"Jacksonville, Jacksonville, North Carolina",$ 1,"Listed On: Tuesday, March 5, 2013",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,New Frontier polymer lower receiver. Never been used. Willing to trade for whatever you have to offer. Email me to see what we can do.
9,http://www.armslist.com/posts/1130009,For Sale/Trade:  Ruger m77 30-06/scope/ammo,"west okc,ok, Oklahoma City, Oklahoma",$ 700,"Listed On: Sunday, February 24, 2013",Rifles,Ruger                                                                                ,30-06 Springfield                                                                                ,Bolt Action,no type,"nice ruger,6x18x50 tasco scope,110rds of good ammo"
10,http://www.armslist.com/posts/1130010,For Sale:  Quality Ammo,"MEBANE, Raleigh / Durham / CH, North Carolina",$ 5,"Listed On: Friday, March 8, 2013",Ammo,no type,no type,no type,no type,"I have the following brand new ammo:

223 wolf 1500 rd light armor piercing 162 grain..........$15/box twenty(only 400 RD left)

.380 Winchester 400 rounds.......................................................$25/box fifty(400RD LEFT)

.40SMITH & WESSON.WINCHESTER..165 OR 180 GRAIN...........$30/BOX FIFTY(400 RD LEFT)

.40 SMITH & WESSON.WINCHESTER...180 GRAIN HOLLOW TIP..$35/BOX FIFTY(150 RD LEFT)

.40 SMITH & WESSON....REMINGTON....180 GRAIN HOLLOW TIP..$35/BOX 50(100 RD LEFT)

.357 sig Sellier and Bellot....................25 rd box....$10

12 gauge OO BUCK WINCHESTER 5 PACKS..............$7

Text REDACTED"
12,http://www.armslist.com/posts/1130012,For Sale:  Remington XP-100 R Pistol in .35 REM,"Orlando, Orlando, Florida","$ 1,250","Listed On: Sunday, February 24, 2013",Handguns,Remington                                                                                ,no type,Bolt Action                                                                                ,Pistol,"Purchased brand new, this is an UNFIRED Remington XP-100R high power REPEATING bolt action handgun in .35 Remington.  It has NEVER HAD ANY ACCESSORY MOUNTED OR USED AS A DEMO.  This is a PERFECT CONDITION, BRAND NEW IN BOX Remington XP-100R.  I bought two of these and always intended to stash one and sell later, so here it is.  I have never handled it other than take it out of the box once to initially inspect it and again, to photograph it for this auction.  It has remained in a climate controlled bank vault for the duration of its existence. 

It truly is in PERFECT condition.  No optic, sights or bipod have ever been attached to it.  The gun is in the same brand new condition as when I purchased it new over 13 years ago.  This is a heavy-hitting caliber and would be suitable for hunting large game, as a covert tactical sniper handgun or for the sport of simple target shooting.  This was the one and only year the XP-100R was made in this configuration and because of that, I am certain they will be very desirable collector firearms in the future.  Finding one in UNFIRED AND FACTORY NEW IN BOX version like this is even more rare.

Barrel length is 14.5"".  Internal magazine holds 4 rounds.  Comes with factory box and all documentation as received from the factory.  Will ship in a second protective box.  I don't know the production numbers for the different calibers but I have seen mostly the smaller calibers for sale in these models.  I HAVE NOT SEEN MANY 1998 MODELS IN .35 Remington as this one is."
13,http://www.armslist.com/posts/1130013,For Sale:  870 Express 8 Shot,"Milwaukee, Milwaukee, Wisconsin",$ 350,"Listed On: Sunday, February 24, 2013",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Used 870 Express
Holds 8 shells
Scope
Sling"
