,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/3812000,For Sale:  DPMS PANTHER SPORTICAL AR-15 .223/556 WITH UPGRADES,"Monkey Junction, Wilmington, North Carolina",$ 695,"Listed On: Friday, February 6, 2015",Rifles,DPMS                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"NEW, FACTORY BOXES. HAS ALL THE UPGRADES. FRONT/REAR RAILS, DUST COVER, FORWARD ASSIST. SIX POSITION STOCK. ALSO INCLUDES, LEAPERS ACCUSHOT TACTICAL 6X40 RED/GREEN ILLUMINATED SCOPE. (3) 30 ROUND MAGS, AMBIDEXTROUS SINGLE POINT SLING MOUNT WITH BUNGEE SLING. FRONT AND REAR RAIL MOUNT POP UP IRON SIGHTS. NO SHIP, PRICE FIRM, LOCALS ONLY. NEED PROOF YOU ARE NOT A FELON."
2,http://www.armslist.com/posts/3812002,For Sale:  H&K P30L V1 9mm,"Santa Clarita, Los Angeles, California",$ 900,"Listed On: Sunday, December 14, 2014",Handguns,Heckler & Koch                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,Only 50 rounds fired through this H&K P30L 9mm in V1 LEM trigger. All original side grips and back straps come in box.
4,http://www.armslist.com/posts/3812004,Want To Buy:  I'm looking for a ruger lcp 380 or 9mm with laser,"Chattanooga, Chattanooga, Tennessee",$ 300,"Listed On: Sunday, December 14, 2014",Handguns,Ruger                                                                                ,380 ACP                                                                                ,no type,Pistol,Im looking for a ruger lcp with laser in 380 or 9mm I have cash in hand REDACTED
5,http://www.armslist.com/posts/3812005,For Sale:  Heritage Rough Rider .22 Caliber Revolver with mag cylinder,"south, Wichita, Kansas",$ 225,"Listed On: Sunday, December 14, 2014",Handguns,Heritage Manufacturer                                                                                ,22 Long Rifle                                                                                ,no type,Revolver,Brand New in Box Heritage Rough Rider.  Never Shot.  Comes with 22 mag cylinder all paperwork and box. 225.00 cash  or trade for another firearm.  call or text 680-79three7
6,http://www.armslist.com/posts/3812006,For Trade:  Pistols for trade - Ruger SR1911 - Glock 27 - S&W 22 - Ruger LCP,"Portland - South Clackamas, Portland, Oregon",Offer,"Listed On: Sunday, December 14, 2014",Handguns,Ruger                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Ruger SR1911 5"" pistol stainless 45acp
Smith & Wesson 22-a1 22lr pistol
Glock 27 .40 Gen4
Ruger LCP with holster"
8,http://www.armslist.com/posts/3812008,For Sale:  Trp Springfield nib,"Elizabeth, Denver, Colorado","$ 1,300","Listed On: Sunday, December 14, 2014",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Double Action                                                                                ,Pistol,New trp Springfield tactical with box great gun 45 acp 1300.00
9,http://www.armslist.com/posts/3812009,For Sale:  Semi-Auto Linberta 12 Gauge Shotgun,"Odessa, Midland, Texas",$ 440,"Listed On: Sunday, December 14, 2014",Shotguns,no type,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Barely out of the box, never fired Linberta 12 gauge semi auto shotgun. Need some Christmas money. Shotgun comes with lanyard flash suppressor and 40 shells for small game and large game."
10,http://www.armslist.com/posts/3812010,For Sale/Trade:  50 rounds .50 bmg in 30 caliber ammo can,"southeast, Southeast, KS, Kansas",$ 175,"Listed On: Friday, May 1, 2015",Ammo,no type,no type,no type,no type,"50 rounds .50 bmg loaded ammo, lake city brass, in 30 caliber ammo can. 175.00 or trade for 300 win mag ammo of equal value, no reloads call or text REDACTED."
11,http://www.armslist.com/posts/3812011,For Sale:  WTS RARE PRE WAR WINCHESTER 22LR MODEL 62,"St Cloud, Orlando, Florida","$ 1,000","Listed On: Sunday, February 8, 2015",Antique,no type,no type,no type,no type,"BEAUTIFUL PUMP ACTION WINCHESTER 22LR SERIAL NUMBER TELLS GUN WAS MANUFACTURED IN 1940, BLUEING IS ORIGINAL AND LOOKS GREAT, WOOD STOCK LOOKS AWESOME HAS A FEW MINOR SCUFFS, BUTTPLATE IS MISSING A TINY PIECE CAN SEND MORE PICS IF INTERESTED, $1000 OBO MAY CONSIDER PARTIAL TRADES BUT MOSTLY NEED CASH!"
12,http://www.armslist.com/posts/3812012,For Sale/Trade:  Smith and Wesson 410s,"west palm beach, Palm Beach, South Florida",$ 500,"Listed On: Sunday, December 14, 2014",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,"Smith and Wesson 410s
40 caliber 4"" barrel
11+1
4 mags
Trijicon night sights
10 rounds of RIP new ammunition
iwb holster"
13,http://www.armslist.com/posts/3812013,For Sale:  Taurus Tactical OSS 5.25 in barrel,"St. Louis, St. Louis, Missouri",$ 550,"Listed On: Tuesday, December 16, 2014",Handguns,Taurus                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"If developed through direct feedback from Special Forces teams stationed around the world, and the Taurus 24/7 OSS"" is one of the most advanced firearms in the history of pistol making. And is built to meet and/or exceed all requirements laid down by USSOCOM (United States Special Operations Command). 

 And this is extreme duty pistol than offers unprecedented reliability, durability, accuracy and ergonomic functionality. Capable of firing thousands of failure-free rounds in virtually any environment, whether it be jungle humidity and mud, desert heat and sand, or arctic cold and ice and comes in .45 ACP with a 5.25 in barrel for unbelievable accuracy."
14,http://www.armslist.com/posts/3812014,For Sale:  drozd silective fire bb gun,"naples, South West Florida, Florida",$ 325,"Listed On: Saturday, January 17, 2015",Air,no type,no type,no type,no type,have a Drozd selective fire bb gun with high pressure coil hose and 2 - 3000 psi high pressure tanks.. tanks will ship empty !!   also have 4 magazines that hold around 35-40 bbs  these go for 50.00 a piece gun works great !!. didn't  shoot it much..  also have a large c02 tank to.. 325.00  I can work with you on the shipping price ! I'll e-mail pictures to any interested parties..  make sure this is legal in your state!!  any questions call Tommy at  REDACTED...Naples Florida..
15,http://www.armslist.com/posts/3812015,For Sale:  BAR 30-06 with Redfield scope,"Rock falls,il, Rockford, Illinois",$ 800,"Listed On: Monday, December 15, 2014",Rifles,Browning                                                                                ,30-06 Springfield                                                                                ,Semi-automatic                                                                                ,Rifle,Browning Automatic Rifle in 30-06 caliber with sling and clip and new Redfield  (made by Leupold) scope ...I recently purchased a new browning rifle so no longer need this one. It does need to be sighted in since the scope is new and never been used in a hunt.
16,http://www.armslist.com/posts/3812016,For Sale/Trade:  Maadi Ak-47,"Marysville, Seattle, Washington",$ 900,"Listed On: Sunday, December 14, 2014",Rifles,no type,7.62x39                                                                                ,Semi-automatic,no type,"Maadi AK's are as close to Russian original design as they come, as for this one she's a little old but runs flawlessly. Will come with 2 mags. And case."
17,http://www.armslist.com/posts/3812017,For Sale:  SPRINGFIELD XDS 45,"CENTERVILLE, Dayton, Ohio",$ 500,"Listed On: Sunday, December 14, 2014",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"LIKE NEW IN CASE. COMES WITH EVERYTHING IT CAME WITH NEW. EXTRAS INCLUDE A 7 ROUND MAG AND RAP-AROUND GRIPS,  PINKIE EXTESION ON ONE OF THE 5 ROUND MAGS."
18,http://www.armslist.com/posts/3812018,For Sale:  Second Chance body armor,"Central El Paso, El Paso, Texas",$ 50,"Listed On: Sunday, December 14, 2014",Tactical,no type,no type,no type,no type,"Second Chance body armor tan colored with trauma plate insert. Only been worn a few times. Manufacture date 03/2002 level 3 
$50 
Text REDACTED"
