,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/3694001,For Sale:  AR15 Wood Stock Set. Premium Walnut Furniture for your AR15,"Northwest, Wichita, Kansas",$ 249,"Listed On: Monday, November 10, 2014",Gun,no type,no type,no type,no type,"Premium walnut stock set for your AR15. These sets have a hand rubbed oil finish.
The buttstock is an A2 style. It fits the standard A2 length buffer tube. The pistol grip has a ergonomic design. The hand guard has the traditional triangle design. The hand guard fits the standard triangular cap and Delta Ring. We manufacture these in the US and provide a 60 day warranty. See wood4ar15.com for additional information."
2,http://www.armslist.com/posts/3694002,For Sale:  Rock Island Armory 1911 38 super upgraded with two mags,"Hobby Airport, Houston, Texas",$ 580,"Listed On: Monday, November 10, 2014",Handguns,Rock Island Armory                                                                                ,38 Super                                                                                ,Single Action                                                                                ,Pistol,This is a ria 1911 with new  Wilson combat springs and rod. Trigger and beaver tail have also been upgraded. Both mags include bumpers. New grip are also included. I am also throwing in 50 rounds. Call me to meet at REDACTED.... I am open to trade. I'm only  interested in 1911s I am willing to add cash
4,http://www.armslist.com/posts/3694004,For Sale:  Horton crossbow scope,"Tiny town, Clarksville, Tennessee",$ 50,"Listed On: Monday, November 10, 2014",Archery,no type,no type,no type,no type,Brand new in box. Never opened. 2-7x32mm multi reticle in realtree camo. $90 brand new on amazon
5,http://www.armslist.com/posts/3694005,For Sale:  Remington 721,"Vernon Co, La Crosse, Wisconsin",$ 450,"Listed On: Monday, November 10, 2014",Rifles,Remington                                                                                ,270 Winchester                                                                                ,Bolt Action                                                                                ,Rifle,Very nice Remington 721 in .270 with a Lyman peep sight. Very accurate gun. Wood and metal are both in great shape.
6,http://www.armslist.com/posts/3694006,For Sale:  Judge 45lc/410,"N. GB, Green Bay, Wisconsin",$ 325,"Listed On: Monday, November 10, 2014",Handguns,Taurus                                                                                ,45 Long Colt                                                                                ,Single Action                                                                                ,Revolver,"In custom case- like new- do not ask to ship unless
Willing to send copy of FFL AND 25$ 
ship/handling"
7,http://www.armslist.com/posts/3694007,For Sale:  MARLIN GLENFIELD MODEL 30,"Coweta, Tulsa, Oklahoma",$ 400,"Listed On: Monday, November 10, 2014",Rifles,Marlin                                                                                ,30-30 Winchester                                                                                ,Lever Action                                                                                ,Rifle,"MARLIN GLENFIELD MODEL 30

Red Tail Gun and Pawn
144412 South State Hwy.51
Coweta, OK. 74429

Mon.-Fri. 9-5
Sat. 9-2
REDACTED"
8,http://www.armslist.com/posts/3694008,For Sale:  50 cal metal magazines,"Anderson Creek, Fayetteville, North Carolina",$ 100,"Listed On: Monday, November 10, 2014",Rifles,Barrett                                                                                ,50 BMG                                                                                ,Semi-automatic                                                                                ,Rifle,"I have 10 metal Barrett 50 cal magazines, they are slightly used but are in great shape. I no longer have any use for them and now I'm putting them up for sale. I will sale for $125 each or you can get all 10 for $1000. Again these are not the plastic junk ones you can buy for 100 dollars new, these are the best made. If interested please text me REDACTED"
9,http://www.armslist.com/posts/3694009,For Sale:  Beretta Pistol Model PX4 Storm 9MM,"Miami, Miami-Dade, South Florida",$ 450,"Listed On: Wednesday, November 12, 2014",Handguns,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Used condition (w/2 MAGS In Box)
The NATO-certified Beretta Px4 Storm double/single-action semiauto is the culmination Beretta’s experience in engineering pistols for military and law enforcementAbsolute durability, reliability, ergonomics and interchangeability of parts have made it the choice of military and police professionals around the world. Its ease of use, safety of operation and sleek lines are also causing it to be a favorite for self- and home defense as well as for concealed carry. Available in a number of powerful calibers, the PX4 Storm is a handgun that will keep delivering premium Beretta performance even after years of hard use. 
This Model PX4 is Semi-Auto Single/Double ,is in very good condition with light sing of used and peeling.

Inventory#G-12852-1
Serial Number#PZ67797
Manufacture: Beretta USA
Accessories : 2 MAGS
Model:PX4
Caliber:9MM
Capacity:17
Barrel:4
Color:Black Matte Finish"
10,http://www.armslist.com/posts/3694010,For Sale:  Mossberg 100ATR 30-06,"Del City, Oklahoma City, Oklahoma",$ 395,"Listed On: Monday, November 10, 2014",Rifles,Mossberg                                                                                ,30-06 Springfield,no type,no type,Mossberg 100ATR 30-06 - $395
15,http://www.armslist.com/posts/3694015,For Sale:  M24 binos,"Tiny town, Clarksville, Tennessee",$ 60,"Listed On: Monday, November 10, 2014",Targets,no type,no type,no type,no type,Shows wear. Missing a lens cap.
16,http://www.armslist.com/posts/3694016,"For Sale:  Ruger SP101 .357 2"" barrel, NIB","Del City, Oklahoma City, Oklahoma",$ 495,"Listed On: Wednesday, December 10, 2014",Handguns,Ruger                                                                                ,357 Magnum                                                                                ,no type,Revolver,"Ruger SP101 .357 2"" barrel, NIB - $495"
17,http://www.armslist.com/posts/3694017,For Sale:  *NEW* Beretta Nano,"Milford, Cincinnati, Ohio",$ 390,"Listed On: Thursday, December 18, 2014",Handguns,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Beretta Nano
Caliber: 9 mm
Capacity: 6+1
Color: Pink"
18,http://www.armslist.com/posts/3694018,For Sale:  500 Rounds 22LR Remington Thunderbolt ammo,"Northeast, Nashville, Tennessee",$ 50,"Listed On: Monday, November 10, 2014",Ammo,no type,no type,no type,no type,500 round s of 22 LR ammo new in box. Remington Thunderbolt
19,http://www.armslist.com/posts/3694019,For Sale:  Ruger P94DC .40,"Del City, Oklahoma City, Oklahoma",$ 345,"Listed On: Monday, November 10, 2014",Handguns,Ruger                                                                                ,40 S&W                                                                                ,no type,Pistol,Ruger P94DC .40 - $345
20,http://www.armslist.com/posts/3694020,For Sale/Trade:  Yugo SKS  for trade,"Hazel green, Huntsville, Alabama",$ 475,"Listed On: Monday, November 10, 2014",Rifles,Zastava                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,Comes with 2 60 round magazines and a promag 40 round magazine has grande launcher and grande launcher sights and a adjustable gas tube for launching granades also comes with 10 round internal magazine and blade bayonet Yugoslavian sks much nicer than the norincos text me at REDACTED
21,http://www.armslist.com/posts/3694021,"For Sale:  WINCHESTER M*22,22LR","Beloit, just a liittle north of, Rockford, Illinois",$ 100,"Listed On: Monday, November 10, 2014",Ammo,no type,no type,no type,no type,"One, 1000 round pack of Winchester M*22.
Price is firm. Local pickup only."
22,http://www.armslist.com/posts/3694022,"For Sale:  MKE AT-94 A2 9MM Carbine NEW IN BOX!  (HK MP5, Hk 94 Clone)","Renton, Seattle, Washington",$ 1,"Listed On: Saturday, November 22, 2014",Rifles,American Tactical Imports                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,"Brand New in Box Sought-after MKE AT-94 A2 chambered in 9mm. Very hard to find, especially in New In Box & Unfired. MKE of Turkey produced these guns under license by HK Germany using original HK machinery and tooling. MKE AT-94 A2 works as good as the original German made one & works flawlessly out of box. This firearm was imported for a extremely short period of time by ATI and is considered to be the closest clone ever made of German MP5/ HK-94. ATI stopped importing these guns soon after they started and not a lot of them made it into the US.  (less than 500 rifles)  Absolutely Brand New In Box from factory w/ all accessories such as MKE marked 10 rnd mag, cleaning kit, manual, cable, etc that came from the factory. 

I'm asking $2200 or best offer.  

http://www.smallarmsreview.com/display.article.cfm?idarticles=479

I can send some high resolution images if you're interested, This Carbine is perfect."
23,http://www.armslist.com/posts/3694023,Want To Buy:  1911-22,"Lakeland, Memphis, Tennessee",$ 1,"Listed On: Monday, November 10, 2014",Handguns,Colt                                                                                ,22 Long Rifle                                                                                ,no type,Pistol,Would like a Sig or Colt.  Will pay up to $ 300 for the right gun
24,http://www.armslist.com/posts/3694024,"For Sale:  Walther PPX 9mm w/ 3 mags, Holster, & mag holster","Mooresville, Charlotte, North Carolina",$ 350,"Listed On: Monday, November 10, 2014",Handguns,Walther                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Selling a brand new Walther PPX chambered in 9mm. Comes with 3 magazines, holster, and mag holster. 

$350 FTF in the Charlotte Area. Only trade I would consider is a Walther PPS in 9mm."
25,http://www.armslist.com/posts/3694025,For Sale:  X-Products X15 50 round drum mag 5.56/.223,"Eastover, Fayetteville, North Carolina",$ 225,"Listed On: Monday, November 10, 2014",Magazines,no type,no type,no type,no type,"I bought the original X15 mag in the 5.56 and loaded it with my 300 Blackout rounds and wasn't sure it was feeding correctly. I sent it back and they replaced it with this brand new one. (It is not refurbished)
I only open the box to take photos. Never loaded a round.
This 50 round drum is brand new!!
Feel free to make offers or trades."
29,http://www.armslist.com/posts/3694029,For Sale:  New Sig Sauer Mosquito Magazines For Sale,"Castleton, Indianapolis, Indiana",$ 20,"Listed On: Sunday, November 22, 2015",Magazines,no type,no type,no type,no type,"Two New Sig Sauer Mosquito Magazines for sale at $20 each.  Price is FIRM.

Brand new, unopened, in original packaging. No tax and no shipping.
If you can meet in the Castleton area, send me an email.

SEE OUR OTHER LISTINGS:  Click on ""Listings by this user"" above near ""Account: Registered on 7/12/2013""."
30,http://www.armslist.com/posts/3694030,For Sale:  Springfield XD40,"Vancouver / Battle Ground, Southwest Washington, Washington",$ 500,"Listed On: Monday, November 10, 2014",Handguns,Springfield                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Good condition and comes with box, 2 mags and all XD gear. Text or call REDACTED"
32,http://www.armslist.com/posts/3694032,For Sale:  Springfield Armory Model XD-45ACP,"Miami, Miami-Dade, South Florida",$ 490,"Listed On: Monday, January 26, 2015",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"Used condition (Gun Only)
If you’re looking for a pistol to carry and you want something that delivers uncompromising firepower and unusual capacity, look no farther than the XD - 45ACP.

This XD-45ACP (Automatic Colt Pistol), colt semi-Auto,have sings of used and scratches in it,looks and works great.

Inventory#G-7453-1
Serial Number:XD686957
Manufacture:Springfield Armory USA
Model XD-45ACP
Caliber:45
Capacity:13+1
Barrel:4
Color:Black Matte Finish"
