,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/3311000,For Trade:  Sig 556R and WASR AK plus extras,"Decatur, AL, Huntsville, Alabama",Offer,"Listed On: Wednesday, July 23, 2014",Rifles,Sig Sauer                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Sig 556R Gen 2- has Samson back up sights, Zurich wedge, Manticore arms ELSA safety lever and Scorpion grip. It has the bolt on rail parts as well.  Shown is a Mueller speed shot 1-4 power scope that may or may not be included depending on the offer.  I also have a Sightmark Ultra Dot and a Sig light/laser foregrip. The gun shoots great, has less that 500 rounds through it and is kept clean.

Romanian WASR AK- Has K-var furniture, AK74 muzzle style break, Ultimak railed gas tube, Houge grip. and Bushnell TRS-25. It also has a pretty nice adjustable 3 point sling. Shoots great.
In addition to the Bulgarian waffle mags shown I also have the 15 other mags. (5 steel, 2 bulgarian bullet and the rest are tapco)

If the deal is good and or includes ammo I have a little over 2k rounds of 7.62x39.

The deal would have to be amazing for both guns but I'm seeing what's around. Feel free to email me for more pictures of anything listed."
1,http://www.armslist.com/posts/3311001,For Sale/Trade:  Piston AR-Height Diopter Iron Sights,"Olympia, Washington, United States",$ 0,"Listed On: Wednesday, July 23, 2014",Gun,no type,no type,no type,no type,"These diopter sights are the correct height for a piston driven AR (HK 416 sights)(same height as my Troy micros). 

They are in fantastic condition and are a bargain at $120."
2,http://www.armslist.com/posts/3311002,For Sale:  Savage 110S .308 w/ x-tra .223 Barrel,"Brainard Ave., Chattanooga, Tennessee","$ 1,000","Listed On: Wednesday, July 23, 2014",Rifles,Savage Arms                                                                                ,308/7.62 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"This is one of the rare Savage Silhouette rifles, flat finish, bull barrel, sweet trigger and super accurate made in the late 1970's. The stock is the famous stippled ""Wundhammer"" design designed to fill the palm making it rock steady, even freehand!  I was fortunate enough to buy a barrel from the same period from their Varmint version, the 110V. They only offered it in .223 for a single year.

Rifle is excellent, no rust, no damage. The stock has a couple of small finish marks from gun safe banging. This rifle comes with a pair of Redfield 1"" scope rings, locking type, and additionally, a scope base to accept weaver mounts.  The changable bolt face from .308 to .223 is also included.

E-mail me at REDACTED"
3,http://www.armslist.com/posts/3311003,For Sale:  9mm Beretta,"Bessemer, Birmingham, Alabama",$ 450,"Listed On: Wednesday, July 23, 2014",Handguns,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,Beretta FS92 9mm
4,http://www.armslist.com/posts/3311004,For Sale/Trade:  gsg-522P w/extras,"80922, Colorado Springs, Colorado",$ 350,"Listed On: Wednesday, July 23, 2014",Handguns,American Tactical Imports                                                                                ,22 Long Rifle                                                                                ,Single Action                                                                                ,Pistol,"Gsg-522P (pistol, lightweight), w/9 mags, scope mount, forward tri rail, foregrip, extra parts. Will put up pics in the next day or two. Approx 1k rounds thru it, runs good. May trade for other rifle or pistol. Can't hurt to make a trade offer. 22wmr rifle/ccw pistol/other rimfires."
6,http://www.armslist.com/posts/3311006,For Sale:  SOLD,"Alexandria, Northern Virginia, Virginia",$ 0,"Listed On: Wednesday, July 23, 2014",Tactical,no type,no type,no type,no type,SOLD
7,http://www.armslist.com/posts/3311007,For Sale:  LNIB Taurus PT24/7 Pro DS,"South Louisville, Louisville, Kentucky",$ 330,"Listed On: Wednesday, July 23, 2014",Handguns,Taurus                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Have a LNIB S.S. Taurus PT24/7 Pro DS 9mm. Comes with factory box, 17rd mag, manual, key, and brush. Only had 50rds through gun. Price $330."
8,http://www.armslist.com/posts/3311008,Want To Buy:  Home defense pump 12 gauge,"Knoxville, Knoxville, Tennessee",Offer,"Listed On: Wednesday, July 23, 2014",Shotguns,no type,no type,no type,Shotgun,Looking for a maverick88 security or H&R protector 12 gauge. Home defense model. Cash in hand.
9,http://www.armslist.com/posts/3311009,For Trade:  Titleist Golf Clubs & Bag for Firearm,"NE Heights, Albuquerque, New Mexico",Offer,"Listed On: Wednesday, August 19, 2015",Miscellaneous,no type,no type,no type,no type,"Trade, Used Titleist Golf clubs, Ogio Golf Bag and Titleist driver FOR a handgun, rifle or shotgun.

Ogio Blade Light Golf Stand Bag Black/Royal Blue
Right Handed, Used DCI 762 Titleist Irons and Titleist 983K Driver
Driver- Titleist 983K 10.5* Loft with GRAFALLOY Prolite Shaft and original grip.
Titleist Irons(Pitching wedge through 3 iron)- DCI 762 with True Temper Dynamic Gold S300 Shafts."
10,http://www.armslist.com/posts/3311010,For Sale:  Ruger 44 mag. Super Blackhawk,"Winchester, New Hampshire, United States",$ 300,"Listed On: Wednesday, July 23, 2014",Handguns,Ruger                                                                                ,44 Magnum                                                                                ,Single Action                                                                                ,Revolver,"Ruger Super Blackhawk in 44 mag with factory elk horn (I think) grips. Six inch barrel was cut down (by a gun smith) to 4 1/2 inches. Nine job, nice balance, in like new condition. $300.00."
