,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/3755000,For Sale:  Level IIIA Armored Vest and extras! SIZE: XL,"South of Wausau, Wausau, Wisconsin",$ 300,"Listed On: Sunday, January 4, 2015",Tactical,no type,no type,no type,no type,"MAKE SURE TO READ THE WISCONSIN LAW BELOW ABOUT BODY ARMOR

This is a brand new, never been used Level IIIA Bullet Proof Vest. Comes with multiple attachments for the vest (shown in picture). The size of the vest is XL.

Looking for $300 OBO or potentially trade for a revolver. 

In Wisconsin, any adult can purchase and use a bulletproof vest, unless that adult has been convicted of a felony. Bulletproof vests and all other body armor can be purchased online or face-to-face.

In Wisconsin, donning a bulletproof vest during a felony or attempted felony can lead to an additional felony conviction, or the adding of extra years to the final prison sentence. Again, this law affects certain individuals who might wear bulletproof vests, but does not affect retailers."
3,http://www.armslist.com/posts/3755003,For Sale:  20 Gauge,"Shelton, Southwest Washington, Washington",$ 9,"Listed On: Friday, November 28, 2014",Ammo,no type,no type,no type,no type,"5 boxes (25 rounds each) Winchester,  AA,   2 3/4"", 7 1/2 shot, Super Sport Sporting Clays, 20 gauge shot shells.  $9/box or $40 takes all."
4,http://www.armslist.com/posts/3755004,For Sale:  Mossberg 12G with custom engraving from factory,"St. Petersburg, Tampa/St. Pete, Florida",$ 250,"Listed On: Thursday, January 22, 2015",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Custom engraved on both sides, very attractive design.  Gold trigger.  Comes with some ammo.  

Will trade for handguns. 

Text REDACTED"
5,http://www.armslist.com/posts/3755005,For Sale:  complete lower,"rogue valley, Medford, Oregon",$ 260,"Listed On: Wednesday, December 3, 2014",Gun,no type,no type,no type,no type,"Have a US Arms , Patriot 15 complete lower. All composit. Brand new.  Email or text REDACTED"
6,http://www.armslist.com/posts/3755006,For Sale:  Smith & wesson 38 special plus powder snub nose revolver as new in box,"Lexington Frankfort, Lexington, Kentucky",$ 25,"Listed On: Friday, November 28, 2014",Handguns,Smith & Wesson                                                                                ,38 S&W Special                                                                                ,Double / Single Action                                                                                ,Revolver,Smith & wesson 38 special plus powder snub nose revolver as new in box
8,http://www.armslist.com/posts/3755008,For Sale:  Smith and Wesson 357 magnum,"Choteau, Great Falls, Montana",$ 395,"Listed On: Friday, November 28, 2014",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"S&W model 19
6  inch barrel

A very nice shooter, has amazing double action."
9,http://www.armslist.com/posts/3755009,For Sale:  444 Rounds .22 LR ammo and 300 rounds 9mm,"Mystic lake at 3:00/ brooklyn park, Minneapolis / St. Paul, Minnesota",$ 100,"Listed On: Friday, November 28, 2014",Ammo,no type,no type,no type,no type,Text: REDACTED
11,http://www.armslist.com/posts/3755011,For Sale:  Vortex Razor Red Dot,"Cynthiana, Lexington, Kentucky",$ 350,"Listed On: Tuesday, December 30, 2014",Optics,no type,no type,no type,no type,"New condition Vortex Razor with 3MOA dot.  Comes with the box, riser, one hex tool for mounting, one hex tool for windage and elevation adjustment, manual, and cap.  Very tough and clear little red dot.  MAC did a review of these and he loved it!  I can be reached at eight five 9, three three three, eight 7 eight one.  Call or text.  Local sales only.  Cash only."
12,http://www.armslist.com/posts/3755012,For Sale:  .22 Long Rifle,"St. Petersburg, Tampa/St. Pete, Florida",$ 125,"Listed On: Saturday, December 13, 2014",Rifles,no type,22 Long Rifle                                                                                ,no type,Rifle,"I had issues getting it to fire with my short range ammo.  Gun range told me I was using the wrong ammo and I did not want to purchase more.  

I am selling it for $125 firm.  The gun is worth $275 

Please text REDACTED"
13,http://www.armslist.com/posts/3755013,For Sale:  CZ 452 FS - 22 LR,"West End, Billings, Montana",$ 400,"Listed On: Friday, November 28, 2014",Rifles,CZ USA                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,"Near new CZ 452 FS (Mannlicher) complete with box.  I've only shot it about 150 times since buying it new so it's in great condition.

Overall it's a great 22 with a solid, high-quality feel and wonderful iron sights.  This particular rifle also has some unique wood character in the buttstock; see photos for details.

No trades at this time except for a CZ 455 American in 17 HMR."
14,http://www.armslist.com/posts/3755014,"For Sale:  * 666 rounds 22 LR ammo, 300 rounds 9mm ammo, and 3 right hand holsters","Mystic lake at 3:00/brooklyn park, Minneapolis / St. Paul, Minnesota",$ 125,"Listed On: Friday, November 28, 2014",Handguns,no type,22 Long Rifle                                                                                ,no type,Pistol,Text: REDACTED
15,http://www.armslist.com/posts/3755015,For Sale:  Mossberg 835 Ulti-Mag 12 Ga. Pump,"Far West Side, San Antonio, Texas",$ 300,"Listed On: Sunday, January 25, 2015",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Excellent condition.  Camouflage finish.  Fires up to size 3 1/2"" magnum shells.  Comes with full choke, but interchangeable with modified, improved, etc.  Day-glo sights.   NO TRADES.  Must meet in or near Castroville.  Bring ID.

REDACTED"
17,http://www.armslist.com/posts/3755017,For Sale:  M44 Mosin Nagant 1944 Russian with Rubber Buttstock,"Waxahachie, Dallas, Texas",$ 125,"Listed On: Friday, November 28, 2014",Rifles,no type,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,"For sell M44 Mosin Nagant 1944. The Butt plate and bottom round holder have the same serial numbers. Also the barrel and bolt have the same serial numbers. But I will say it looks to me the refurbish crew changed the bolt number to make it match. But I may be wrong. For $150.

It is used has some dings and scratches if you look hard enough.

I have only shot around 70rds through this gun.

If you don't like the rubber butt stock you can take it off and put the metal one back on. It just takes unscrewing 2 screws.

You must pay in cash if in person. And cash, personal check, Walmart transfer, or postal money order if mailed. $32 to ship only to FFL or relic licenses personal. Please note personal checks will have a delay of 2 business days.

Call or Text me Paul REDACTED"
