,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/3974000,For Sale/Trade:  MOSSBERG 930,"POWELL NORTH KNOX, Knoxville, Tennessee",$ 435,"Listed On: Tuesday, February 3, 2015",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,What I have is a mossberg 930 semi automatic shot gun shots 2 3/4 or 3 in shells price is 435.00 FIRM MAY TRADE FOR NICE HAND GUN NO JUNK TRADE VALUE HIGHER  interested please call or text again price is firm  ( REDACTED ) NO EMAILS WILL BE ANSWERED
1,http://www.armslist.com/posts/3974001,For Sale:  Sporterized Enfield and 20 gauge shotgun,"South, Lincoln, Nebraska",$ 175,"Listed On: Thursday, January 29, 2015",Rifles,H&R                                                                                ,no type,Single Shot,no type,"$175 for sporterized Enfield rifle with 5 stripper clips, 40 rounds of ammo, and ammo pouches

$100 for 20 gauge H&R pardner single shot

Buy both for $260"
2,http://www.armslist.com/posts/3974002,"For Sale:  SPRINGFIELD ARMORY XD-S ESSENTIALS PACKAGE 9MM BLACK 3.3"" 7+1 EP XD-S ESSENTIALS PACKAGE 9mm","downtown, Wichita, Kansas",$ 430,"Listed On: Thursday, April 23, 2015",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,"BRAND NEW

SPRINGFIELD ARMORY XD-S ESSENTIALS PACKAGE 9MM BLACK 3.3"" 7+1 EP XD-S ESSENTIALS PACKAGE 9mm

P4 Firearms is happy to announce that we will be doing FREE transfer for ANY POLICE OFFICERS, FIRE FIGHTERS, AND MILITARY from now on!!! For everyone else, it is only $15!!

$430 PLUS TAX
www.p4firearm.com
Call or text REDACTED
1556 N Broadway st suite 500
Wichita Kansas 67214

OPEN MONDAY TO SATURDAY
1:30 PM TO 7:30 PM"
3,http://www.armslist.com/posts/3974003,For Sale:  Thureon Defense 9mm Glock Carbine For Sale,"South Jersey / Philadelphia, New Jersey, United States",$ 900,"Listed On: Thursday, January 29, 2015",Rifles,no type,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,"This is lightly used (under 200 rounds) Thureon Defense 9mm carbine compatible with Glock magazines. Thureon Defense makes one of the best 9mm rifles available. Breaks down to clean in 30-60 seconds with no tools required.
Includes 1 ten round magazine, octagonal handguard, M4 Telescoping buttstock (pinned in place but can be adjusted), Picatinny rail kit including 1 high long top rail (pictured), 1 low long rail, and 2 low short rails. 

Primary Arms Red Dot Sight, 6x magnifier, and MBUS flip sights are available at additional cost. 

Call or text for more information.
Alex
REDACTED"
5,http://www.armslist.com/posts/3974005,"For Sale:  Panasonic 8uk 50"" plasma display","Inverness/280, Birmingham, Alabama",$ 250,"Listed On: Thursday, February 19, 2015",Miscellaneous,no type,no type,no type,no type,"Selling a used but in perfect working condition Panny 50"" 8uk plasma monitor. This was the top of the line plasma when it came out. Supports 1080i via components. Awesome tv but finally got replaced with something bigger and I don't have anywhere to put it. $250 picked up.

Will look at trades of equal value or can add/accept boot depending."
6,http://www.armslist.com/posts/3974006,For Sale:  Glock 42 .380 Automatic NIB,"Oregon Cash Company, INC, Medford, Oregon",$ 430,"Listed On: Thursday, January 29, 2015",Handguns,Glock                                                                                ,380 ACP                                                                                ,no type,Pistol,"We just received two (2) Glock model 42's chambered in .380 automatic. 

These guns are brand new in the box and are ready to be added to your collection. 

Great for concealed carry and personal protection. 

$429.95 Out the door includes your background check! Best price in town!

Come on down to Oregon Cash Company located at: 

909 S Riverside Ave 
Medford, OR 97501
REDACTED

Any Questions ask for Taylor!

P#251"
8,http://www.armslist.com/posts/3974008,For Trade:  mini 14 / ranch rifle,"watkins glen, New York, United States",Offer,"Listed On: Thursday, January 29, 2015",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,Ruger ranch riffle clambered in 223  nice rifle text me if you have something to trade REDACTED
10,http://www.armslist.com/posts/3974010,For Trade:  WTT SIG SAUER SP2022 for S&W Revolver,"Chesapeake, Hampton Roads, Virginia",Offer,"Listed On: Thursday, January 29, 2015",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,"I have a SIG SAUER SP 2022 in 40 S&W. It comes with original box and 1 magazine. Round count is unknown but it has great form, fit, and function. 

http://www.sigsauer.com/CatalogProductDetails/sp2022.aspx"
12,http://www.armslist.com/posts/3974012,For Sale/Trade:  Remington 870 Tactical Magpul edition and ammo.,"Rogers/ Maple Grove, Minneapolis / St. Paul, Minnesota",$ 675,"Listed On: Wednesday, February 4, 2015",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"For sale is a Remingotn 870 Tactical Magpul edition shotgun. The gun only has 20 rounds down the pipe. It comes with an attached rail section and a removable side saddle. It also come with two different cheek risers. And 4 spacers to change the length of pull. A gun lock and a forend removal tool. I will also include 50 rounds of ammo. 30 rounds of 00 buckshot. And 20 Tactical law enforcement slugs. I am asking $675. Buyer must have PTP or CCW. Email with any questions and thank you for your time.
Key Features:
Tried and true 870 receiver milled from solid steel
18.5"" barrel with extended tactical choke tube
Receiver and barrel features tough, weather resistant Cerakote coating
One piece magazine tube
Fully adjustable XS Ghost Ring Sight 
SGA Magpul stock
Spacer system for length of pull adjustment
Cheek risers for use with optics/raised sights
MOE fore-end with improved grip ergonomics
SuperCell™ pad reduces felt recoil by over 50%"
15,http://www.armslist.com/posts/3974015,For Sale/Trade:  Sig Sauer Compact Pistol Laser,"Cleveland, Cleveland, Ohio",$ 0,"Listed On: Friday, February 27, 2015",Gun,no type,no type,no type,no type,"I have a LNIB laser for sale or trade. It is model CPL RMR. it is very bright, mounts on any rail, rifle or pistol. Look up the price and reviews online. Open to offers."
