,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
1,http://www.armslist.com/posts/3537001,"For Sale:  Have 22lr (6,175rds) ammunition for sale for 550.00","Colorado springs, Colorado Springs, Colorado",$ 550,"Listed On: Friday, October 31, 2014",Ammo,no type,no type,no type,no type,"I have 6,175 rds of 22lr ammunition for sale. Ammo is new in boxes, High quality 1200-1280fps, (Federal, Winchester and CCI). I am selling ammunition for 550.00. Please contact me if interested. Thank you"
2,http://www.armslist.com/posts/3537002,For Sale:  Smith and Wesson 1911 .45 ACP,"Norwood, Cincinnati, Ohio",$ 880,"Listed On: Sunday, December 6, 2015",Handguns,Smith & Wesson                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"For sale is a Smith and Wesson 1911 in .45ACP in good used condition. This Firearm comes with (2) Magazines and the original hardshell case 
$879.99"
4,http://www.armslist.com/posts/3537004,For Sale/Trade:  S&W Shield 9mm w/ Holster,"Whispering Pines/Pinehurst, Fayetteville, North Carolina",$ 325,"Listed On: Tuesday, September 30, 2014",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,no type,Pistol,"Excellent condition S&W Shield 9mm for sale.  Comes with two magazines (one w/ grip extension, one w/o), original box and paperwork and a leather IWB holster. Great concealed carry pistol, shoots great!"
5,http://www.armslist.com/posts/3537005,For Sale:  Powders - Alliant & Hodgdon,"Brookville, Dayton, Ohio",$ 25,"Listed On: Thursday, September 25, 2014",Reloading,no type,no type,no type,no type,"For Sale: New, unopened powders.

Alliant Reloader 19 - 1 LB - $25
Alliant Reloader 22 - 2 LBS - $25 per LB

Hodgdon H4350 - 2 LBS - $25 per LB
Hodgdon H4831 - 1 LB - $25
Hodgdon H4831 SC - 2 LBS - $25 per LB

Willing to consider trades - guns, ammo, reloading components for 12ga, 410, 223, 308, 45acp, 9mm luger, 9mm makarov"
7,http://www.armslist.com/posts/3537007,For Sale/Trade:  custom g27 gen3,"north of dayton, Dayton, Ohio",$ 500,"Listed On: Sunday, October 12, 2014",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Glock 27 with stippled frame lightened triggger down to 2.5-3lb a spare mag  which is a 15rd all the mag bottoms are stippled as well, front nitesight, backstrap reduction and trigger upcut and dehorned extended slide release some A hole filled the backstrap gap with epoxy but it works like a slug plug . txt / call REDACTED or email"
8,http://www.armslist.com/posts/3537008,For Sale:  Beretta Cougar 45 cal,"Milwaukee, Wisconsin, United States",$ 600,"Listed On: Thursday, May 21, 2015",Handguns,Beretta USA                                                                                ,45 ACP                                                                                ,Double Action                                                                                ,Pistol,"This gun has been a sought after Beretta all metal and is in perfect coundtion. I have only 50 rounds through it. If you don't know this quality of beretta you should. Call, text, or email 262-337/2844

$600"
9,http://www.armslist.com/posts/3537009,For Sale:  Remington 700 Varmint Target 223,"Valley, Helena, Montana",$ 700,"Listed On: Thursday, September 25, 2014",Rifles,Remington                                                                                ,223/5.56 NATO                                                                                ,Bolt Action                                                                                ,Rifle,"I am selling an excellent condition Remington 700 Varmint Target rifle in 223 Remington. This is the Remington 700 VS Varmint Target 223 with HS Precision stock and 26 inch bull barrel. Gun is in excellent lightly used condition. It is blued, with the bull barrel and the HS Precision grey and black spiderweb stock with aluminum bedding block."
11,http://www.armslist.com/posts/3537011,For Sale:  Surefire Saiga 12 Gauge 5 round Magazines!,"New Holland, Pennsylvania, United States",$ 30,"Listed On: Thursday, October 2, 2014",Magazines,no type,no type,no type,no type,"I have three of the Surefire Saiga 5 round magazines! These are for the 12 Gauge Saiga. I have them at a very low sale price of $30.00 each. If you want me to ship them, I can do that. Message or call our store and speak to Isaiah so I can help you."
12,http://www.armslist.com/posts/3537012,For Sale:  Smith & Wesson 686-6 Performance Center 7-Shot .357 Mag,"1400 W. Battlefield Rd, Springfield, Missouri","$ 1,039","Listed On: Wednesday, October 8, 2014",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"Smith & Wesson 686-6 Performance Center revolver. This is a 7-shot .357 magnum revolver, and is brand new. Priced $1,039.

This Saturday only (October 4th) everything in the store is on sale. 5% off new guns, 10% off used guns, 15% off gun accessories and ammo. Open 9:00-6:00."
13,http://www.armslist.com/posts/3537013,"For Sale:  Ruger SP101 3.06"" SS w/ Hammer .357 Mag Model 5719 NIB!!!","Decatur, Huntsville, Alabama",$ 520,"Listed On: Thursday, September 25, 2014",Handguns,Ruger                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"Ruger SP-101 .357 Mag 3.06” Stainless Barrel w/ Hammer Model 5719 NIB!!!
•	Ruger SP101 .357 Mag 3.06” barrel with hammer!!
•	NIB!!!
•	$519.95
•	Come See Us Today!!!
Payment Options:
•	Money orders
•	Debit Cards
•	MasterCard
•	Visa
•	Discover
•	American Express (In store only)
•	Cash
•	Cashier’s Checks
•	PayPal
•	Please contact us about any other payment inquiries
Store Information:
Monday to Friday 8:30 AM – 5:30 PM
Saturdays 9:00 AM – 4:00 PM
Bama Pawn
305 Beltline Rd NW
Decatur, AL 35601
REDACTED
www.BamaPawn.com
Like us on Facebook!"
