,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/3688000,For Sale:  Savage Mark II BTV,"Hubert, Jacksonville, North Carolina",$ 375,"Listed On: Saturday, January 31, 2015",Rifles,Savage Arms                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,"I have a Savage Mark II BTV .22 rifle for sale. Thumbhole laminate stock, 21"" heavy bbl, accutrigger. Comes with one magazine, original box, manual, trigger adjustment tool, and lock. This rifle is in great shape. Only about 100 rounds fired through it. Please email for more pics if interested."
1,http://www.armslist.com/posts/3688001,For Sale/Trade:  FDE Glock 19,"Woodbridge, Northern Virginia, Virginia",$ 1,"Listed On: Saturday, November 8, 2014",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Rare FDE Glock 19. Feeling it out, possibly trade for another handgun obo."
2,http://www.armslist.com/posts/3688002,For Sale:   Browning A-Bolt - .243 WSSM,"Modesto, Sacramento, California","$ 1,050","Listed On: Saturday, August 22, 2015",Rifles,Browning                                                                                ,243 Winchester                                                                                ,Bolt Action                                                                                ,Rifle,"Browning A-Bolt. Blue, wood stock, .243 Win. Super Short Mag. Has Bushnell Elite 3200, 3X9X40 Firefly scope. $1050 with scope, $850 without scope.

Face to face in Modesto only."
4,http://www.armslist.com/posts/3688004,For Sale:  Nighthawk talon with Crimson trace grips,"Brandon, Tampa/St. Pete, Florida","$ 2,600","Listed On: Saturday, November 8, 2014",Handguns,Nighthawk Custom                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,This gun was purchased in June 2014  has 29 rounds shot out of since purchased comes with everything as new all paperwork test round test sheet two magazines grips have nighthawk logo straight eight night sights in new condition of course paid 3400.00 selling for 2600.00 no less if interested contact REDACTED text call thank you
5,http://www.armslist.com/posts/3688005,"For Sale/Trade:  Marlin bolt, nice scope, free float, 3 clips Not Abused!","augusta/wichita, Wichita, Kansas",$ 250,"Listed On: Saturday, November 8, 2014",Rifles,Marlin                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,"250 cash or might 22 lr ammo in large amount , accu trigger, gun is a low round gun,3x9x40 illuminated scope with covers, price is FIRM would sell for 200 less scope and rings   633-5060  no calls after 9pm"
6,http://www.armslist.com/posts/3688006,For Sale:  Taurus 9mm,"Cincinnati, Cincinnati, Ohio",$ 350,"Listed On: Thursday, November 13, 2014",Handguns,Taurus                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,Taurus pt99 with one factory mag and another 18 round mag.  Older gun with little wear.
7,http://www.armslist.com/posts/3688007,For Sale/Trade:  Taurus TCP 380,"West Asheville, Asheville, North Carolina",$ 350,"Listed On: Saturday, November 8, 2014",Handguns,Taurus                                                                                ,380 ACP                                                                                ,no type,Pistol,Looking to trade my Taurus TCP .380 towards a 9mm. Willing to throw in some ammo and possibly some cash. Has 2 magazines and a pocket holster. Let me know what you might want to trade.
8,http://www.armslist.com/posts/3688008,For Sale:  Savage Sporter 25-20,"45697, Cincinnati, Ohio",$ 240,"Listed On: Saturday, January 17, 2015",Rifles,Savage Arms                                                                                ,25-20 Winchester                                                                                ,Bolt Action                                                                                ,Rifle,"Savage Sporter in 25-20, gun has been used hunting, so it's not real pretty but it works.

Located 50 miles east of Cincinnati OH, want to sell face to face, not interested in shipping.

Calls only, REDACTED

Thanks"
10,http://www.armslist.com/posts/3688010,For Sale:  Savage 93R - .17 HMR,"Modesto, Sacramento, California",$ 400,"Listed On: Saturday, March 28, 2015",Rifles,Savage Arms                                                                                ,17 HMR                                                                                ,Bolt Action                                                                                ,Rifle,"Savage Model 93R. Made prior to the AccuTrigger. Blue with wood stock in .17 HMR. Comes with Bushnell 4X12X40 scope with duplex reticle. $400.00

Face to face in Modesto only."
11,http://www.armslist.com/posts/3688011,For Sale/Trade:  SIG 1911,"moore, Oklahoma City, Oklahoma",$ 800,"Listed On: Saturday, November 8, 2014",Handguns,Sig Sauer                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"5"" 1911.. Railed.. Pristine condition. case, papers, 3 mags. Only trade interests would be a nice, 3"" 1911. or a S&W 686+, 2 1/2"" only."
