,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
3,http://www.armslist.com/posts/7079003,For Sale:  S&W SD9VE,"Fontana, Inland Empire, California",$ 300,"Listed On: Sunday, July 16, 2017",Handguns,Smith & Wesson,no type,no type,no type,"Selling my Smith and Wesson SD9VE had for a few years but only around 800 rounds thru it. Never had issues, did change trigger to apex trigger to soften the pull. asking $300"
6,http://www.armslist.com/posts/7079006,For Sale:  Remington model 81 woodsmaster,"Miramar, Hollywood, Broward, South Florida",$ 600,"Listed On: Sunday, July 16, 2017",Rifles,Remington                                                                                ,no type,Semi-automatic                                                                                ,Rifle,Remington model 81 woodsmaster. Dated 1945. Nice rifle with patina. Needs a new recoil pad. Has scope mount holes. Chamberd in 300 savage. Last shot was over 15 yrs ago. One of the first semi auto rifles. Must sign bill of sale. Cash only. Asking 600. Or best offer.
7,http://www.armslist.com/posts/7079007,For Sale:  Cobra fs380 with (2) mags and ammo,"Titusville, Orlando, Florida",$ 150,"Listed On: Thursday, July 27, 2017",Handguns,Cobra                                                                                ,380 ACP                                                                                ,Semi-automatic                                                                                ,Pistol,"Cobra FS380 Freedom Series train and defend package with (2) 7-round magazines, owner's manual, soft case, and 150 rounds of 380 ACP ammo (105 rounds of 100 grain FMJ & 45 rounds of 90 grain jacketed hollow point XTP defense). This used gun would make a good trainer, truck gun, or inexpensive home protection.  Price is $150 cash firm for everything. OR:If you want just the gun by itself ($110)If you want just the ammo by itself ($45)For sale by private seller located in Titusville FL (just east of Orlando). Buyer must be of legal age to purchase, Florida resident, and non-felon."
9,http://www.armslist.com/posts/7079009,For Sale:  S&W M&P Shield 40,"Boise, Boise, Idaho",$ 430,"Listed On: Sunday, July 16, 2017",Handguns,Smith & Wesson                                                                                ,40 cal                                                                                ,Striker Fire                                                                                ,Pistol,"For sale or trade I have a Smith & Wesson M&P Shield 40. I love the gun to death but I am looking for something else. I am willing to sell or trade. I am interested in springfield sub-compact or compact models. (Springfield XD-9 or Springfield XD-40) May be open to other offers, feel free to ask. Specs:
Caliber: .40 S&W
Capacity: 6+1, 7+1
Safety: Thumb Safety
Barrel Length: 3.1” (7.9 cm)
Overall Length: 6.1""
Front Sight: White Dot
Rear Sight: White 2-Dot
Action: Striker FirePistol does come with the standard 6+1 magazine & extended 7+1 magazine as well. Pistol also comes with 2 IWB conceal kydex holsters, 1 OWB kydex belt loop holster. The OWB holster is not pictured, will send pics upon request.  Pistol is 9/10 condition. Ive fired maybe 500 rounds through it. (MUST be 21 years old, possess a valid ID drivers license and be willing to sign Bill Of Sale). Please do not waste my time, I am not here to waste yours. TIA! Please DO NOT email me, I will more than likley not reply. Best way to contact me is via text. I reply much quicker. REDACTED-Jared"
10,http://www.armslist.com/posts/7079010,For Sale:  Bushnell Scope-RARE!,"Kempsville, Hampton Roads, Virginia",$ 95,"Listed On: Sunday, July 16, 2017",Optics,Smith & Wesson                                                                                ,40 cal                                                                                ,Striker Fire                                                                                ,Pistol,Vintage 4-12x40 AO  Bushnell Scopechief VI scope. High quality optics made by Bausch & Lomb in Japan. This has the BDC elevation turret with the Rare prismatic rangefinder $95 obo
12,http://www.armslist.com/posts/7079012,For Sale/Trade:  gen 2 glock 23 with extras,"monticello, Lafayette, Indiana",$ 600,"Listed On: Sunday, September 3, 2017",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,i have a gen 2 glock 23 the extras list belowndz ss guide rod $20ndz 13lb 15lb and 18lb recoil springs $30stainless steel pins $20Stainless steel extractor $40ilmg 40 to 9 convertion barrel $140extended mag and slind release $40 for bothi also have the 9mm trigger housing with ejector $10and a magpul g17 9mm mag $19text me at REDACTED
13,http://www.armslist.com/posts/7079013,For Sale:  Arisaka type 99 7.7 x 58 mm,"North Kingstown, Rhode Island, United States",$ 350,"Listed On: Tuesday, September 5, 2017",Rifles,Glock                                                                                ,7.7x58 Japanese                                                                                ,Bolt Action                                                                                ,Rifle,"WWII Japanese Arisaka Type 99 bolt action rifle, 5 shot capacity, caliber 7.7x58 mm. Surrendered weapon - mum has been defaced, turned over to U.S. occupation forces post WWII and in storage since then. All original, bore is clean with crisp rifling. No aircraft wing sights. Smooth operating bolt action. We will ship across state lines through your local Federal Firearms License (FFL) Holder. More photos at http://www.wbwip.net/arisaka/"
14,http://www.armslist.com/posts/7079014,For Sale:  Condor Chest Rig/Hydration,"Tulsa, Tulsa, Oklahoma",$ 180,"Listed On: Saturday, September 9, 2017",Rifles,Glock                                                                                ,7.7x58 Japanese                                                                                ,Bolt Action                                                                                ,Rifle,"Never used Condor Chest Rig with hydration back (no bladder included). Have the straps to convert back to just the Chest Rig if the camelback back piece isn't your thing. Also has a High Speed Gear triple double decker magazine pouch. Fits just about any mag you can think of plus the pistol/accessory pouches out front. $100 for the Rig/camelback $100 for the mag pouches$180 for the whole deal.also selling 4 gen 2 magpul pmags, 4 GI mags, and an Omnivore Holster from Blackhawk. $10 a piece for mags, $70 for all 8. $30 for holster."
16,http://www.armslist.com/posts/7079016,For Sale:  Remington 700,"Louisville, Louisville, Kentucky","$ 2,200","Listed On: Sunday, July 16, 2017",Rifles,Remington                                                                                ,300 Winchester Magnum                                                                                ,Bolt Action                                                                                ,Rifle,"remmington 700 heavy barrel long range 300 win mag with leupold vx6 7x42x56, with 34mm tube. Barrett rings. Bipod. Perfect condition. Shot 20 rounds through it. $2200 cash or possible trade to nice dirt bike or street and trail. Contact at REDACTED"
18,http://www.armslist.com/posts/7079018,For Sale/Trade:  300 blackout upper,"Jackson and marshall, Michigan, United States",$ 550,"Listed On: Sunday, July 16, 2017",Gun,no type,no type,no type,no type,"for sale or trade I have a 300 blackout upper receiver. Noveske stripped upper ballistic advantage 8.3"" Hanson performance bblbcm kmra 7"" railfull auto bcgaac 51t flash hider for silencer attachmentmagpul Mbus pro sight setupper has fired 60rounds flawlessIm open to trades or cash offers. I'd like $550 cash for the upper or optics, glocks, ar parts, ammo etc. im basically just getting out of the caliber to streamline a bit. Please contact me direct at REDACTED for questions or offers."
