,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
626,http://www.armslist.com/posts/3568626,For Sale:  $300!! Like new Mossberg 500 with extras,"NW OKC, Oklahoma City, Oklahoma",$ 300,"Listed On: Saturday, October 4, 2014",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,Bought brand new last year. Only one box of shells through it (25) has Extremely nice Black Hawk tactical stock and fore grip. This is the recoil absorbing one with the spring system and was damn expensive. Looking to fund new project. Included are the case and PP ammo. Original stock and foregrip were thrown away as they were crap. Jay call or text only please. Rarely check email 763-7550
627,http://www.armslist.com/posts/3568627,Want To Buy:  CZ P-01 in OD Green,"West Chicago, Illinois, United States",Offer,"Listed On: Wednesday, October 22, 2014",Handguns,CZ USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Like the title says, I am looking for a CZ 75 P-01 with the factory OD Green finish. Would prefer one with the additional NATO approval number (see picture.) Contact me if you have one for sale."
628,http://www.armslist.com/posts/3568628,For Sale:  Ruger SR9c + Holsters,"Clear Lake, Houston, Texas",$ 420,"Listed On: Saturday, October 4, 2014",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Selling an excellent condition SR9c(build date 06/01/14)with 115 rounds thru it. Comes with three 10 round magazines, Talon grips, and two kydex holsters: single clip IWB with adjustable cant and retention from Cook's Holsters, and a double clip from Crown Holsters for IWB or OWB. No trades. Text REDACTED"
629,http://www.armslist.com/posts/3568629,"For Sale/Trade:  CUSTOM SIG SAUER 226, SRT, NIGHT SIGHTS, MATCH BBL.","Loudon NH, Concord, New Hampshire",$ 0,"Listed On: Tuesday, October 28, 2014",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,"Hope your comfortable reading a long list of modifications and Sig Workshop Mods,...

Sig Sauer Short reach Trigger,
Sig Sauer Workshop Barrel Crowning service,
Sig Sauer Match Barrel from Workshop,
Trijicon HD night sights,
Sig Sauer E2 grips, (AWESOME)
Sig Sauer Workshop Feed Ramp Job,
Sig Sauer Workshop Action Polishing,
Sig Performance Recoil Spring,
Custom Solid Stainless Steel Guide Rod
High Tension action Spring,
4 High Cap Magazines,
1 MA Compliant 10rd mag,
Alien Gear Leather/Kydex IWB holster,
Phobus G21 Holster,
Phobus G-Series Mag Carriers,
Factory Box/Manual/Breach plug and Lock,/Etc...

PERFECT MECHANICAL CONDITION,
A- COSMETIC. (small ding, 3 very small scratches.)"
630,http://www.armslist.com/posts/3568630,For Sale:  5 PSL Mags,"Beavercreek, Dayton, Ohio",$ 40,"Listed On: Saturday, October 4, 2014",Magazines,no type,no type,no type,no type,"Got 5 very good condition PSL mags, $40 each shipped.
PayPal only."
631,http://www.armslist.com/posts/3568631,For Trade:  XDS 45,"Alb, Albuquerque, New Mexico",Offer,"Listed On: Saturday, October 4, 2014",Handguns,no type,no type,no type,no type,"Hi I have an xds 45 bi tone with 2 extended mags ,1 shot mag, a holster, mag holster, extra back straps , lock and key. I have had this 45 now for 2 months and have used it for my carry weapon and have put a box of 25 hollow points through it. I am in no rush to let it go and am currently looking into trades. 

Also has original paperwork and case. (All serial numbers are matching )"
633,http://www.armslist.com/posts/3568633,For Sale:  Magpul MOE hand guard,"ponca city, Oklahoma, United States",$ 25,"Listed On: Saturday, January 3, 2015",Gun,no type,no type,no type,no type,"Magpul Moe rifle length hand guard, black, lite use, comes with box, instructions and decal; $25 firm"
634,http://www.armslist.com/posts/3568634,Want To Buy:  Any pistol,"Oceanside, San Diego, California",$ 300,"Listed On: Saturday, October 4, 2014",Handguns,no type,no type,no type,no type,i got 300$ i will buy any available pistol cash and carry please
635,http://www.armslist.com/posts/3568635,For Trade:  Mossberg 410,"., Minneapolis / St. Paul, Minnesota",Offer,"Listed On: Saturday, October 4, 2014",Shotguns,Mossberg                                                                                ,410,no type,no type,500 Mossberg 410.
638,http://www.armslist.com/posts/3568638,For Sale/Trade:  winchester m-70 270 cal. with 3x9x40 scope & ammo like new,"south oklahoma city, Oklahoma City, Oklahoma",$ 550,"Listed On: Saturday, October 4, 2014",Rifles,Winchester                                                                                ,270 Winchester                                                                                ,Bolt Action                                                                                ,Rifle,this was my father in laws - he bought new about 12 years ago and has had less then 40 rounds thrue it = winchester model 70 270 cal. like new  no scratches are ware with hard case / three box's of ammo and a  3x9x40 bushnell scope this rifle is ready for gun season i was getting 1 inch groups at 100 yards  & i need glasses  $550.00 cash are trade for a ( like new ) remington model 11/87  12- gauge you can call are text me at REDACTED
