,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/7823000,For Sale:       Remington 1100  12ga,"Mt. Washington, Ky., Kentucky, United States",$ 600,"Listed On: Friday, May 11, 2018",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"1. Remington 1100 12 ga vr 28"" mod very good condition  $600.  (top gun)bottom gun sold     (bottom gun)E- mail leave a number and I will call youIF YOUR READING THIS IT'S STILL FOR SALE"
2,http://www.armslist.com/posts/7823002,For Trade:  Swedish Mauser  6.5X55mm Carbine,"fresno, Fresno, California",Offer,"Listed On: Saturday, January 13, 2018",Rifles,Mauser                                                                                ,6.5x55 Swedish                                                                                ,Bolt Action                                                                                ,Rifle,"vintage 6.5x55 swedish mauser carbine, modified for scope no sights, not a collector piece but for shooting, transfer in fresno."
3,http://www.armslist.com/posts/7823003,For Sale:  RUGER PRECISION  RIMFIRE 22LR,"EMORY, Dallas, Texas",$ 400,"Listed On: Thursday, January 18, 2018",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,"RUGER PRECISION RIMFIRE 50 ROUNDS SHOT - ADDED A M-LOCK ADAPTER FOR BIPOD AND A HOUGE RUBBER GRIP IN PLACE OF PLASTIC FACTORY GRIP  COMES WITH 15 ROUND MAGAZINE,  BOX AND ALL PAPER WORK   - SCOPE, RINGS AND BIPOD NOT INCULUDED - 903 474 39FOUR ZERO  PICKUP IN EMORY AREA  $400 CASH   ---FOR EVERY ONE ASKING WHY IM SELLING , LOST JOB LAST WEEK DUE TO CIRCUMSTANCES THAT ARE OUT OF MY CONTROL --- BUT PRICE IS FIRM"
5,http://www.armslist.com/posts/7823005,For Sale:  New AR for sale,"Largo, Tampa/St. Pete, Florida",$ 500,"Listed On: Friday, January 19, 2018",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,New AR for sale. CBC 16” upper with 15” free float quad rail and nickel boron bolt carrier. PSA lower with polished enhanced trigger. Pop up sights. Single point sling mount. Magpul stock and magpul handle. Has had 50 rounds down the pipe just to sight in and was cleaned and relubed. Very smooth trigger
6,http://www.armslist.com/posts/7823006,For Sale/Trade:  Ruger Mini 14 Ranch Rifle w Bushnell Elite Scope,"north easat, Wichita, Kansas",$ 1,"Listed On: Saturday, February 24, 2018",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Older Ruger Mini 14 Ranch Rifle.  Based on the Serial number which starts 187-50XXX it was produced in 1986.Rifle is in excellent condition, looks to have been a safe queen.Bushnell Elite 1.5 to 4.5 x 32 scope with firefly reticle.5 Ruger factory 20 round clips.  $700 for everything$600 without the scopeLocal pickup at Cabela's"
7,http://www.armslist.com/posts/7823007,For Sale:  Ruger FDE LCP .380,"Greenfield, Indianapolis, Indiana",$ 200,"Listed On: Saturday, January 13, 2018",Handguns,Ruger                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,"Ruger flat dark earth LCP in .380, comes with two factory 6 round mags, box and pocket holster, plus 20 rounds of Federal Micro HST hollow points.Lowball offers will be ignored, I'm not interested in anything other than cash.  Email or text REDACTED, east Indy or Greenfield meet up only.  Don't text or email unless you actually ate going to buy it."
9,http://www.armslist.com/posts/7823009,"For Sale:  Smith & Wesson 58 .41 Mag Scarce Nickel 4"" $.01 NR Smith & Wesson model 58 like model 57 657 Rare","Austin, Austin, Texas",$ 760,"Listed On: Saturday, January 13, 2018",Handguns,Smith & Wesson                                                                                ,41 Remington Magnum                                                                                ,no type,Revolver,"Smith and Wesson model 58 chambered in .41 Magnum. These were produced from 1964-1977 with just a touch over twenty thousand units being built. This serial number falls into the 1974-1977 era of production. This one sports a 4 inch pinned barrel, recessed 6 shot cylinder, fixed rear sight, and scarce nickel finish. The mechanics and function are smooth and crisp and the bore is like factory new. Wears a set of square butt magna style grips to round this one out."
10,http://www.armslist.com/posts/7823010,For Sale:  Glock 34 mos gen 4,"Hope Mills, Fayetteville, North Carolina",$ 450,"Listed On: Saturday, January 20, 2018",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Basically brand new glock 34 mos gen 4 in fde. Took to the range once bought brand new from a local gun store. Comes with two 17 rd mags and all back straps. $450 FIRM!!!. NO TRADES!!!!! 25$ transfer is required! Have to haveplus pistol purchase permit or conceals!
12,http://www.armslist.com/posts/7823012,For Sale:  Aero Precision AR-10 .308 NIB,"Hilliard/ Springfield, Columbus, Ohio",$ 900,"Listed On: Thursday, January 25, 2018",Rifles,Aero Precision                                                                                ,308/7.62 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,selling a new never fired Aero Precision AR-10 chambered in .308....Comes complete as seen with bipod and 2 mags. Downsizing a collection of firearms that I do not use. 900...cash no trades...
13,http://www.armslist.com/posts/7823013,Want To Buy:  Looking for a lever action in 45lc,"Livonia, Detroit, Michigan",Offer,"Listed On: Saturday, January 13, 2018",Rifles,no type,45 Long Colt                                                                                ,Lever Action                                                                                ,Rifle,Looking for a lever action and 45 Long colt stainless is obviously a plus but will look at all makes and models let me know what you have thank you
14,http://www.armslist.com/posts/7823014,For Sale:  Gunsmith Services,"Jacksonville Area, Jacksonville, North Carolina",FREE,"Listed On: Saturday, February 10, 2018",Services,no type,no type,no type,no type,I am a certfified gunsmith / machinist in the Jacksonville area (Sneads Ferry) and am capable of performing routine cleaning tasks to the extent of a custom build. I am an FFL holder and can do out of state work as well. For reference view my business page facebook/w8precision or simply contact me so we can discuss your next project.
15,http://www.armslist.com/posts/7823015,For Sale:  Scope Rings,"Blaine, Minneapolis / St. Paul, Minnesota",$ 100,"Listed On: Sunday, February 25, 2018",Gun,no type,no type,no type,no type,A.R.M.S. #22 High Throw Lever Scope Rings.  Guaranteed Repeat Zero Hold.  New in package.
16,http://www.armslist.com/posts/7823016,For Sale:  Browning a bolt,"North of knoxville, Knoxville, Tennessee",$ 625,"Listed On: Saturday, January 13, 2018",Rifles,Browning                                                                                ,300 Winchester Magnum                                                                                ,Bolt Action                                                                                ,Rifle,For sale Browning a bolt stainless stalker 300wm. LNIB
17,http://www.armslist.com/posts/7823017,"For Sale:  Smith & Wesson 58 .41 Mag Scarce Nickel 4"" $.01 NR Smith & Wesson model 58 like model 57 657 Rare","Austin, Austin, Texas",$ 770,"Listed On: Saturday, January 13, 2018",Handguns,Smith & Wesson                                                                                ,41 Remington Magnum                                                                                ,no type,Revolver,"Smith and Wesson model 58 chambered in .41 Magnum. These were produced from 1964-1977 with just a touch over twenty thousand units being built. This serial number falls into the 1974-1977 era of production. This one sports a 4 inch pinned barrel, recessed 6 shot cylinder, fixed rear sight, and scarce nickel finish. The mechanics and function are smooth and crisp and the bore is like factory new. Wears a set of square butt magna style grips to round this one out."
19,http://www.armslist.com/posts/7823019,For Sale:  Bushmaster XM15 E-2-5,"Murfreesboro, Murfreesboro, Tennessee",$ 750,"Listed On: Sunday, January 21, 2018",Rifles,Bushmaster                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a Bushmastert XM15 E-2-5 with 2 30rd mags and 100 rds of ammo for sale.It has a 3x9 scope with sling and a quad rail hand support. It has a adjustable stock.Asking $750. I,m selling to buy a big bore pistol. 44mag,454casul, or a 460mag. If you have one of these wouldconsider trade."
20,http://www.armslist.com/posts/7823020,For Sale:  .177 Gamo Swarm Maxxim: 10shot,"Augusta, Augusta, Georgia",$ 120,"Listed On: Sunday, February 4, 2018",Air,no type,no type,no type,no type,"Like new condition. This rifle has only been sighted in,fired less than 20 times. Features 10shot rotary magazine, rifled barrel, Gamo CAT 2stage adjustable trigger. Gamo 3-9x40 scope that is Fogproof, Shockproof, and waterproof. Rated at 1300fps with .177 pellets. Great powerful rifle and cheap to shoot."
22,http://www.armslist.com/posts/7823022,For Sale:  FNX-45,"Moyock, Hampton Roads, Virginia",$ 500,"Listed On: Saturday, January 13, 2018",Handguns,FN Herstal S.A.                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"Come with everything from factory. Not the tactical model! 3 magazines and case. 200 rounds fired. Text for fastest response. REDACTED. Bill of sale to accompany weapon, ensure you are able to own a handgun or I will not sell it to you."
25,http://www.armslist.com/posts/7823025,"For Sale:  Very nice, clean.","North, Akron, Ohio",$ 325,"Listed On: Saturday, January 13, 2018",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Comes with pistol and 6 clips , clip holster and concealed carry holster. Also has lock. Carry bag.  First $400 takes it."
27,http://www.armslist.com/posts/7823027,For Sale:  2 guns for sale,"Russellville, Fort Campbell, Kentucky",$ 500,"Listed On: Saturday, January 13, 2018",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"FIRST UP IS A GLOCK 19 GEN 3, WITH RED LASER, EXTENDED SLIDE RELEASE, 1-15 ROUND MAG, GLOCK PLUG/TAKEDOWN TOOL, FACTORY ADJUSTABLE SIGHTS, 50 ROUNDS AMMO, $500NEXT IS A  S&W 642-1 38 SPECIAL +P AIR WEIGHT REVOLVER, WITH 50 ROUNDS JACKETED HOLLOW POINT=$400MUST MEET IN RUSSELLVILLE, BE AT LEAST 21, KENTUCKY RESIDENT, SHOW KENTUCKY I.D. OR D.L.PREFER KY CCDW HOLDER.TEXT IS BEST REDACTED"
28,http://www.armslist.com/posts/7823028,For Sale:  Chiappa m four 22,"Lorain, Cleveland, Ohio",$ 250,"Listed On: Thursday, January 18, 2018",Rifles,Chiappa                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"Brand new never fired chiappa m four- 22lr. Box , two clips, and all the accessories that it came with including top rail  handle."
29,http://www.armslist.com/posts/7823029,For Sale:  6.5 Grendel Radical Upper  24  Stainless  AR15,"Richardson, Dallas, Texas",$ 500,"Listed On: Thursday, January 18, 2018",Rifles,no type,6.5mm Grendel                                                                                ,Semi-automatic                                                                                ,Rifle,"...Will Ship...I have a complete 6.5 grendel Radical Stainless 24"" upper Scope is primary arms 4-14x44 FFP with SWFA SSALTT mount.The red dot is not for sale.I have 6 boxes of Federal MSR Hornady Black and Hornady SSTComplete upper and scope with mags/ammo for $750Just the upper with BCG  and mags/ammo for $500May trade for match 20in 556 223 wylde upper or Steel EAA Witness or Browning BAR 7mm  benelli R1 300 win magNO 6.8 spc 300 blk or other cal trades.  just looking to get back to 556 and 308.Willing to ship.I also have an NIB Osprey TA 4-16X50 MDG 30mm scope with rings for $200 for sale seperate or with upper"
33,http://www.armslist.com/posts/7823033,For Sale/Trade:  1996 Honda Shadow ACE 1100,"Russellville, Muscle Shoals Area, Alabama","$ 2,400","Listed On: Saturday, January 13, 2018",Vehicles,no type,no type,no type,no type,"Just had full service including new tires and new battery. 31,xxx miles. Ready to ride. Vance & Hines pipes, Mustang seat, Memphis Shades windshield, Viking leather saddlebags, Cobra floorboards front and back. New mirrors and grips since the photos. $2400 or best offer Will consider trades forguns or a Mazda Miata (manual transmission), must be in good running condition. Not looking for a project but car doesn't have to be perfect. Let me know what you got, worse thing is I’ll say no. Other trades would be for golf cart, ATV or any item that interest me. Let me know what you got, worse I can do is say no.email or text 25six six03 439five"
36,http://www.armslist.com/posts/7823036,Want To Buy:  Handguns,"portland, Maine, United States","$ 1,000","Listed On: Saturday, January 13, 2018",Handguns,no type,no type,no type,Pistol,looking for a private dealer who knows about guns please email me or message me thank you
37,http://www.armslist.com/posts/7823037,For Sale:  Springfield XDM 3.8 9mm,"Fort Lee, Richmond, Virginia",$ 450,"Listed On: Tuesday, January 23, 2018",Handguns,Springfield                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"I have for sale a Springfield XDM compact 3.8, has less than 300 rounds through it. Never had a malfunction, runs like a champ. Has a technaclip installed for right hand iwb carry, but can be removed and I still have the factory back plate. Comes with everything it had from the factory, case, 13rd mag, 19rd mag, speed loader, mag holder and all paperwork. Just selling because I want a gen 5 glock 19. $450 firm, if you see this ad it is still available."
39,http://www.armslist.com/posts/7823039,For Trade:  Crimson trace glock 19 23 32 green laser,"Mishawaka, South Bend, Indiana",Offer,"Listed On: Thursday, March 29, 2018",Gun,no type,no type,no type,no type,"Grip laser with box and instructions and new battery. Only fits Gen 2&3 Glocks model 19,23,32. Great shape just don't use. The green laser is very bright in day or night you can see it easily. Make me an offer on trades or cash. Look them up online they're not cheap it is not the red dot it has the green dot."
40,http://www.armslist.com/posts/7823040,For Sale:  Glock 17 Gen 4,"Spotsylvania, Northern Virginia, Virginia",$ 475,"Listed On: Saturday, January 13, 2018",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Glock 17 Gen 4 in excellent condition. Comes with 3 mags, standard sights, and box/paperwork. Less than 200 rounds thru gun. Selling to finance another purchase.Cash only, no trades accepted. Buyer must present valid VA ID."
42,http://www.armslist.com/posts/7823042,For Sale:  DP12 Standard Manufacturing double barrel shotgun,"Florence, Muscle Shoals Area, Alabama",$ 950,"Listed On: Saturday, January 13, 2018",Shotguns,no type,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,I am selling my DP12 double barrel shotgun.Perfect condition and fully functional.
