,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/2470000,For Sale/Trade:  1973 High Standard Longhorn 9 Shot Revolver Like New,"Cambridge Area, Minneapolis / St. Paul, Minnesota",$ 500,"Listed On: Thursday, December 19, 2013",Handguns,High Standard                                                                                ,22 Long Rifle                                                                                ,Double / Single Action                                                                                ,Revolver,"For sale is a 1973 Hi Standard Longhorn, 9.5 inch Barrel. This gun has seen very little use, and is also the desireable steel frame, not the aluminum most double nines are made of. Photos do not do this gun justice,
Call or Text REDACTED"
1,http://www.armslist.com/posts/2470001,For Sale:  AR15 m4 quadrail 5.56,"sw, Wichita, Kansas",$ 850,"Listed On: Thursday, December 19, 2013",Rifles,no type,no type,no type,Rifle,"Ar15 brand new 5.56 milspec chamber chromelined barrel m4 style quadrail hand guards ergonomic grip, retractable stock mil spec buffer,milspec m16 bolt carrier. 1 troy battle mag

Might entertain interesting trades ,night vision,other military or collectible weapons
No Bs 259-0660"
2,http://www.armslist.com/posts/2470002,For Trade:  Remington R1s Enhanced.,"denver metro area, Denver, Colorado",Offer,"Listed On: Thursday, December 19, 2013",Handguns,Remington                                                                                ,45 ACP                                                                                ,no type,Pistol,I am looking to trade my Remington R1s Enhanced for an AR15 or M4. Will entertain all reasonable trades.
3,http://www.armslist.com/posts/2470003,For Sale:  Ruger Mini-14 Ranch Rifle .223/5.56mm,"Lexington, Columbia, South Carolina",$ 650,"Listed On: Wednesday, December 25, 2013",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Selling a Ruger Mini-14 Ranch Rifle chambered in .223/5.56mm.  It is a 581- series and based on the serial number it was made in Late 2010.  The newer Mini-14s have an 18.5"" barrel with a 1:9 twist and are much more accurate than the older pencil-thin barrel Mini's.  The wood stock is in great condition and the stock has a rubber Ruger recoil pad instead of the hard-backed stock.

I have fired exactly 50 rounds through this rifle.  It will come with the Ruger factory 1""scope rings that mount in specific slots in the receiver, as well as one aftermarket 30 round magazine and two Ruger factory 5 round magazines.

Asking Price is Best Offer considered but am looking for a  Mossberg MVP Varmint .223/5.56 or similar bolt action .223.  

Make an offer!!!!!  Looking to move this rifle.  It's a great shooter, I just don't have room for it."
4,http://www.armslist.com/posts/2470004,For Sale:  Remington 870 Tactical Black Synthetic Stock/Forend + Extras,"SE PORTLAND, Portland, Oregon",$ 80,"Listed On: Wednesday, December 25, 2013",Gun,no type,no type,no type,no type,"Brand new Remington 870 Tactical Butt stock and Forend and extras. Did a Magpul swap and won't need these anymore. Never been fired, did the swap right out of the box. Bought some extras but did not work with the Magpul mods. Package includes:
-Black Synthetic Butt Stock and Forend
-Heat shield for the Barrel. (Will work with the factory forend but not the Magpul)I installed the heat shield first with factory forend. Removed when I put on the Magpul forend, did not work with Magpul forend. 
-Shell casing holder Specifically for the Remington 870
-Butler creek sling connectors and sling

Asking $80 firm for everything. Will not split up and sorry no trades."
5,http://www.armslist.com/posts/2470005,For Sale:  Smith and Wesson .357,"Statesville, Hickory / Lenoir, North Carolina",$ 1,"Listed On: Thursday, December 19, 2013",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,no type,Revolver,"I have a 686 Smith and Wesson stainless still with the original wood Smith and Wesson grips. Gun is in great shape. If interested just let me know. 
Asking 725 obo 
Selling because I need the money."
7,http://www.armslist.com/posts/2470007,Want To Buy:  reasonably priced Remington 1100 12ga,"Groveport, Columbus, Ohio",Offer,"Listed On: Thursday, December 19, 2013",Shotguns,Remington                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,Looking for a reasonably priced 1100 12ga in good condition. Doesn't even need to have a barrel. Email me if you have one for sale. Thanks.
8,http://www.armslist.com/posts/2470008,For Sale:  fs/ft Ruger P95 .40cal,"Carrsville, Hampton Roads, Virginia",$ 1,"Listed On: Thursday, December 19, 2013",Handguns,Ruger                                                                                ,40 S&W                                                                                ,no type,Pistol,"Very good condition,with 3 mags, case ,50rnds and right handed holster. Would like to trade for a 870 super mag plus cash or possibly even trade for 11-87. Reasonable cash offers also accepted. Please no e-mails. Text or call, REDACTED"
9,http://www.armslist.com/posts/2470009,For Sale:  Complete Colt Lower W/ B5 stock,"Johnstown, Columbus, Ohio",$ 450,"Listed On: Thursday, December 19, 2013",Gun,no type,no type,no type,no type,"Complete Colt lower off of a LE6920 with a black magpul grip and a black B5 stock all in perfect condition with only firing 50 rounds with it. $450 
(Here is a pic with it attached to an upper)"
10,http://www.armslist.com/posts/2470010,For Trade:  Browning 625 Feather,"Lake Nona, Orlando, Florida",Offer,"Listed On: Thursday, December 19, 2013",Shotguns,Browning                                                                                ,12 Gauge                                                                                ,Over and Under                                                                                ,Shotgun,"Browning Citori 625 Feather. 12 guage, 28"" barrel with extra choke tubes. 200 rounds put through it.  Paid $2200 for it a year ago for sporting clays but found that I prefer longer barrel guns."
