,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
503,http://www.armslist.com/posts/5251503,For Sale/Trade:  Mossberg 935,"Cleveland, Cleveland, Ohio",$ 1,"Listed On: Tuesday, March 8, 2016",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Mossberg 935 Combo. 12 Gauge Magnum 3 1/2"" Semi Auto Combo turkey and field barrel. Tru Glo sight not included unless deal is right. Mossy Oak. Like New no Box. Great condition. Lookin to sell or trade. Cash offer.  All  gun trades and cash considered. Will add cash for right deal."
504,http://www.armslist.com/posts/5251504,"For Sale:  Kimber Custom Crimson Carry II 45 ACP 4"" Barrel 8 Round Single Stack Semi-Auto Blue Steel Pistol","Marietta, Atlanta, Georgia","$ 1,000","Listed On: Monday, April 11, 2016",Handguns,Kimber                                                                                ,45 ACP                                                                                ,Double Action                                                                                ,Pistol,"For Sale Is.... A USED Kimber Blue Steel  45 ACP, 8 Round Capacity; (2)Single Stack Clip  This pistol/firearm is in working condition and has been checked through our local police Marietta department, All of our firearms being sold will require a background check to be ran, a 4473 must be filled out &/or presentation of a Concealment Carry License. We also do loan on firearms, gold or any thing of value. Our store contract info : 770  419 7999"
505,http://www.armslist.com/posts/5251505,For Sale:  Resnipered Mosin Nagant,"Zionsville, Indianapolis, Indiana",$ 550,"Listed On: Tuesday, March 8, 2016",Rifles,no type,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,"For sale is a 1944 Izhevsk Exsniper that has been resnipered.It has an Original PU optic ordered from Kalinka OpticsIncludes the sling, cleaning kit, and optic cover.I am asking $550 for it.Text REDACTED"
506,http://www.armslist.com/posts/5251506,For Trade:  glock 43 for a 19or17,"northshore, Massachusetts, United States",Offer,"Listed On: Tuesday, March 8, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"Looking to trade my glock 43 for a glock 19 either gen 3 or 4 or a gen4 glock 17. I can include cash on my end if the deal is worth it. I carried this for 5 months shot around 400 rounds through it if that matters for all you safe queen people, Im not saying its a beat piece of garbage but it has wear from being used as a firearm. I get profecient with a weapon before I trust my life with it. I'm not looking for any other firearms at this time. I'm not looking to sell outright at this time.   The 43 has a trigger guard undercut a ghost connector extended slide stop and polished trigger components. Comes with the factory box and 2 mags. Everything else on the gun is factory from glock including the plastic sights."
507,http://www.armslist.com/posts/5251507,For Sale:  Khar CW9 concealment holster - $50 (Arvada),"Arvada, Denver, Colorado",$ 50,"Listed On: Tuesday, March 8, 2016",Holsters,no type,no type,no type,no type,"Black Veder Kydex IWB concealment holster for Khar firearms. Brand new, never used. It's a great product, it just doesn't fit my needs for conceled carry. $64 new (original receipt included and pictured) selling for $50. Call or text to REDACTED"
508,http://www.armslist.com/posts/5251508,For Sale:  Ruger AR556 .223/5.56 AR Black New in Box,"Albuquerque, Albuquerque, New Mexico",$ 629,"Listed On: Monday, June 13, 2016",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Ruger AR556 .223/5.56 AR Black New in Box1- 30 round magazineAluminum ReceiverRuger Rapid Deploy Rear Sight$629.00 plus taxMust be 18, and pass background checkPlease call Craig L & C Sports  REDACTEDThank you."
509,http://www.armslist.com/posts/5251509,"For Sale:  Pink Bow, arrows, release","Louisburg, Raleigh / Durham / CH, North Carolina",$ 150,"Listed On: Tuesday, March 8, 2016",Archery,no type,no type,no type,no type,"Need to sell. Pink Bear bow with arrows, wrist release, and rest. Shot very few times. Ladies/youth"
510,http://www.armslist.com/posts/5251510,"For Sale:  Colt M1911 .45cal. WWI replica of 1918 pistol, lnib, Carbonia Blue WMK serial number","Nashville, Nashville, Tennessee",$ 850,"Listed On: Tuesday, March 8, 2016",Handguns,Colt                                                                                ,no type,no type,Pistol,"MIJ Weatherby MarkXXll with select fire control for single shot or semiauto Fire. 24 inch barrel, open V Rear fold down sight. Grooved alloy receiver. Walnut stock with Rosewood fore end and pistol grip cap. Mirror bore. This is one georgous rifle and comes with sling and protective sock case."
512,http://www.armslist.com/posts/5251512,For Sale:  Sig Sauer P238 Combat Edition,"Elma, Olympic Peninsula, Washington",$ 525,"Listed On: Friday, July 15, 2016",Handguns,Sig Sauer                                                                                ,380 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"East County Guns | 309 W Main Street | P O Box 757 |  Elma, Washington | 98541     Sig Sauer P238Combat2 Mags - BoxPre-Owned     Caliber .380 ACP (9mm short)         Action Type SAO         Trigger Pull DA N/A         Trigger Pull SA 7.5-8.5 lbs         Overall Length 5.5 in         Overall Height 3.9 in         Overall Width 1.1 in         Barrel Length 2.7 in         Sight Radius 3.8 in         Weight w/out Mag 15.2 oz         Mag Capacity 7 Rounds         Sights SIGLITE Night Sights         Grips Hogue One Piece FDE Rubber Grip"
514,http://www.armslist.com/posts/5251514,For Sale:  Mossberg 500 Pistol Grip,"South Toledo, Toledo, Ohio",$ 325,"Listed On: Monday, March 14, 2016",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"I've got the perfect home defense shotgun and now it can be yours.  This Mossberg 500 is a 5+1 shot 12 gauge pump and features Hogue furniture and has been professionally Duracoated by Cleland's.  The Duracoating was $125 and Hogue furniture was another $45.  As you can see, this gun is in excellent condition.  I'll include enough OO buckshot to fill the gun so your home defense plan can start as soon as you get home.  $325 firm.  Gander Mountain meet-up.  If the ad is up, the shotgun is still for sale.  Thanks for looking."
515,http://www.armslist.com/posts/5251515,For Sale:  17 Remington,"Paso Robles, San Luis Obispo, California",$ 1,"Listed On: Tuesday, March 8, 2016",Gun,no type,no type,no type,no type,"WTB AR upper in 17 Remington. Will concider complete upper or components. Billet receiver, barrel, etc.Also in need of 17 Rem reloading equipment and components.Let me know what you have and $$.Thanks"
517,http://www.armslist.com/posts/5251517,For Sale:  Buffalo Bore Ammunition 10mm Heavy (Per 20) 180 Gr JHP,"Golden, Denver, Colorado",$ 29,"Listed On: Wednesday, May 25, 2016",Ammo,no type,no type,no type,no type,"Hvy 10mm 180gr JHP /20 DescriptionBuffalo Bore AmmunitionSpecifications:- Caliber: Heavy 10mm - Grain: 180- Bullet Type: JHP- Muzzle Velocity: 1350 fps- 20 Round Box AMMUNITION JUNCTION is an online shooting retailer. We stock a large selection of ammunition, firearms, reloading supplies, knives, and a variety of other shooting accessories.  Firearms must be shipped to an FFL dealer.   Ammunition and other items will ship anywhere in the lower 48 within all applicable Federal, State, and Local Laws.    Visit our website at ammunitionjunction.com to place your order   All items on website display current stock quantities.   We accept Visa/MC/AE/Discover for payment – no fees    A well regulated Militia, being necessary to the security of a free State, the right of the people to keep and bear Arms, shall not be infringed."
520,http://www.armslist.com/posts/5251520,For Sale:  Swarovski X5i 3.5-18x50mm Scope New 1/4 MOA,"East Earl, Lancaster, Pennsylvania","$ 2,900","Listed On: Wednesday, February 1, 2017",Optics,no type,no type,no type,no type,"For sale here is a New Swarovski X5i 3.5-18x50mm Scope! This rifle scope is designed for long range precision accuracy. The right estimate, a smart decision, and a clean shot. It doesn’t matter whether you’re shooting over long distances or honing your shooting skills, you always need to have the right equipment by your side. The X5(i) from SWAROVSKI OPTIK redefines accuracy. Its new spring retention system and turrets are part of the total package promoting accuracy and offering you across the entire adjustment range an accurate impact point adjustment of 1/4 or 1/8 MOA in terms of both elevation and windage (X5/X5i 5-25x56 P), even in the most extreme situations. To help you hit close targets accurately, you can use the SUBZERO function to go below the sight-in distance. Thanks to its outstanding optical performance, this rifle scope is the ultimate expert at long-range shooting. This model is brand new and pictured with the factory box, manuals, and warranty. Shipping carrier will be UPS fully insured Ground or 2nd day air. Message or call our store with any questions. Thank you for shopping with The Sportsman's Shop!"
521,http://www.armslist.com/posts/5251521,For Sale:  KelTec PMR 30,"McKinney, Dallas, Texas",$ 529,"Listed On: Monday, May 23, 2016",Handguns,Kel-Tec                                                                                ,22 WMR                                                                                ,no type,Pistol,"BRAND NEW-KELTEC PMR30-RARE!-WE HAVE PLENTY OF AMMO IN STOCK FOR IT TOO!!!!! MAKE SURE TO VIEW OUR OTHER LISTINGS!  Kel-Tec, PMR30, 22WMR, 4.3"" Barrel, Blue Slide, Black Polymer Frame, Fixed Sights, 30Rd, 1 Magazine   Product Specifications  UPC Code: REDACTED76 Manufacturer: Kel-Tec Model: PMR30 Action: Semi-automatic Size: Full Caliber: 22WMR   Barrel Length: 4.3"" Frame/Material: Polymer Finish/Color: Black Capacity: 30Rd Sights: Fixed Sights Manufacturer Part #: PMR30BBLK"
523,http://www.armslist.com/posts/5251523,For Sale:  Bond Arms 357/45 $500 Cash,"Oklahoma City, Oklahoma City, Oklahoma",$ 500,"Listed On: Tuesday, March 8, 2016",Handguns,Bond Arms                                                                                ,357 Magnum                                                                                ,no type,Derringer,"Manufacturer: Bond ArmsModel: BackupAction: DerringerType: DerringerCaliber: 45 ACPBarrel Length: 2.5""Frame/Material: SteelFinish/Color: Powder Coat BlackGrips/Stock: RubberCapacity: 2RdDescription: With Trigger GuardSights: Fixed SightsComes with Bond Arms Jumbo Grips Bond Arms 357mag 4.25"" BarrelBond Arms Holster"
