,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5735000,For Sale:  Lever Action 22 Cal.,"Fairfield, Iowa, Des Moines, Iowa",$ 250,"Listed On: Saturday, July 30, 2016",Rifles,Henry Repeating Arms                                                                                ,22 Long Rifle                                                                                ,Lever Action                                                                                ,Rifle,I have a Henry lever action 22 cal. shot s/l/lr shells.Asking 250 o.b.o is in great condition. Can text or call REDACTED
1,http://www.armslist.com/posts/5735001,For Sale:  Glock 30,"Granby,ma, Massachusetts, United States",$ 650,"Listed On: Saturday, July 30, 2016",Handguns,Glock                                                                                ,45 ACP                                                                                ,no type,Pistol,Glock 30 in excellent shape. $650. Comes with 2 10 round magazines. And box.
2,http://www.armslist.com/posts/5735002,For Sale:  Beretta 84 FS Nickel .380 ACP NIB,"san francisco, San Francisco, California",$ 600,"Listed On: Saturday, July 30, 2016",Handguns,Beretta USA                                                                                ,380 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,Beretta 84 FS Nickel .380 ACP NIB. Firearm is new in box.
3,http://www.armslist.com/posts/5735003,For Trade:  100 rounds of 9mm,"Toledo, Toledo, Ohio",Offer,"Listed On: Sunday, August 7, 2016",Ammo,no type,no type,no type,no type,100 rounds of 9mm fmj
4,http://www.armslist.com/posts/5735004,For Sale/Trade:  Keltec KSG 12 Guage  (Burnt Bronze),"Hickory, Lenoir, Wilkes, & Statesville, NC, Hickory / Lenoir, North Carolina",$ 800,"Listed On: Saturday, July 30, 2016",Shotguns,Kel-Tec                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,Keltec KSG 12 Guage shotgun (Burnt Bronze)---14+1 Capacity --Shoots 2-3/4 and 3 inch shells --Tru-Glo Red dot--CAA Vertical foregrip
5,http://www.armslist.com/posts/5735005,For Sale:   SoLd,"Gastonia, Charlotte, North Carolina",FREE,"Listed On: Thursday, September 1, 2016",Ammo,no type,no type,no type,no type,sold
6,http://www.armslist.com/posts/5735006,For Sale:  Bearpaw Horsebow,"Parker, Denver, Colorado",$ 125,"Listed On: Sunday, September 11, 2016",Archery,no type,no type,no type,no type,"This bow is decieving to say the least. Bearpaw Horsebow is only 48"" long and draws 50# @ 28"". Designed to shoot from horse back. A very pretty little thing to look at and fun to shoot.$125email, text or callMichael 303-880-942eight"
8,http://www.armslist.com/posts/5735008,For Sale:  Browning 1911 380ACP,"Des Moines, Des Moines, Iowa",$ 450,"Listed On: Saturday, July 30, 2016",Handguns,Browning                                                                                ,380 ACP                                                                                ,no type,Pistol,"NIB Browning 1911-380 Black Label Pro Compact .380acp SAO semi-auto pistol.Features Two eight round magazine,Extended ambidextrous manual thumb safety, Extended slide release, Beavertail grip safety, Box and paper works included. NO TRADES!! WILL SHIP"
9,http://www.armslist.com/posts/5735009,For Sale:  Sig Sauer SP2022 FDE 9mm with Siglite night sights Never fired!,"West, Dothan, Alabama",$ 500,"Listed On: Saturday, July 30, 2016",Handguns,Sig Sauer                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"I am selling my Sig Sauer SP2022 FDE in 9mm with Siglite night sights. I purchased this gun about 8 months ago brand new. I took it home, cleaned it and put it in my humidity controlled safe. Gun has NEVER been shot after it left Sig Sauer factory. It is in perfect shape! No scratches or wear marks. Pistol comes with 02 factory 15rd mags, plastic sig case, all manuals, and holster. Only selling this gun as I was going to make it my ccw but I got a P229 as a present. My house is also smoke free if that matters to you.Brand new (when you can find the FDE Siglite night sight version in stock) is selling anywhere from 545-626 before tax. I am asking 500 Or BESt offer! Cash only please, no trades.Purchaser must be willing to sign bill of sale and be of pistol purchasing age.Thank you,920-342-2 one 7 threeAlso will send you any pics you request"
10,http://www.armslist.com/posts/5735010,For Sale/Trade:  ar15 parts,"white bear, Minneapolis / St. Paul, Minnesota",$ 100,"Listed On: Saturday, September 17, 2016",Gun,no type,no type,no type,no type,For sale or trade for ammo 12 gauge 9mm 40 223 5.56 6.8. REDACTED when Hillary Clinton bans ar15s you will have part to keep uour gun work good.
