,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5674000,For Sale/Trade:  Taurus TCP,"Ozark, Fort Smith, Arkansas",$ 225,"Listed On: Sunday, August 7, 2016",Handguns,Taurus                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,The lightest .380 with the best trigger!Comes with extra factory mag and leather carry holster. In excellent shape.Have 200 rounds of ammo for $50 extra
2,http://www.armslist.com/posts/5674002,For Sale:  15 pounds of Once fired 223 brass,"NorthEast, Albuquerque, New Mexico",$ 85,"Listed On: Tuesday, July 12, 2016",Reloading,no type,no type,no type,no type,Over 15 pounds of Once Fired brass. Tumble Cleaned and ready to reload. Over 1100 rounds.Text FIVE OFIVE 263-0709 or call and leave message.$85.00 cash only Or best offer
4,http://www.armslist.com/posts/5674004,For Trade:  Springfield XDM 3.8 compact with extras,"Arnold, St. Louis, Missouri",Offer,"Listed On: Tuesday, July 12, 2016",Handguns,Springfield                                                                                ,45 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"Very nice XDM 3.8 compact 45ACP, low round count, 5 mags 2 9 round 3 13 round. Original box with everything except springfield plastic holster. Come with Galco summer comfort IWB holster, White hat super slide OWB holster. Also have new streamlight TLR-3 plus some cash to throw in for right deal."
7,http://www.armslist.com/posts/5674007,For Sale/Trade:  xd tactical in 45gap,"reno, Reno, Nevada",$ 500,"Listed On: Tuesday, July 12, 2016",Handguns,Springfield                                                                                ,45 GAP                                                                                ,Striker Fire                                                                                ,Pistol,FOR SALE 500 OR TRADE SPRINGFEILD XD TACTICAL IN 45G.A.P ALL THE XD GOODS AND 4 MAGS AND A BOX A PERSONAL DEFENSE AMMOREDACTEDLOOKING FOR A 1911 IN 45ACP CITADEL OR R.I.A ETC ETC OR WHAT DO YOU HAVE
8,http://www.armslist.com/posts/5674008,For Sale:  Heritage Rough Rider 45LC NIB,"Rigby, Idaho Falls, Idaho",$ 350,"Listed On: Tuesday, July 19, 2016",Handguns,Heritage Manufacturer                                                                                ,45 Long Colt                                                                                ,Double / Single Action                                                                                ,Revolver,Capacity: 6 Rounds Caliber: .45
9,http://www.armslist.com/posts/5674009,For Sale:  FN Hi Power  $450,"Youngsville, Raleigh / Durham / CH, North Carolina",$ 450,"Listed On: Tuesday, July 12, 2016",Handguns,FN Herstal S.A.                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,"Ventiage FN Hi Power for sale. Made in Belgium. Polished ramp, Pachmayr grips, 4 mags (3x13, 1x15), magazine disconnect removed. Israeli marking. 9mm Nato (+P)"
14,http://www.armslist.com/posts/5674014,For Sale:  Ruger Mark 3 512 w/ Reticle,"McKinney, Dallas, Texas",$ 480,"Listed On: Tuesday, September 6, 2016",Handguns,Ruger                                                                                ,22 Long Rifle                                                                                ,no type,Pistol,Stainless Ruger Mark 3 512.  Come with everything origional including the case.  Also included is a BSA PMRS Multi-Reticle sight.  Great condition.  Must sign bill of sale and provide either Texas DL or CHL.  Meet only during day at location that will have security monitoring.
15,http://www.armslist.com/posts/5674015,For Sale:  AR15 A2 5.56-.223,"Wilmington, Ohio, United States",$ 675,"Listed On: Tuesday, July 12, 2016",Rifles,Palmetto State Armory                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"Slightly Used, Excellent Condition"
16,http://www.armslist.com/posts/5674016,For Sale:  Sig sauer p250 45 cal,"Duluth, Duluth, Minnesota",$ 750,"Listed On: Tuesday, July 12, 2016",Handguns,Sig Sauer                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,Today I have for sale a Sig 45 with red dot and extra magazine   used by a little old lady only taken out on Sunday's. Will need permit to purchase.
17,http://www.armslist.com/posts/5674017,For Sale:  custom ar15,"Churubusco, Fort Wayne, Indiana",$ 1,"Listed On: Sunday, July 24, 2016",Rifles,no type,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"magpul stock,anderson lower ,,aim surplus upper, lantec nickle boron bolt ,trinty force handguard and s.s gas block,dpms 16 inch s,s barrel, custom cerakote paint job, velocity 3 pound straight trigger, tactical charging handle,taactical grip shot roughly 150  rounds through getting 1/4 to 3/8 groups....scope not included everthing else is plus got a caldwell brass catcher and will sell some custom 60 grain berger rounds have 300....make resonable offer   REDACTED"
19,http://www.armslist.com/posts/5674019,For Sale:  22lr Ammo Federal and Plinker Magazines for SW M&P 15-22,"West Seattle, Seattle, Washington",$ 70,"Listed On: Monday, October 31, 2016",Ammo,no type,no type,no type,no type,Hello I have a 325 round box of federal 22lr and two 50 round boxes of federal 22 lr for sale. Asking 40$ for the ammo. I also have two sealed and brand new Plinker Tactical 35 round magazines that retail 20$ for use in SW15-22 gen1's or gen2 22lr Rifles. Asking 15$ each mag. Asking 70$ for all of the 22lr ammo and both mags.
20,http://www.armslist.com/posts/5674020,For Sale/Trade:  Mosin Nagant with extras,"Ozark, Fort Smith, Arkansas",$ 200,"Listed On: Wednesday, July 13, 2016",Rifles,Century International Arms                                                                                ,7.62x54R                                                                                ,Bolt Action                                                                                ,Rifle,"M91/30With factory accessories including bayonet and a handful of stripper clipsFlame stripped stock and rear peep sight, also have original sight."
21,http://www.armslist.com/posts/5674021,For Sale:  Walther p22,"Lancaster, Lancaster, Pennsylvania",$ 225,"Listed On: Friday, August 19, 2016",Handguns,Walther                                                                                ,22 Long Rifle                                                                                ,no type,Pistol,Walther p22 with about 200 roundsComes with 2 mags plus case.
22,http://www.armslist.com/posts/5674022,For Sale:  20rd magazine for beretta 92 9mm,"OKC, mustang, Tuttle,Newcastle, Oklahoma City, Oklahoma",$ 40,"Listed On: Tuesday, July 12, 2016",Magazines,no type,no type,no type,no type,new triple K 20rd mag for beretta 92 .9mm
23,http://www.armslist.com/posts/5674023,Want To Buy:  S&W 3953,"NW, Wichita, Kansas",Offer,"Listed On: Tuesday, July 12, 2016",Handguns,Smith & Wesson                                                                                ,9mm Luger (9x19)                                                                                ,Double Action                                                                                ,Pistol,WTB a S&W 3953.  Cash in hand ready to buy.
25,http://www.armslist.com/posts/5674025,For Sale:  Kriss,"sw part, Topeka, Kansas",$ 66,"Listed On: Monday, September 5, 2016",Magazines,no type,no type,no type,no type,Kriss Magex 25+ extended glock 21 magazine I have 3 mags and 1extension kit  $66 each $35 for kit or all for $230 Will throw in free glock holster Must pick up in person I will not ship
26,http://www.armslist.com/posts/5674026,For Trade:  Benelli m2,"London, Kentucky, United States",Offer,"Listed On: Tuesday, July 12, 2016",Shotguns,Benelli                                                                                ,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,"Benelli m2 tactical ghost ring sights, magazine extension,  oversized bolt release, extended charging handle, and Mesa tactical side saddleCan send more pics"
28,http://www.armslist.com/posts/5674028,For Sale:  DDI 12,"Concord, Charlotte, North Carolina",$ 550,"Listed On: Tuesday, July 12, 2016",Shotguns,no type,12 Gauge                                                                                ,Semi-automatic                                                                                ,Shotgun,i have a new DDI 12 for sale. Only 20 rounds down the pipe.  Functions great. Have 2 5rd mags and 2 10rd promags for it.
29,http://www.armslist.com/posts/5674029,For Sale/Trade:  Ruger 10/22 in Archangel Nomad Stock,"Bellevue, Nashville, Tennessee",$ 400,"Listed On: Tuesday, July 12, 2016",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"Ruger 10/22 Anniversary Edition (Came with a gray synthetic stock and sight rail) installed into an Archangel Nomad stock.  Styled after the Heckler and Koch G36.  Comes with a 25 round magazine and the original equipment.  Looks brand new, the stock is a month old and the gun is a year old.  Low round count, maybe 200 shot through.  Paid $250 for the rifle and 160 for the stock."
31,http://www.armslist.com/posts/5674031,For Sale/Trade:  Colt1911 officers mark iv,"Zephyrhills, Tampa/St. Pete, Florida",$ 750,"Listed On: Tuesday, July 12, 2016",Handguns,Colt                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"Stainless colt 1911 mark iv series 80 .45 officers model , with box three mags , Ed brown mainspring housing , Wilson magwell and ext. slide stop . Excellent shape ."
32,http://www.armslist.com/posts/5674032,For Sale:  Clean Brass for sale,"Belmont, New Hampshire, United States",FREE,"Listed On: Monday, July 18, 2016",Reloading,no type,no type,no type,no type,Have 1000+ pcs. of tumbled clean brass. $30.   Have 1000+ Pcs of 9mm Tumbled clean brass  $30.  No shipping.
33,http://www.armslist.com/posts/5674033,For Sale:  Rock River Arms,"Chelsea, Birmingham, Alabama",$ 950,"Listed On: Tuesday, July 12, 2016",Rifles,Rock River Arms                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,I have a Rock River Arms Operator 2. Less than 400 rounds through it. Call or text (205) four41-three160. Thanks
34,http://www.armslist.com/posts/5674034,For Sale:  Aimpoint Micro,"Edmond, Oklahoma City, Oklahoma",FREE,"Listed On: Friday, August 5, 2016",Optics,no type,no type,no type,no type,I have a 2 new optics for sale. 1st is a Aimpoint Micro T1 on a Larue LT660 mount that still in the wrapper. I bought this as a combo deal from Larue Tactical and comes with everything in the package. $650. 2nd is a Aimpoint Micro T2 on a LT660HK mount that is still in in the package and comes with everything it did from Larue $725
